SKU,Product,Manufacturer,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO24424LAM,Albi Biscuit,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,600 - 1900,51.56,72.50,87.00,,Yes,,Yes
WO41619LAM,Albi Look Unfinished,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,600 - 1900,51.56,72.50,87.00,,Yes,,Yes
WO46590LAM,Albi Smoked Invisible,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,600 - 1900,51.56,72.50,87.00,,Yes,,Yes
WO45431LAM,Albi Vintage,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,600 - 1900,51.56,72.50,87.00,,Yes,,Yes
WO24658LAM,Bergamo Black,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO80353LAM,Bergamo Cotton White,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO59115LAM,Bergamo Look Unfinished,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO35771LAM,Bergamo Natural,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO46021LAM,Bergamo Smoke,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO53491LAM,Bergamo Titanium,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO95758LAM,Bergen 190 Invisible,Lamett,Wood,Plank,15/3,2.12,European Oak,Lacquer,190,630 - 1860,48.74,73.33,88.00,,,,Yes
WO75241LAM,Bergen 190 Mont Blanc,Lamett,Wood,Plank,15/3,2.12,European Oak,Lacquer,190,630 - 1860,48.74,73.33,88.00,,Yes,,Yes
WO39244LAM,Bergen 190 Natural,Lamett,Wood,Plank,15/3,2.12,European Oak,Lacquer,190,630 - 1860,48.74,73.33,88.00,,Yes,,Yes
WO39721LAM,Bergen 190 Pure,Lamett,Wood,Plank,15/3,2.12,European Oak,Lacquer,190,630 - 1860,48.74,73.33,88.00,,Yes,,Yes
WO70904LAM,Carcassone Black,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.00,75.83,91.00,Yes,Yes,,Yes
