SKU,Product,Manufacturer,Supplier,Category,Type,Cost ex VAT,Sell ex VAT,Sell inc VAT,Notes,Discontinued?
AN13674ALT,AF Natural Flooring Care Kit,Alternative Flooring,Alternative Flooring,Ancillaries,Maintenance,38.24,60.83,72.996,,
AN83916AMT,Amtico International PS Adhesive (6 KG),Amtico,Amtico,Ancillaries,Adhesive,22.45,45.0,54.0,,
AN56805AMT,Amtico International HT Adhesive (15 L),Amtico,Amtico,Ancillaries,Adhesive,65.15,130.83,156.996,,
AN95398AMT,Amtico International HT Adhesive (5 L),Amtico,Amtico,Ancillaries,Adhesive,25.3,50.83,60.995999999999995,,
AN48359AMT,Amtico International PS Adbesive (14 KG),Amtico,Amtico,Ancillaries,Adhesive,52.6,105.83,126.996,,
AN55071AMT,Amtico International Adhesive Remover (250 ML),Amtico,Amtico,Ancillaries,Adhesive,5.45,11.67,14.004,,
AN63710AMT,Amtico International SPAX (14 KG),Amtico,Amtico,Ancillaries,Adhesive,62.0,124.17,149.004,,
AN88043AMT,Amtico International Universal 2-Part (U2P) Adhesive (5 KG x2),Amtico,Amtico,Ancillaries,Adhesive,75.0,150.0,180.0,,
AN22020AMT,Amtico International HT Extra Adhesive (14 KG),Amtico,Amtico,Ancillaries,Adhesive,61.95,124.17,149.004,,
AN19447AMT,Amtico International HT Extra Adhesive (6 KG),Amtico,Amtico,Ancillaries,Adhesive,27.9,55.83,66.996,,
AN50468AMT,Amtico International SF Adhesive (15 L),Amtico,Amtico,Ancillaries,Adhesive,51.8,104.17,125.00399999999999,,
AN99145AMT,Amtico International SF Adhesive (5 L),Amtico,Amtico,Ancillaries,Adhesive,22.05,44.17,53.004,,
AN58835AMT,Amtico International SF Adhesive (2.5 L),Amtico,Amtico,Ancillaries,Adhesive,12.45,25.0,30.0,,
AN26838AMT,Amtico International Felt Pads,Amtico,Amtico,Ancillaries,Maintenance,3.45,5.83,6.9959999999999996,,
AN59398AMT,Amtico International FloorCare Starter Kit,Amtico,Amtico,Ancillaries,Maintenance,12.7,18.33,21.996,,
AN94106AMT,Amtico International FloorCare Spillage Remover (500 ML),Amtico,Amtico,Ancillaries,Maintenance,2.5,4.16,4.992,,
AN90670AMT,Amtico International FloorCare Maintainer (1 L),Amtico,Amtico,Ancillaries,Maintenance,4.1,6.66,7.992,,
AN85370AMT,Amtico International FloorCare Maintainer (5 L),Amtico,Amtico,Ancillaries,Maintenance,10.3,17.5,21.0,,
AN94646AMT,Amtico International FloorCare Stripper (1 L),Amtico,Amtico,Ancillaries,Maintenance,4.45,6.66,7.992,,
AN39984AMT,Amtico International FloorCare Stripper (5 L),Amtico,Amtico,Ancillaries,Maintenance,15.6,26.66,31.991999999999997,,
AN68315AMT,Amtico International FloorCare Dressing (1 L),Amtico,Amtico,Ancillaries,Maintenance,5.85,9.1583333333333,10.98999999999996,,
AN45150AMT,Amtico International FloorCare Dressing (5 L),Amtico,Amtico,Ancillaries,Maintenance,26.13,40.83,48.995999999999995,,
AN50369AMT,Amtico International Matt Floor Dressing (1 L),Amtico,Amtico,Ancillaries,Maintenance,7.75,11.66,13.991999999999999,,
AN94707AMT,Amtico International Matt Floor Dressing (5 L),Amtico,Amtico,Ancillaries,Maintenance,37.4,47.91,57.492,,
AN73987BAL,Cloud 9 Contract Underlay,Ball & Young Ltd,Ballister,Ancillaries,Underlay,3.53,7.92,9.504,,
AN34304BAL,Ballister Coir Matting Natural (2 M),Ballister,Ballister,Ancillaries,Other,50.4,58.33,69.996,,
AN24811BAL,Ballister Coir Matting Natural (1 M),Ballister,Ballister,Ancillaries,Other,25.2,29.17,35.004,,
