SKU,Product,Manufacturer,Supplier,Category,Type,Material,Widths,Colours,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Show on Website?,Discontinued?
CA80356ABI,Aristocat,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Polypropylene,"2.5, 4, 5","Mercury, Ice Breaker, Fern Green, Antique Gold, Desert Sands, Rich Harvest, Jet, Charcoal Grey, Eskimo Kiss, Pewter, Arctic Fox, Vanilla, Rosehip, Blue Lagoon, Cool Mint, Gazelle, Mother of Pearl",12.99,25.833333333333336,31.0,Yes,,,
CA12771ABI,Balmoral,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,80% Wool,"2.5, 4, 5","Light Wolfswood, Moccasin, Seagull, Silverhill, Steel, Stone, Stoney Bridge, Storm Grey, Valerian Steel, Varys",13.95,27.5,33.0,,,,
CA64985ABI,Balmoral Deluxe,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,80% Wool,"2.5, 4, 5","Light Wolfswood, Moccasin, Seagull, Silverhill, Steel, Stone, Stoney Bridge, Storm Grey, Valerian Steel, Varys",15.21,30.833333333333336,37.0,,,,
CA78887ABI,Caress,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Polypropylene,"2.5, 4, 5","Pink Whisper, Deep Blue, Old Gold, Fir Green, Terracotta, Bourneville, Rioja, Azure, Sapphire, Ebony, Titanium, Mocha, Latte, Cotton, Champagne, Suede, Silver, Platinum",12.99,25.833333333333336,31.0,,,,
CA41691ABI,Charter Berber Deluxe,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,80% Wool,"2.5, 4, 5","Blue Haze, Cinnamon, Dapple, Dolphin Grey, Dove Grey, Flax, Honey Gold, Irish Cream, Mint Leaf, Mustard, Nutmeg, Pecan, Pewter, Pumice, Sage, Sandstone, Silhouette, Silver Mist, Slate, Summer Sun",17.84,35.833333333333336,43.0,,Yes,,
CA84762ABI,Charter Berber Loop,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Wool,"2.5, 4, 5","Dapple, Dolphin Grey, Dove Grey, Flax, Honey Gold, Irish Cream, Mint Leaf, Mustard, Nutmeg, Pewter, Pumice, Silver Mist",20.99,37.5,45.0,,Yes,,
CA90242ABI,Charter Plain Loop,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Wool,"2.5, 4, 5","Cotswold, Dalesbred, Drysdale, Galway, Herdwick, Masam, Merino, Montadale, Perendale, Racka, Romney, Southdown",22.04,40.0,48.0,,Yes,,
CA53466ABI,Deep Feelings,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Polyester,"2.5, 4, 5","Glacier, Dove Grey, Mercury, Shimmer, Silver Cloud, Pewter, Nickel, Welsh Slate, Rich Caramel, Cool Velvet, Truffle, Pashmina, Chenille, Americano, Hazel, Cornsilk",18.49,36.666666666666664,44.0,Yes,,,
CA70674ABI,Finesse,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Polypropylene,"2.5, 4, 5","Pink Whisper, Deep Blue, Fir Green, Old Gold, Terracotta, Bourneville, Rioja, Azure, Sapphire, Ebony, Titanium, Mocha, Latte, Cotton, Champagne, Suede, Silver, Platinum",10.99,21.666666666666664,26.0,,,,
CA11376ABI,Indulgence,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Polypropylene,"2.5, 4, 5","Nutmeg, Cappuccino, Dove Grey, Silver Dollar, Pearlescent, Imperial Grey, Rocky Mountain, Deep Frost, Soft Honey, Sea Shell, Silver Bullet, Denim Blue, Dusky Pink, Dry Ice, Cool Mist",16.49,33.333333333333336,40.0,Yes,,,
CA76114ABI,Lasting Romance,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Polyester,"2.5, 4, 5","Glacier, Dove Grey, Mercury, Shimmer, Silver Cloud, Pewter, Nickel, Welsh Slate, Rich Caramel, Cool Velvet, Truffle, Pashmina, Chenille, Americano, Hazel, Cornsilk",14.99,30.0,36.0,Yes,,Yes,
CA92460ABI,Royal Sovereign,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Wool,"2.5, 4, 5","Sabre, Smoke, Cobblestone, Husky Grey, Pine, Squirrel, Rice Cake, Shortbread, Bone, Biscotti, Granola, Oatcake",13.64,27.5,33.0,Yes,,,
CA73122ABI,Royal Windsor,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Wool,"2.5, 4, 5","Husky Grey, Bone, Cobblestone, Smoke, Squirrel, Sabre, Granola, Biscotti, Pine, Oatcake, Shortbread, Rice Cake",12.59,25.0,30.0,Yes,,,
CA97517ABI,Wild Silk,Abingdon Carpets,Abingdon Carpets,Carpet,Carpet,100% Polyester,"2.5, 4, 5","Gunmetal, Metallica, Silver Spoon, Belgravia, Riviera, Hazy Grey, Confetti, Treasure Island, Cinnamon, Sandstorm, Pebble Beach, Ivory Lace",14.99,30.0,36.0,,,,
CA28594ALT,AF Coir Boucle Natural,Alternative Flooring,Alternative Flooring,Carpet,Coir,100% Coir,"4, 5",,16.78,33.333333333333336,40.0,,,Yes,
CA36410ALT,AF Coir Herringbone Natural,Alternative Flooring,Alternative Flooring,Carpet,Coir,100% Coir,"4, 5",,13.52,26.666666666666664,32.0,,,Yes,
CA17564ALT,AF Coir Panama Natural,Alternative Flooring,Alternative Flooring,Carpet,Coir,100% Coir,"4, 5",,13.52,26.666666666666664,32.0,,,Yes,
CA35530ALT,AF Jute Big Boucle Crumpet,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,25.89,44.16666666666667,53.0,,,Yes,
CA57808ALT,AF Jute Big Boucle Toast,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,25.89,44.16666666666667,53.0,,,Yes,
CA56051ALT,AF Jute Big Panama Pancake,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,25.89,44.16666666666667,53.0,,,Yes,
CA32300ALT,AF Jute Big Panama Waffle,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,25.89,44.16666666666667,53.0,,,Yes,
CA96494ALT,AF Jute Boucle Natural,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,19.94,40.0,48.0,,,Yes,
CA11576ALT,AF Jute Boucle Scone,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,24.09,43.33333333333333,52.0,,,,
CA20925ALT,AF Jute Chevron Natural,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,21.81,39.166666666666664,47.0,,,Yes,
CA33964ALT,AF Jute Herringbone Maltloaf,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,24.09,43.33333333333333,52.0,,,,
CA38832ALT,AF Jute Herringbone Natural,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,21.81,39.166666666666664,47.0,,,Yes,
CA84260ALT,AF Jute Panama Flapjack,Alternative Flooring,Alternative Flooring,Carpet,Jute,100% Jute,4,,24.09,43.33333333333333,52.0,,,,
CA57144ALT,AF Seagrass Balmoral Basketweave,Alternative Flooring,Alternative Flooring,Carpet,Seagrass,100% Seagrass,4,,18.56,37.5,45.0,,,Yes,
CA58596ALT,AF Seagrass Buckingham Basketweave,Alternative Flooring,Alternative Flooring,Carpet,Seagrass,100% Seagrass,4,,17.3,35.0,42.0,,,Yes,
CA43750ALT,AF Seagrass Fine Herringbone,Alternative Flooring,Alternative Flooring,Carpet,Seagrass,100% Seagrass,4,,18.62,37.5,45.0,,,Yes,
CA56235ALT,AF Seagrass Herringbone,Alternative Flooring,Alternative Flooring,Carpet,Seagrass,100% Seagrass,4,,15.14,30.0,36.0,,,Yes,
CA29011ALT,AF Seagrass Natural,Alternative Flooring,Alternative Flooring,Carpet,Seagrass,100% Seagrass,4,,13.74,27.5,33.0,,,Yes,
CA31047ALT,AF Seagrass Superior,Alternative Flooring,Alternative Flooring,Carpet,Seagrass,100% Seagrass,4,,18.56,37.5,45.0,,,Yes,
CA68488ALT,AF Sisal Basketweave Summer Hamper,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,,28.93,49.16666666666667,59.0,,,Yes,
CA52964ALT,AF Sisal Basketweave Winter Hamper,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,,28.93,49.16666666666667,59.0,,,Yes,
CA14579ALT,AF Sisal Boucle,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,"4, 5","Basing, Bayford, Beauworth, Bentley, Bitterne, Blenheim, Braemere, Braishfield, Brockton, Burghclere, Buriton, Burleigh, Burnage, Burridge, Byfield",24.59,44.16666666666667,53.0,,,Yes,
CA40548ALT,AF Sisal Bubbleweave,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,,35.08,55.83333333333333,67.0,,,,
CA25303ALT,AF Sisal Herringbone,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,"4, 5","Hambledon, Hampton, Harestock, Hartley, Hazeley, Herne, Highclere, Hinton, Hockley, Holbury, Houghton",27.74,47.5,57.0,,,Yes,
CA11171ALT,AF Sisal Hopscotch,Alternative Flooring,Alternative Flooring,Carpet,Sisal,100% Sisal,4,,34.04,57.5,69.0,,,,
