Installation Item,SKU,Unit,Cost,Sell (Exc.),Sell (Inc.),Category,Type,Discontinued?
Flatwoven Runner Installation (Straight Flight),INS73446FLA,Per Flight,350.0,412.5,495.0,Flatwoven Runner,Installation,
Flatwoven Runner Installation (Winder Flight),INS29734FLA,Per Flight,400.0,466.66666666666663,560.0,Flatwoven Runner,Installation,
Flatwoven Runner Installation - Sewn Mitre,INS31618FLA,Each,50.0,58.33333333333333,70.0,Flatwoven Runner,Installation,
Flatwoven Runner Installation - Miscellaneous,INS78203FLA,Unit (£),1.0,1.15,1.38,Flatwoven Runner,Installation,
Sophie Cooney Runner Installation (Step),INS88330FLA,Per Step,30.0,37.5,45.0,Flatwoven Runner,Installation,
Sophie Cooney Runner Installation - Sewn Mitre (Winder),INS25787FLA,Per Winder,50.0,58.33333333333333,70.0,Flatwoven Runner,Installation,
Sophie Cooney Runner Installation - Sewn Mitre (Quarter),INS91212FLA,Each,70.0,83.33333333333334,100.0,Flatwoven Runner,Installation,
Installation - Cut Door (Each),INS74162FLA,Each,30.0,35.0,42.0,Flatwoven Runner,Installation,
Installation - Travel / Parking / ULEZ / CC,INS65151FLA,Unit (£),1.0,1.15,1.38,Flatwoven Runner,Installation,
Installation - Miscellaneous,INS82215FLA,Unit (£),1.0,1.15,1.38,Flatwoven Runner,Installation,
Stair Rod Installation,INS20885FLA,Per Rod,8.0,10.0,12.0,Flatwoven Runner,Installation,
Delivery (Minimum),INS56294FLA,Unit,45.0,54.16666666666667,65.0,Flatwoven Runner,Delivery,
Delivery,INS98401FLA,Unit (£),1.0,1.15,1.38,Flatwoven Runner,Delivery,
Ply Installation - Standard,INS59738FLA,Per Sheet,30.0,35.0,42.0,Flatwoven Runner,Sub floor works,
Preparation - Miscellaneous,INS53380FLA,Unit (£),1.0,1.1583333333333332,1.39,Flatwoven Runner,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS89993FLA,SQM,3.5,4.166666666666667,5.0,Flatwoven Runner,Uplift,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS45992FLA,SQM,5.0,5.833333333333334,7.0,Flatwoven Runner,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS62913FLA,Unit,70.0,83.33333333333334,100.0,Flatwoven Runner,Uplift,
Sisal etc. Installation,INS61188SIS,SQM,12.0,14.166666666666668,17.0,Sisal etc.,Installation,
Sisal etc. Installation (Minimum),INS68473SIS,Unit,120.0,141.66666666666666,170.0,Sisal etc.,Installation,
Sisal etc. Installation - Stairs (Straight Flight),INS21974SIS,Per Flight,100.0,125.0,150.0,Sisal etc.,Installation,
Sisal etc. Installation - Stairs (Winder Flight),INS40145SIS,Per Flight,125.0,141.66666666666666,170.0,Sisal etc.,Installation,
Sisal etc. Installation - Stairs as Runner (Straight Flight),INS90861SIS,Per Flight,130.0,150.0,180.0,Sisal etc.,Installation,
Sisal etc. Installation - Stairs as Runner (Winder Flight),INS92436SIS,Per Flight,160.0,187.5,225.0,Sisal etc.,Installation,
Sisal etc. Installation - Miscellaneous,INS75948SIS,Unit (£),1.0,1.15,1.38,Sisal etc.,Installation,
Sisal etc. Installation - Seam,INS99471SIS,LM,5.0,5.833333333333334,7.0,Sisal etc.,Installation,
Sisal etc. Installation - Seam Doorway (Each),INS44512SIS,Each,20.0,24.166666666666664,29.0,Sisal etc.,Installation,
"Sisal etc. Installation - Runner Template (Straight, Off Site)",INS91553SIS,Per Flight,50.0,58.33333333333333,70.0,Sisal etc.,Installation,
Sisal etc. Installation - Runner Template (Straight Flight),INS75712SIS,Per Flight,65.0,75.0,90.0,Sisal etc.,Installation,
Sisal etc. Installation - Runner Template (Winder Flight),INS75160SIS,Per Flight,100.0,116.66666666666666,140.0,Sisal etc.,Installation,
Coir Mat Installation (Supplement),INS23306SIS,Per Flight,40.0,50.0,60.0,Sisal etc.,Installation,
Sisal etc. Installation - Adhere Gripper,INS48806SIS,LM,1.0,1.25,1.5,Sisal etc.,Installation,
Installation - Cut Door (Each),INS38725SIS,Each,30.0,35.0,42.0,Sisal etc.,Installation,
Installation - Travel / Parking / ULEZ / CC,INS97431SIS,Unit (£),1.0,1.15,1.38,Sisal etc.,Installation,
Installation - Apply Sealant,INS15378SIS,LM,3.0,3.75,4.5,Sisal etc.,Installation,
Stair Rod Installation,INS68913SIS,Per Rod,8.0,10.0,12.0,Sisal etc.,Installation,
Move (Emptied) Furniture,INS21394SIS,Per Room,25.0,29.166666666666664,35.0,Sisal etc.,Furniture,
Lay Floor Protection,INS19386SIS,SQM,2.5,2.916666666666667,3.5,Sisal etc.,Installation,
Delivery (Minimum),INS20938SIS,Unit,45.0,54.16666666666667,65.0,Sisal etc.,Delivery,
Delivery,INS98661SIS,Unit (£),1.0,1.15,1.38,Sisal etc.,Delivery,
Ply Installation - Standard,INS70822SIS,Per Sheet,30.0,35.0,42.0,Sisal etc.,Sub floor works,
Preparation - Miscellaneous,INS50341SIS,Unit (£),1.0,1.1583333333333332,1.39,Sisal etc.,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS82559SIS,SQM,3.5,4.166666666666667,5.0,Sisal etc.,Uplift,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS58230SIS,SQM,5.0,5.833333333333334,7.0,Sisal etc.,Uplift,
Removal (Uplift & Disposal) of Laminate etc.,INS55675SIS,SQM,7.0,8.125,9.75,Sisal etc.,Uplift,
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS85570SIS,SQM,9.5,11.25,13.5,Sisal etc.,Uplift,
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS91530SIS,SQM,12.5,14.583333333333332,17.5,Sisal etc.,Uplift,
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS89075SIS,SQM,15.0,20.833333333333336,25.0,Sisal etc.,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS80699SIS,Unit,70.0,83.33333333333334,100.0,Sisal etc.,Uplift,
Faux Sisal Installation,INS72770FAU,SQM,12.0,14.166666666666668,17.0,Faux Sisal,Installation,
Faux Sisal Installation (Minimum),INS89349FAU,Unit,120.0,141.66666666666666,170.0,Faux Sisal,Installation,
Faux Sisal Installation - Stairs (Straight Flight),INS94091FAU,Per Flight,100.0,125.0,150.0,Faux Sisal,Installation,
Faux Sisal Installation - Stairs (Winder Flight),INS20330FAU,Per Flight,125.0,141.66666666666666,170.0,Faux Sisal,Installation,
Faux Sisal Installation - Stairs as Runner (Straight Flight),INS64352FAU,Per Flight,130.0,150.0,180.0,Faux Sisal,Installation,
Faux Sisal Installation - Stairs as Runner (Winder Flight),INS50207FAU,Per Flight,160.0,187.5,225.0,Faux Sisal,Installation,
Faux Sisal Installation - Miscellaneous,INS54620FAU,Unit (£),1.0,1.15,1.38,Faux Sisal,Installation,
Faux Sisal Installation - Seam,INS46978FAU,LM,5.0,5.833333333333334,7.0,Faux Sisal,Installation,
Faux Sisal Installation - Seam Doorway (Each),INS89727FAU,Each,20.0,24.166666666666664,29.0,Faux Sisal,Installation,
"Faux Sisal Installation - Runner Template (Straight, Off Site)",INS50766FAU,Per Flight,50.0,58.33333333333333,70.0,Faux Sisal,Installation,
Faux Sisal Installation - Runner Template (Straight Flight),INS88603FAU,Per Flight,65.0,75.0,90.0,Faux Sisal,Installation,
Faux Sisal Installation - Runner Template (Winder Flight),INS36182FAU,Per Flight,100.0,116.66666666666666,140.0,Faux Sisal,Installation,
Faux Sisal Installation - Adhere Gripper,INS34647FAU,LM,1.0,1.25,1.5,Faux Sisal,Installation,
Installation - Cut Door (Each),INS53588FAU,Each,30.0,35.0,42.0,Faux Sisal,Installation,
Installation - Travel / Parking / ULEZ / CC,INS89710FAU,Unit (£),1.0,1.15,1.38,Faux Sisal,Installation,
Installation - Apply Sealant,INS83642FAU,LM,3.0,3.75,4.5,Faux Sisal,Installation,
Stair Rod Installation,INS54109FAU,Per Rod,8.0,10.0,12.0,Faux Sisal,Installation,
Move (Emptied) Furniture,INS38938FAU,Per Room,25.0,29.166666666666664,35.0,Faux Sisal,Furniture,
Lay Floor Protection,INS29694FAU,SQM,2.5,2.916666666666667,3.5,Faux Sisal,Installation,
Delivery (Minimum),INS89561FAU,Unit,45.0,54.16666666666667,65.0,Faux Sisal,Delivery,
Delivery,INS89742FAU,Unit (£),1.0,1.15,1.38,Faux Sisal,Delivery,
Ply Installation - Standard,INS52019FAU,Per Sheet,30.0,35.0,42.0,Faux Sisal,Sub floor works,
Preparation - Miscellaneous,INS76781FAU,Unit (£),1.0,1.1583333333333332,1.39,Faux Sisal,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS39256FAU,SQM,3.5,4.166666666666667,5.0,Faux Sisal,Uplift,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS85605FAU,SQM,5.0,5.833333333333334,7.0,Faux Sisal,Uplift,
Removal (Uplift & Disposal) of Laminate etc.,INS19696FAU,SQM,7.0,8.125,9.75,Faux Sisal,Uplift,
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS13801FAU,SQM,9.5,11.25,13.5,Faux Sisal,Uplift,
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS12854FAU,SQM,12.5,14.583333333333332,17.5,Faux Sisal,Uplift,
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS23985FAU,SQM,15.0,20.833333333333336,25.0,Faux Sisal,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS91239FAU,Unit,70.0,83.33333333333334,100.0,Faux Sisal,Uplift,
Carpet Installation,INS48410CAR,SQM,5.5,6.25,7.5,Carpet,Installation,
Carpet Installation (Minimum),INS37171CAR,Unit,65.0,75.0,90.0,Carpet,Installation,
Carpet Installation - Full Adhere,INS84128CAR,SQM,8.0,9.166666666666666,11.0,Carpet,Installation,
Carpet Installation - Full Adhere (Minimum),INS89693CAR,Unit,100.0,116.66666666666666,140.0,Carpet,Installation,
Carpet Installation - Stairs (Straight Flight),INS91244CAR,Per Flight,75.0,83.33333333333334,100.0,Carpet,Installation,
Carpet Installation - Stairs (Winder Flight),INS41232CAR,Per Flight,100.0,125.0,150.0,Carpet,Installation,
Carpet Installation - Stairs (Open Plan Flight),INS66175CAR,Per Flight,150.0,166.66666666666669,200.0,Carpet,Installation,
Carpet Installation - Stairs as Runner (Straight Flight),INS74088CAR,Per Flight,100.0,125.0,150.0,Carpet,Installation,
Carpet Installation - Stairs as Runner (Winder Flight),INS40966CAR,Per Flight,125.0,145.83333333333334,175.0,Carpet,Installation,
Carpet Installation - Miscellaneous,INS61990CAR,Unit (£),1.0,1.15,1.38,Carpet,Installation,
Carpet Installation - Seaming,INS62866CAR,LM,5.0,5.833333333333334,7.0,Carpet,Installation,
Carpet Installation - Seam Doorway (Each),INS63902CAR,Each,20.0,24.166666666666664,29.0,Carpet,Installation,
"Carpet Installation - Runner Template (Straight, Off Site)",INS56349CAR,Per Flight,50.0,58.33333333333333,70.0,Carpet,Installation,
Carpet Installation - Runner Template (Straight Flight),INS76241CAR,Per Flight,75.0,83.33333333333334,100.0,Carpet,Installation,
Carpet Installation - Runner Template (Winder Flight),INS60599CAR,Per Flight,100.0,125.0,150.0,Carpet,Installation,
Carpet Installation - Adhere Gripper,INS61158CAR,LM,1.0,1.25,1.5,Carpet,Installation,
Carpet Tile Installation,INS83421CAR,SQM,8.0,9.166666666666666,11.0,Carpet,Installation,
Carpet Tile Installation (Minimum),INS69314CAR,Unit,100.0,116.66666666666666,140.0,Carpet,Installation,
Carpet Installation Premium - Heavy / Large,INS62539CAR,SQM,4.0,4.583333333333333,5.5,Carpet,Installation,
Paper Felt Installation,INS86464CAR,SQM,1.0,1.25,1.5,Carpet,Installation,
Installation - Cut Door (Each),INS50976CAR,Each,30.0,35.0,42.0,Carpet,Installation,
Installation - Travel / Parking / ULEZ / CC,INS87693CAR,Unit (£),1.0,1.15,1.38,Carpet,Installation,
Installation - Apply Sealant,INS39923CAR,LM,3.0,3.75,4.5,Carpet,Installation,
Stair Rod Installation,INS77503CAR,Per Rod,8.0,10.0,12.0,Carpet,Installation,
Move (Emptied) Furniture,INS46970CAR,Per Room,25.0,29.166666666666664,35.0,Carpet,Furniture,
Lay Floor Protection,INS51087CAR,SQM,2.5,2.916666666666667,3.5,Carpet,Installation,
Delivery (Minimum),INS61126CAR,Unit,45.0,54.16666666666667,65.0,Carpet,Delivery,
Delivery,INS81097CAR,Unit (£),1.0,1.15,1.38,Carpet,Delivery,
Ply Installation - Standard,INS12469CAR,Per Sheet,30.0,35.0,42.0,Carpet,Sub floor works,
Preparation - Miscellaneous,INS24975CAR,Unit (£),1.0,1.1583333333333332,1.39,Carpet,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS68104CAR,SQM,3.5,4.166666666666667,5.0,Carpet,Uplift,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS18098CAR,SQM,5.0,5.833333333333334,7.0,Carpet,Uplift,
Removal (Uplift & Disposal) of Laminate etc.,INS44345CAR,SQM,7.0,8.125,9.75,Carpet,Uplift,
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS76972CAR,SQM,9.5,11.25,13.5,Carpet,Uplift,
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS90798CAR,SQM,12.5,14.583333333333332,17.5,Carpet,Uplift,
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS98157CAR,SQM,15.0,20.833333333333336,25.0,Carpet,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS56489CAR,Unit,70.0,83.33333333333334,100.0,Carpet,Uplift,
Vinyl Installation - Loose Lay,INS41353SHE,SQM,8.0,9.166666666666666,11.0,Sheet Vinyl,Installation,
Vinyl Installation - Full Adhere,INS71439VIN,SQM,12.0,14.166666666666668,17.0,Vinyl,Installation,
Vinyl Installation - Loose Lay (Minimum),INS31512VIN,Unit,100.0,116.66666666666666,140.0,Vinyl,Installation,
Vinyl Installation - Full Adhere (Minimum),INS31972VIN,Unit,150.0,175.0,210.0,Vinyl,Installation,
Vinyl Installation - Step,INS76906VIN,Per Step,50.0,58.33333333333333,70.0,Vinyl,Installation,
Vinyl Installation - Miscellaneous,INS38551VIN,Unit (£),1.0,1.15,1.38,Vinyl,Installation,
Installation - Cut Door (Each),INS67431VIN,Each,30.0,35.0,42.0,Vinyl,Installation,
Installation - Travel / Parking / ULEZ / CC,INS94856VIN,Unit (£),1.0,1.15,1.38,Vinyl,Installation,
Installation - Apply Sealant,INS45188VIN,LM,3.0,3.75,4.5,Vinyl,Installation,
Move (Emptied) Furniture,INS56643VIN,Per Room,25.0,29.166666666666664,35.0,Vinyl,Furniture,
Lay Floor Protection,INS91419VIN,SQM,2.5,2.916666666666667,3.5,Vinyl,Installation,
Delivery (Minimum),INS77631VIN,Unit,45.0,54.16666666666667,65.0,Vinyl,Delivery,
Delivery,INS79986VIN,Unit (£),1.0,1.15,1.38,Vinyl,Delivery,
Ply Installation - Standard,INS58338VIN,Per Sheet,30.0,35.0,42.0,Vinyl,Sub floor works,
Ply Installation - 12mm,INS54620VIN,Per Sheet,35.0,40.83333333333333,49.0,Vinyl,Sub floor works,
Preparation - Miscellaneous,INS63367VIN,Unit (£),1.0,1.1583333333333332,1.39,Vinyl,Sub floor works,
Smoothing Compound Installation,INS30266VIN,Per Bag,45.0,54.16666666666667,65.0,Vinyl,Sub floor works,
Acrylic DPM Installation,INS69728VIN,SQM,8.0,9.583333333333334,11.5,Vinyl,Sub floor works,
Acrylic DPM Installation (Minimum),INS36069VIN,Unit,300.0,354.16666666666663,425.0,Vinyl,Sub floor works,
Moisture Suppressant Installation,INS73958VIN,SQM,8.0,9.583333333333334,11.5,Vinyl,Sub floor works,
Moisture Suppressant Installation (Minimum),INS61476VIN,Unit,300.0,354.16666666666663,425.0,Vinyl,Sub floor works,
Removal (Uplift & Disposal) of Carpet etc.,INS48816VIN,SQM,3.5,4.166666666666667,5.0,Vinyl,Uplift,
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS30633VIN,SQM,5.0,5.833333333333334,7.0,Vinyl,Uplift,
Removal (Uplift & Disposal) of Laminate etc.,INS59225VIN,SQM,7.0,8.125,9.75,Vinyl,Uplift,
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS43864VIN,SQM,9.5,11.25,13.5,Vinyl,Uplift,
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS25878VIN,SQM,12.5,14.583333333333332,17.5,Vinyl,Uplift,
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS24021VIN,SQM,15.0,20.833333333333336,25.0,Vinyl,Uplift,
Removal (Uplift & Disposal) - Minimum charge,INS93408VIN,Unit,70.0,83.33333333333334,100.0,Vinyl,Uplift,
LVT Installation - Plank,INS81790LVT,SQM,18.0,20.833333333333336,25.0,LVT,Installation,
LVT Installation - Tile,INS82140LVT,SQM,18.0,20.833333333333336,25.0,LVT,Installation,
LVT Installation - Herringbone,INS82037LVT,SQM,25.0,29.166666666666664,35.0,LVT,Installation,
LVT Installation - Small Herringbone,INS83828LVT,SQM,30.0,35.0,42.0,LVT,Installation,
LVT Installation - Design Work,INS31496LVT,SQM,35.0,40.83333333333333,49.0,LVT,Installation,
LVT Installation - Border (Without Inlay),INS21027LVT,LM,10.0,11.666666666666668,14.0,LVT,Installation,
LVT Installation - Border (With Inlay),INS67064LVT,LM,15.0,16.666666666666668,20.0,LVT,Installation,
Ply (SP101) Installation inc. Feather (For LVT),INS20329LVT,Per Sheet,36.5,41.66666666666667,50.0,LVT,Sub floor works,
LVT Installation - Minimum (1 Day),INS27761LVT,Day,400.0,458.33333333333337,550.0,LVT,Installation,
LVT Installation - Step,INS64192LVT,Step,50.0,58.33333333333333,70.0,LVT,Installation,
LVT Installation - Miscellaneous,INS15455LVT,Unit (£),1.0,1.15,1.38,LVT,Installation,
Installation - Cut Door (Each),INS63690LVT,Each,30.0,35.0,42.0,LVT,Installation,
Installation - Travel / Parking / ULEZ / CC,INS57313LVT,Unit (£),1.0,1.15,1.38,LVT,Installation,
Installation - Apply Sealant,INS75858LVT,LM,3.0,3.75,4.5,LVT,Installation,
Move (Emptied) Furniture,INS91762LVT,Per Room,25.0,29.166666666666664,35.0,LVT,Furniture,
Lay Floor Protection,INS45350LVT,SQM,2.5,2.916666666666667,3.5,LVT,Installation,
Delivery (Minimum),INS52045LVT,Unit,45.0,54.16666666666667,65.0,LVT,Delivery,
Delivery,INS22975LVT,Unit (£),1.0,1.15,1.38,LVT,Delivery,
Preparation - Miscellaneous,INS66094LVT,Unit (£),1.0,1.1583333333333332,1.39,LVT,Sub floor works,
