SKU,Product,Manufacturer,Category,Material,Width,Colours,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
RU37647FIB,Varsity Runner,Fibre,Runner,"75% Wool, 25% Nylon",700,"Cambridge, Oxford, Princeton, St Andrews, Stanford, Trinity",59.5,89.16666666666666,107.0,,,,Yes
RU96170OFF,Ashington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,"Stonington Grey, Tuscany Yellow, Tangerine Orange, Mangrove Green, French Blue, Squirrel Taupe",82.5,135.0,162.0,Yes,Yes,,Yes
RU98884OFF,Berwick,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,"Regent, Pacific Blue, Sergeant Grey, Trading Post, Pigeon Grey, Moonstone",82.5,135.0,162.0,Yes,Yes,,Yes
RU68576OFF,Brampton,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,"Canyon, Rhino Grey, Seaweed, Sturbridge Blue, Linen, Blush Pink",82.5,135.0,162.0,Yes,Yes,,Yes
RU27359OFF,Broomley,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,"Cadet, Laguna, Suede, Erika Pink, Downing, Battle Grey, Obsidian Black",82.5,135.0,162.0,Yes,Yes,,Yes
RU19062OFF,Doxford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,"Stratton, Capri, Calamine, Truffle, Metropolitan",82.5,135.0,162.0,Yes,Yes,,Yes
RU74122OFF,Felton Border,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,"Priory Mauve, Alpine, Aruna, Masquerade, Seal Grey, Cargo Grey, Marlin Blue, Stately Grey, Warm Stone, Blueberry",88.0,144.16666666666666,173.0,Yes,Yes,,Yes
RU90822OFF,Gainford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",660,"Courtyard Grey, Urban Grey, Dusty, Everglade, Inca, Verano Red, Mineral Grey, Clay",82.5,135.0,162.0,Yes,Yes,,Yes
RU94259OFF,Hadston,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,"Olive Green, Branden Blue, Moroccan Mustard, Smokey Taupe, Mulberry Mauve, Cooper Grey, Gingerbread Spice",88.0,144.16666666666666,173.0,Yes,Yes,,Yes
RU95181OFF,Lintzford,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,"Sherwin, Sakhir, Petrol, Shale, Juniper, Viridian, Saddle",82.5,135.0,162.0,Yes,Yes,,Yes
RU70219OFF,Morden,Off The Loom,Runner,"100% NZ Wool, 3-Ply",650,"Hemlock, Bala, Vida, Cinnamon, Wisteria, Fennel Green, Canary Yellow, Pretty Pink, Navy Blue, Raspberry, Lounge Green, Dijon Yellow, Parisian Pink, Griffin, Dormouse, Sand Beige, Owl, French Grey, Dolphin Grey, Dorian, Flint, Gunmetal Grey, Sage Green",82.5,135.0,162.0,Yes,Yes,,Yes
RU30969OFF,Rothbury,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,"Black, Soft Sky Blue, Easy Green, Denim Blue, Raisin, Fossil Grey, Pink Bloom, Soft Pewter",85.25,139.16666666666666,167.0,Yes,Yes,,Yes
RU46508OFF,Stannington,Off The Loom,Runner,"100% NZ Wool, 3-Ply",640,"Crew, Piper, Yara, Wren, Novah, Troon",88.0,144.16666666666666,173.0,Yes,Yes,,Yes
RU36119SOP,Sophie Cooney Jute Collection (70 CM),Sophie Cooney Runners,Runner,"100% Jute, (Handwoven)",700,"Blueberry Blue, Burnt Orange, Purple, Sage Green",134.58,158.33333333333334,190.0,,,,Yes
RU49794SOP,Sophie Cooney Attica Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,"Blue, Purple",279.79,329.16666666666663,395.0,,,,Yes
RU78044SOP,Sophie Cooney Attica Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,"Blue, Purple",301.04,354.16666666666663,425.0,,,,Yes
RU84272SOP,Sophie Cooney Eye Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,"Blue, Clay, Green",279.79,329.16666666666663,395.0,,,,Yes
RU49672SOP,Sophie Cooney Eye Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,"Blue, Clay, Green",301.04,354.16666666666663,425.0,,,,Yes
RU38382SOP,Sophie Cooney Fortis Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,Black,279.79,329.16666666666663,395.0,,,,Yes
RU51515SOP,Sophie Cooney Fortis Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,Black,301.04,354.16666666666663,425.0,,,,Yes
RU75637SOP,Sophie Cooney Safari (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,"Red, Yellow",279.79,329.16666666666663,395.0,,,,Yes
RU28813SOP,Sophie Cooney Safari (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,"Red, Yellow",301.04,354.16666666666663,425.0,,,,Yes
RU92050SOP,Sophie Cooney Tria Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,"Salmon, Sky Blue",279.79,329.16666666666663,395.0,,,,Yes
RU93138SOP,Sophie Cooney Tria Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,"Salmon, Sky Blue",301.04,354.16666666666663,425.0,,,,Yes
RU52423SOP,Sophie Cooney Tribal Design (60 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",600,"Blue, Green",279.79,329.16666666666663,395.0,,,,Yes
RU88181SOP,Sophie Cooney Tribal Design (70 CM),Sophie Cooney Runners,Runner,"100% NZ Wool, (Handwoven)",700,"Blue, Green",301.04,354.16666666666663,425.0,,,,Yes
