Supplier ID,Name,Account No,Email,Work Phone,Website,Mail Street Address,Mail Suburb,Mail State,Mail Post Code,Mail Country
12.0,Abingdon Flooring,19133,sales@abingdonflooring.co.uk,01274 655 694,https://www.abingdonflooring.co.uk,"Unit 5a Wharfedale Business Park, Edward Street",Bradford,West Yorkshire,BD4 9RT,United Kingdom
48.0,Alternative Flooring,WOV07143,sales@alternativeflooring.co.uk,01264335111,https://www.alternativeflooring.com/,4 Stephenson Cl,Andover,Hampshire,SP10 3RU,United Kingdom
162.0,Amtico,,sales@amtico.com,07919380465,https://www.amtico.com,"Solar Park, Unit 400, Highlands Road, Shirley",Solihull,West Midlands,B90 4SH,United Kingdom
159.0,Artisan Luxury Flooring,,sales@artisan-lf.co.uk,01548721069,https://artisanluxuryflooring.co.uk,"Unit 7-10, Loddiswell Business Park, Loddiswell",Kingsbridge,Devon,TQ7 4QG,United Kingdom
163.0,Associated Weavers,,salesuk@awe.be,01422431100,https://www.carpetyourlife.com/en,"F Mill, Dean Clough Mills",Halifax,West Yorkshire,HX3 5AX,United Kingdom
125.0,Axminster Carpets,C-WOV001,sales@axminster-carpets.co.uk,01297 32244,https://www.axminster-carpets.co.uk/,Woodmead Road,Axminster,Devon,EX13 5PQ,United Kingdom
4.0,Ballister,WOVEN,london@ballister.co.uk,02085701668,https://ballister.co.uk,"Unit 15 Derby Road Industrial Estate, Derby Road",Hounslow,London,TW3 3UH,United Kingdom
49.0,Best Wool Carpets,912046,customerservices@bestwoolcarpets.com,0031499399100,https://www.bestwoolcarpets.com,Kanaaldijk 3,Best,North Brabant,5683 CR,The Netherlands
50.0,Brockway,WOV7198,sales@brockway.co.uk,01562828200,https://www.brockway.co.uk,"Kidderminster Industrial Estate, Spennells Valley Rd",Kidderminster,Worcestershire,DY10 1XS,United Kingdom
51.0,Cavalier Carpets,W15/45,info@cavalier-carpets.co.uk,01254268053,https://cavaliercarpets.co.uk,"Thompson St Industrial Estate, Dixon St",Blackburn,Lancashire,BB2 1TX,United Kingdom
53.0,Clarendon Carpets,2330,sales@clarendoncarpets.com,01827 831 480,https://www.clarendoncarpets.com,"Relay Park, Relay Drive",Tamworth,Staffordshire,B77 5PR,United Kingdom
54.0,Cormar Carpets,WOV002,sales@cormarcarpets.co.uk,01204881200,https://www.cormarcarpets.co.uk,"DC3 Unit, 2 Boundary Way",Hemel Hempstead,Hertfordshire,HP2 7EQ,United Kingdom
55.0,Crucial Trading,2463,sales@crucial-trading.com,01675433505,https://www.crucial-trading.com,Gorsey Lane,Coleshill,Warwickshire,B46 1JU,United Kingdom
56.0,David Harper & Co,WOVE02,harcomp@live.com,02085240219,https://www.davidharperandco.co.uk,28 Larkswood Road,Chingford,London,E4 9DT,United Kingdom
