SKU,Product,Manufacturer,Category,Type,Thickness,Pack Quantity,Width,Length,Colours,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
RE92598LAM,Yukon,Lamett,Vinyl,SPC,4+1,2.348,176,1213,"Beach, Desert Dune, Mistral, Sea Stone, Smoked Grey, Tan",20.02,40.83333333333333,49.0,Yes,,,Yes
RE73681LAM,Yukon Herringbone,Lamett,Vinyl,SPC,4+1,2.269,123,615,"Desert Dune, Mistral, Smoked Grey, Tan",23.77,45.83333333333333,55.0,Yes,,,Yes
RE22525LAM,Sava Herringbone,Lamett,Vinyl,SPC,4+1,2.269,123,615,"Sand, Almond",23.6,45.0,54.0,Yes,,,Yes
RE77492LAM,Tarn,Lamett,Vinyl,SPC,4+1,2.348,176,1213,"Canyon, Chestnut, Cider, Clay, Copper, Vanilla Fudge, Whiskey",24.44,49.16666666666667,59.0,Yes,,,Yes
RE54420LAM,Mantaro,Lamett,Vinyl,SPC,5.5+1,1.777,232,1532,"Fossil, Hay, Inca, Mink, Mocha, Pecan, Spice",24.43,46.66666666666667,56.0,Yes,,,Yes
RE20293LAM,Mantaro Herringbone,Lamett,Vinyl,SPC,5.5+1,1.875,125,625,"Fossil, Hay, Inca, Pecan, Spice",25.32,48.33333333333333,58.0,Yes,,,Yes
RE99184LAM,Nakuru,Lamett,Vinyl,SPC,6.5+1,1.271,230,1842,"Baboon, Impala, Ivory, Lion, Rhino, Savanna",29.4,54.16666666666667,65.0,Yes,,,Yes
RE28309LAM,Nakuru Herringbone,Lamett,Vinyl,SPC,6.5+1,1.513,123,615,"Gazelle, Hippo, Kenya, Safari",31.15,57.5,69.0,Yes,,,Yes
RE96532LAM,Caldera 300X600,Lamett,Vinyl,SPC,4+1,2.34,300,600,"Basalt, Grigio, Scuro, Seasalt, Stone",20.02,40.83333333333333,49.0,Yes,,,Yes
RE46875LAM,Caldera 615X615,Lamett,Vinyl,SPC,5.5+1,1.513,615,615,"Basalt, Grigio, Scuro, Seasalt, Stone",27.06,54.16666666666667,65.0,Yes,,,Yes
RE69950LAM,Caldera 615X1230,Lamett,Vinyl,SPC,6.5+1,1.513,615,1230,"Grigio, Scuro",29.75,57.5,69.0,Yes,,,Yes
RE76271LAM,Ivalo,Lamett,Vinyl,SPC,4+1,2.348,176,1213,"Amaranth, Barley, Black, Cane, Dark Malt, Flax, Oat, Roasted Bean, Rye",24.44,49.16666666666667,59.0,Yes,,,Yes
RE97536PAR,Basic 5.3 - Skyline White 1744609,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE38471PAR,Basic 5.3 - Grey Whitewash 1743001,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE54579PAR,Basic 5.3 - Infinity Grey 1744608,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
RE23364PAR,Basic 5.3 - Oak Natural 1743004,Parador,Vinyl,LVT,5.3,2.176,225,1209,,19.8,44.16666666666667,53.0,,,,
