Product,Manufacturer,Category,Material,Widths,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond
Deep Feelings,Abingdon,Carpet,100% Polyester,"2.5, 4, 5",18.49,36.666666666666664,44.0,Yes,
Lasting Romance,Abingdon,Carpet,100% Polyester,"2.5, 4, 5",14.99,30.0,36.0,Yes,
New Wild Silk,Abingdon,Carpet,100% Polyester,"2.5, 4, 5",14.99,30.0,36.0,,
Stainfree Caress,Abingdon,Carpet,100% Polypropylene,"2.5, 4, 5",12.99,25.833333333333336,31.0,,
Stainfree Finesse,Abingdon,Carpet,100% Polypropylene,"2.5, 4, 5",10.99,21.666666666666664,26.0,,
Stainfree Aristocat,Abingdon,Carpet,100% Polypropylene,"2.5, 4, 5",12.99,25.833333333333336,31.0,Yes,
Stainfree Indulgence,Abingdon,Carpet,100% Polypropylene,"2.5, 4, 5",16.49,33.333333333333336,40.0,Yes,
Royal Sovereign,Abingdon,Carpet,100% Wool,"2.5, 4, 5",13.64,27.5,33.0,Yes,
Royal Windsor,Abingdon,Carpet,100% Wool,"2.5, 4, 5",12.59,25.0,30.0,Yes,
Charter Berber Deluxe,Abingdon,Carpet,80% Wool,"2.5, 4, 5",17.84,35.833333333333336,43.0,,
Charter Berber Loop,Abingdon,Carpet,100% Wool,"2.5, 4, 5",20.99,37.5,45.0,,Yes
Charter Plain Loop,Abingdon,Carpet,100% Wool,"2.5, 4, 5",22.04,40.0,48.0,,Yes
Royal Sovereign,Abingdon,Carpet,100% Wool,"2.5, 4, 5",13.64,27.5,33.0,,Yes
Balmoral,Abingdon,Carpet,80% Wool,"2.5, 4, 5",13.95,27.5,33.0,,
Balmoral Deluxe,Abingdon,Carpet,80% Wool,"2.5, 4, 5",15.21,30.833333333333336,37.0,,
