Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Amtico International PS Adhesive (6 KG),AN83916AMT,Amtico,Amtico,22.45,22.45,45.0,Ancillaries,Adhesive,Amtico Amtico Amtico International PS Adhesive (6 KG),Data synced from Rakata
Amtico International HT Adhesive (15 L),AN56805AMT,Amtico,Amtico,65.15,65.15,130.83,Ancillaries,Adhesive,Amtico Amtico Amtico International HT Adhesive (15 L),Data synced from Rakata
Amtico International HT Adhesive (5 L),AN95398AMT,Amtico,Amtico,25.3,25.3,50.83,Ancillaries,Adhesive,Amtico Amtico Amtico International HT Adhesive (5 L),Data synced from Rakata
Amtico International PS Adbesive (14 KG),AN48359AMT,Amtico,Amtico,52.6,52.6,105.83,Ancillaries,Adhesive,Amtico Amtico Amtico International PS Adbesive (14 KG),Data synced from Rakata
Amtico International Adhesive Remover (250 ML),AN55071AMT,Amtico,Amtico,5.45,5.45,11.67,Ancillaries,Adhesive,Amtico Amtico Amtico International Adhesive Remover (250 ML),Data synced from Rakata
Amtico International SPAX (14 KG),AN63710AMT,Amtico,Amtico,62.0,62.0,124.17,Ancillaries,Adhesive,Amtico Amtico Amtico International SPAX (14 KG),Data synced from Rakata
Amtico International Universal 2-Part (U2P) Adhesive (5 KG x2),AN88043AMT,Amtico,Amtico,75.0,75.0,150.0,Ancillaries,Adhesive,Amtico Amtico Amtico International Universal 2-Part (U2P) Adhesive (5 KG x2),Data synced from Rakata
Amtico International HT Extra Adhesive (14 KG),AN22020AMT,Amtico,Amtico,61.95,61.95,124.17,Ancillaries,Adhesive,Amtico Amtico Amtico International HT Extra Adhesive (14 KG),Data synced from Rakata
Amtico International HT Extra Adhesive (6 KG),AN19447AMT,Amtico,Amtico,27.9,27.9,55.83,Ancillaries,Adhesive,Amtico Amtico Amtico International HT Extra Adhesive (6 KG),Data synced from Rakata
Amtico International SF Adhesive (15 L),AN50468AMT,Amtico,Amtico,51.8,51.8,104.17,Ancillaries,Adhesive,Amtico Amtico Amtico International SF Adhesive (15 L),Data synced from Rakata
Amtico International SF Adhesive (5 L),AN99145AMT,Amtico,Amtico,22.05,22.05,44.17,Ancillaries,Adhesive,Amtico Amtico Amtico International SF Adhesive (5 L),Data synced from Rakata
Amtico International SF Adhesive (2.5 L),AN58835AMT,Amtico,Amtico,12.45,12.45,25.0,Ancillaries,Adhesive,Amtico Amtico Amtico International SF Adhesive (2.5 L),Data synced from Rakata
Amtico International Felt Pads,AN26838AMT,Amtico,Amtico,3.45,3.45,5.83,Ancillaries,Maintenance,Amtico Amtico Amtico International Felt Pads,Data synced from Rakata
Amtico International FloorCare Starter Kit,AN59398AMT,Amtico,Amtico,12.7,12.7,18.33,Ancillaries,Maintenance,Amtico Amtico Amtico International FloorCare Starter Kit,Data synced from Rakata
Amtico International FloorCare Spillage Remover (500 ML),AN94106AMT,Amtico,Amtico,2.5,2.5,4.16,Ancillaries,Maintenance,Amtico Amtico Amtico International FloorCare Spillage Remover (500 ML),Data synced from Rakata
Amtico International FloorCare Maintainer (1 L),AN90670AMT,Amtico,Amtico,4.1,4.1,6.66,Ancillaries,Maintenance,Amtico Amtico Amtico International FloorCare Maintainer (1 L),Data synced from Rakata
Amtico International FloorCare Maintainer (5 L),AN85370AMT,Amtico,Amtico,10.3,10.3,17.5,Ancillaries,Maintenance,Amtico Amtico Amtico International FloorCare Maintainer (5 L),Data synced from Rakata
Amtico International FloorCare Stripper (1 L),AN94646AMT,Amtico,Amtico,4.45,4.45,6.66,Ancillaries,Maintenance,Amtico Amtico Amtico International FloorCare Stripper (1 L),Data synced from Rakata
Amtico International FloorCare Stripper (5 L),AN39984AMT,Amtico,Amtico,15.6,15.6,26.66,Ancillaries,Maintenance,Amtico Amtico Amtico International FloorCare Stripper (5 L),Data synced from Rakata
Amtico International FloorCare Dressing (1 L),AN68315AMT,Amtico,Amtico,5.85,5.85,9.1583333333333,Ancillaries,Maintenance,Amtico Amtico Amtico International FloorCare Dressing (1 L),Data synced from Rakata
Amtico International FloorCare Dressing (5 L),AN45150AMT,Amtico,Amtico,26.13,26.13,40.83,Ancillaries,Maintenance,Amtico Amtico Amtico International FloorCare Dressing (5 L),Data synced from Rakata
Amtico International Matt Floor Dressing (1 L),AN50369AMT,Amtico,Amtico,7.75,7.75,11.66,Ancillaries,Maintenance,Amtico Amtico Amtico International Matt Floor Dressing (1 L),Data synced from Rakata
Amtico International Matt Floor Dressing (5 L),AN94707AMT,Amtico,Amtico,37.4,37.4,47.91,Ancillaries,Maintenance,Amtico Amtico Amtico International Matt Floor Dressing (5 L),Data synced from Rakata
