Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Cloud 9 Contract Underlay,AN73987BAL,Ball & Young Ltd,Ballister,3.53,3.53,7.92,Ancillaries,Underlay,Ballister Ball & Young Ltd Cloud 9 Contract Underlay,Data synced from Rakata
Ballister Coir Matting Natural (2 M),AN34304BAL,Ballister,Ballister,50.4,50.4,58.33,Ancillaries,Other,Ballister Ballister Ballister Coir Matting Natural (2 M),Data synced from Rakata
Ballister Coir Matting Natural (1 M),AN24811BAL,Ballister,Ballister,25.2,25.2,29.17,Ancillaries,Other,Ballister Ballister Ballister Coir Matting Natural (1 M),Data synced from Rakata
Bona GapMaster - Cherry (310 ml),AN63067BON,Bona,Ballister,5.98,5.98,12.08,Ancillaries,Sealant,Ballister Bona Bona GapMaster - Cherry (310 ml),Data synced from Rakata
Bona GapMaster - Beech-Dark (310 ml),AN93637BON,Bona,Ballister,5.98,5.98,12.08,Ancillaries,Sealant,Ballister Bona Bona GapMaster - Beech-Dark (310 ml),Data synced from Rakata
Bona GapMaster - Oak-Dark (310 ml),AN45204BON,Bona,Ballister,5.98,5.98,12.08,Ancillaries,Sealant,Ballister Bona Bona GapMaster - Oak-Dark (310 ml),Data synced from Rakata
Bona GapMaster - Oak-Light (310 ml),AN83733BON,Bona,Ballister,5.98,5.98,12.08,Ancillaries,Sealant,Ballister Bona Bona GapMaster - Oak-Light (310 ml),Data synced from Rakata
Bona GapMaster - Beech-Light (310 ml),AN20113BON,Bona,Ballister,5.98,5.98,12.08,Ancillaries,Sealant,Ballister Bona Bona GapMaster - Beech-Light (310 ml),Data synced from Rakata
Bona GapMaster - Nut (310 ml),AN34824BON,Bona,Ballister,5.98,5.98,12.08,Ancillaries,Sealant,Ballister Bona Bona GapMaster - Nut (310 ml),Data synced from Rakata
Bona GapMaster - Maple (310 ml),AN67222BON,Bona,Ballister,5.98,5.98,12.08,Ancillaries,Sealant,Ballister Bona Bona GapMaster - Maple (310 ml),Data synced from Rakata
FAB Brass Top Zig Trim Satin Brass (900 mm),AN70004CAT,CAT,Ballister,13.46,13.46,45.83333333,Ancillaries,Doorbar,Ballister CAT FAB Brass Top Zig Trim Satin Brass (900 mm),Data synced from Rakata
FAB Brass Top Zig Trim Antique Brass (900 mm),AN26449CAT,CAT,Ballister,13.46,13.46,45.83333333,Ancillaries,Doorbar,Ballister CAT FAB Brass Top Zig Trim Antique Brass (900 mm),Data synced from Rakata
AR3 SF 3mm Ramp - Satin Bright (2715 mm),AN67681CAT,CAT,Ballister,28.01,28.01,87.5,Ancillaries,Profile,Ballister CAT AR3 SF 3mm Ramp - Satin Bright (2715 mm),Data synced from Rakata
AR3 SF 3mm Ramp - Bronze (900 mm),AN37877CAT,CAT,Ballister,9.33,9.33,35.0,Ancillaries,Profile,Ballister CAT AR3 SF 3mm Ramp - Bronze (900 mm),Data synced from Rakata
AC38 SF Cover Plate - Brushed Stainless (2715 mm),AN11334CAT,CAT,Ballister,29.96,29.96,87.5,Ancillaries,Profile,Ballister CAT AC38 SF Cover Plate - Brushed Stainless (2715 mm),Data synced from Rakata
Standard Door Bar - Gold - Single (2715 mm),AN12028CAT,CAT,Ballister,5.04,5.04,17.5,Ancillaries,Profile,Ballister CAT Standard Door Bar - Gold - Single (2715 mm),Data synced from Rakata
CAT Solid Brass - Antique Brass - Double (2715 mm),AN13577CAT,CAT,Ballister,88.6,88.6,145.83,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Antique Brass - Double (2715 mm),Data synced from Rakata
CAT Designer Home - Light Bronze - Z-Section (A/10) (900 mm),AN14561CAT,CAT,Ballister,13.84,13.84,24.17,Ancillaries,Profile,Ballister CAT CAT Designer Home - Light Bronze - Z-Section (A/10) (900 mm),Data synced from Rakata
AC38 SF Cover Plate - Satin Bright (2715 mm),AN16480CAT,CAT,Ballister,29.96,29.96,87.5,Ancillaries,Profile,Ballister CAT AC38 SF Cover Plate - Satin Bright (2715 mm),Data synced from Rakata
CAT Solid Brass - Satin Brass - Single (900 mm),AN17610CAT,CAT,Ballister,15.86,15.86,37.5,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Satin Brass - Single (900 mm),Data synced from Rakata
CAT Designer Home - Bronze - Z-Section (A/10) (2715 mm),AN19210CAT,CAT,Ballister,41.54,41.54,65.83,Ancillaries,Profile,Ballister CAT CAT Designer Home - Bronze - Z-Section (A/10) (2715 mm),Data synced from Rakata
CAT Solid Brass - Satin Brass - Double (900 mm),AN19397CAT,CAT,Ballister,31.75,31.75,54.17,Ancillaries,Profile,Ballister CAT CAT Solid Brass - Satin Brass - Double (900 mm),Data synced from Rakata
