Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Profile Nosing (2.70 M),AN59136PRL,Parallel,Parallel,70.0,70.0,116.67,Ancillaries,Profile,Parallel Parallel Profile Nosing (2.70 M),Data synced from Rakata
Furlong Radiator Pipe Covers (Pair),AN77717PRL,Parallel,Parallel,5.5,5.5,15.83,Ancillaries,Profile,Parallel Parallel Furlong Radiator Pipe Covers (Pair),Data synced from Rakata
Furlong Overlapping Nosing (0.99 M),AN58287PRL,Parallel,Parallel,32.03,32.03,49.17,Ancillaries,Profile,Parallel Parallel Furlong Overlapping Nosing (0.99 M),Data synced from Rakata
Furlong Profile Semi-Ramp (0.99 M),AN33991PRL,Parallel,Parallel,13.81,13.81,29.17,Ancillaries,Profile,Parallel Parallel Furlong Profile Semi-Ramp (0.99 M),Data synced from Rakata
Furlong Profile Ramp (0.99 M),AN96579PRL,Parallel,Parallel,14.59,14.59,29.17,Ancillaries,Profile,Parallel Parallel Furlong Profile Ramp (0.99 M),Data synced from Rakata
Furlong Profile Twin (0.99 M),AN91336PRL,Parallel,Parallel,12.7,12.7,29.17,Ancillaries,Profile,Parallel Parallel Furlong Profile Twin (0.99 M),Data synced from Rakata
Furlong Profile L/End (0.99 M),AN98876PRL,Parallel,Parallel,11.37,11.37,29.17,Ancillaries,Profile,Parallel Parallel Furlong Profile L/End (0.99 M),Data synced from Rakata
Furlong Overlapping Nosing (2.0 M),AN53395PRL,Parallel,Parallel,52.85,52.85,90.83,Ancillaries,Profile,Parallel Parallel Furlong Overlapping Nosing (2.0 M),Data synced from Rakata
Furlong Profile Semi-Ramp (3.0 M),AN27584PRL,Parallel,Parallel,41.85,41.85,82.5,Ancillaries,Profile,Parallel Parallel Furlong Profile Semi-Ramp (3.0 M),Data synced from Rakata
Furlong Profile Ramp (3.0 M),AN61254PRL,Parallel,Parallel,44.21,44.21,82.5,Ancillaries,Profile,Parallel Parallel Furlong Profile Ramp (3.0 M),Data synced from Rakata
Profile L/End (0.90 M),AN12468PRL,Parallel,Parallel,20.0,20.0,32.5,Ancillaries,Profile,Parallel Parallel Profile L/End (0.90 M),Data synced from Rakata
Profile Twin (0.90 M),AN78765PRL,Parallel,Parallel,20.0,20.0,32.5,Ancillaries,Profile,Parallel Parallel Profile Twin (0.90 M),Data synced from Rakata
Profile Ramp (0.90 M),AN35210PRL,Parallel,Parallel,20.0,20.0,32.5,Ancillaries,Profile,Parallel Parallel Profile Ramp (0.90 M),Data synced from Rakata
Profile Semi-Ramp (0.90 M),AN91172PRL,Parallel,Parallel,20.0,20.0,32.5,Ancillaries,Profile,Parallel Parallel Profile Semi-Ramp (0.90 M),Data synced from Rakata
Profile Nosing (0.90),AN37227PRL,Parallel,Parallel,35.0,35.0,49.17,Ancillaries,Profile,Parallel Parallel Profile Nosing (0.90),Data synced from Rakata
Radiator Pipe Covers (Pair),AN73026PRL,Parallel,Parallel,10.0,10.0,15.83,Ancillaries,Profile,Parallel Parallel Radiator Pipe Covers (Pair),Data synced from Rakata
Profile L/End (2.70 M),AN44001PRL,Parallel,Parallel,40.0,40.0,87.5,Ancillaries,Profile,Parallel Parallel Profile L/End (2.70 M),Data synced from Rakata
Profile Twin (2.70 M),AN15245PRL,Parallel,Parallel,40.0,40.0,87.5,Ancillaries,Profile,Parallel Parallel Profile Twin (2.70 M),Data synced from Rakata
Profile Ramp (2.70 M),AN24419PRL,Parallel,Parallel,40.0,40.0,87.5,Ancillaries,Profile,Parallel Parallel Profile Ramp (2.70 M),Data synced from Rakata
Furlong Profile Twin (3.0 M),AN26998PRL,Parallel,Parallel,38.5,38.5,82.5,Ancillaries,Profile,Parallel Parallel Furlong Profile Twin (3.0 M),Data synced from Rakata
Furlong Profile L/End (3.0 M),AN62395PRL,Parallel,Parallel,34.45,34.45,82.5,Ancillaries,Profile,Parallel Parallel Furlong Profile L/End (3.0 M),Data synced from Rakata
Profile Semi-Ramp (2.70 M),AN97277PRL,Parallel,Parallel,40.0,40.0,87.5,Ancillaries,Profile,Parallel Parallel Profile Semi-Ramp (2.70 M),Data synced from Rakata
