Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
F30 Seaming Adhesive (500 ml) [& Dispenser],AN29884FBA,F Ball,Salesmark West,13.72,13.72,29.17,Ancillaries,Adhesive,Salesmark West F Ball F30 Seaming Adhesive (500 ml) [& Dispenser],Data synced from Rakata
F3 Adhesive (5 L),AN73997FBA,F Ball,Salesmark West,21.66,21.66,45.833333333333,Ancillaries,Adhesive,Salesmark West F Ball F3 Adhesive (5 L),Data synced from Rakata
F41 Tackifier (5 L),AN47780FBA,F Ball,Salesmark West,23.55,23.55,40.833333333333,Ancillaries,Adhesive,Salesmark West F Ball F41 Tackifier (5 L),Data synced from Rakata
F597 Environmentally Friendly Spray Adhesive,AN28959FBA,F Ball,Salesmark West,2.45,2.45,10.42,Ancillaries,Adhesive,Salesmark West F Ball F597 Environmentally Friendly Spray Adhesive,Data synced from Rakata
F46 Pressure Sensitive Adhesive (5 lt),AN93334FBA,F Ball,Salesmark West,32.28,32.28,54.17,Ancillaries,Adhesive,Salesmark West F Ball F46 Pressure Sensitive Adhesive (5 lt),Data synced from Rakata
F157 Premium Gripper (Short-Pin),AN44305FBA,F Ball,Salesmark West,0.23,0.23,0.83,Ancillaries,Gripper,Salesmark West F Ball F157 Premium Gripper (Short-Pin),Data synced from Rakata
StopGap 300 Levelling Compound (20 kg),AN67410FBA,F Ball,Salesmark West,18.43,18.43,37.5,Ancillaries,Sub floor works,Salesmark West F Ball StopGap 300 Levelling Compound (20 kg),Data synced from Rakata
P131 Primer (5 L),AN93595FBA,F Ball,Salesmark West,30.5,30.5,50.0,Ancillaries,Sub floor works,Salesmark West F Ball P131 Primer (5 L),Data synced from Rakata
P141 Primer (5 L),AN99518FBA,F Ball,Salesmark West,42.24,42.24,58.33,Ancillaries,Sub floor works,Salesmark West F Ball P141 Primer (5 L),Data synced from Rakata
StopGap 1200 (2-Part) Levelling Compound (20 kg),AN93781FBA,F Ball,Salesmark West,19.9,19.9,37.5,Ancillaries,Sub floor works,Salesmark West F Ball StopGap 1200 (2-Part) Levelling Compound (20 kg),Data synced from Rakata
StopGap 700 Levelling Compound (20 kg),AN52937FBA,F Ball,Salesmark West,30.02,30.02,49.17,Ancillaries,Sub floor works,Salesmark West F Ball StopGap 700 Levelling Compound (20 kg),Data synced from Rakata
F538 Woodworking PVA Adhesive (1 L),AN98279FLO,Floorwise,Salesmark West,2.25,2.25,12.5,Ancillaries,Adhesive,Salesmark West Floorwise F538 Woodworking PVA Adhesive (1 L),Data synced from Rakata
F167 Diamond Gripper,AN65346FLO,Floorwise,Salesmark West,0.26,0.26,0.83,Ancillaries,Gripper,Salesmark West Floorwise F167 Diamond Gripper,Data synced from Rakata
F500 Clear Sealant (310 ml),AN62074FLO,Floorwise,Salesmark West,0.29,0.29,12.08,Ancillaries,Sealant,Salesmark West Floorwise F500 Clear Sealant (310 ml),Data synced from Rakata
F500 White Sealant (310 ml),AN68501FLO,Floorwise,Salesmark West,0.29,0.29,12.08,Ancillaries,Sealant,Salesmark West Floorwise F500 White Sealant (310 ml),Data synced from Rakata
Prestige Combi Underlay (11 mm),AN94968FLO,Floorwise,Salesmark West,3.43,3.43,7.9166666666667,Ancillaries,Underlay,Salesmark West Floorwise Prestige Combi Underlay (11 mm),Data synced from Rakata
Thermaflow Underlay (0.79 TOG / 6.75mm),AN86466FLO,Floorwise,Salesmark West,5.67,5.67,11.25,Ancillaries,Underlay,Salesmark West Floorwise Thermaflow Underlay (0.79 TOG / 6.75mm),Data synced from Rakata
Optima Underlay (Durafit) (1.40 TOG / 8 mm),AN32287FLO,Floorwise,Salesmark West,5.73,5.73,11.25,Ancillaries,Underlay,Salesmark West Floorwise Optima Underlay (Durafit) (1.40 TOG / 8 mm),Data synced from Rakata
Elegance Underlay (2.68 TOG / 10mm),AN44120FLO,Floorwise,Salesmark West,3.81,3.81,7.92,Ancillaries,Underlay,Salesmark West Floorwise Elegance Underlay (2.68 TOG / 10mm),Data synced from Rakata
Allure Underlay (2.89 TOG / 11mm),AN38877FLO,Floorwise,Salesmark West,2.46,2.46,7.92,Ancillaries,Underlay,Salesmark West Floorwise Allure Underlay (2.89 TOG / 11mm),Data synced from Rakata
SP101 5.5mm Ply (1.22 x 2.44),AN38541GEN,Generic,Salesmark West,24.28,24.28,40.83,Ancillaries,Sub floor works,Salesmark West Generic SP101 5.5mm Ply (1.22 x 2.44),Data synced from Rakata
Coloured Scotia (2.4 M Length),AN20683GEN,Generic,Salesmark West,3.17,3.17,6.25,Ancillaries,Profile,Salesmark West Generic Coloured Scotia (2.4 M Length),Data synced from Rakata
FW007 Floorworks Microplast Gripper,AN20986GRI,Gripperrods,Salesmark West,0.55,0.55,2.5,Ancillaries,Gripper,Salesmark West Gripperrods FW007 Floorworks Microplast Gripper,Data synced from Rakata
C110 Contract Gripper (3-row),AN98400INT,Interfloor,Salesmark West,0.61,0.61,2.5,Ancillaries,Gripper,Salesmark West Interfloor C110 Contract Gripper (3-row),Data synced from Rakata
