Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Ted Todd MS Flex Adhesive (15kg),AN51613TED,Ted Todd,Ted Todd,53.95,53.95,157.5,Ancillaries,Adhesive,Ted Todd Ted Todd Ted Todd MS Flex Adhesive (15kg),Data synced from Rakata
Ted Todd Care Kit - System 3 (Whitened Lacq. & Hardened Oil),AN13976TED,Ted Todd,Ted Todd,41.63,41.63,57.5,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Care Kit - System 3 (Whitened Lacq. & Hardened Oil),Data synced from Rakata
Ted Todd Care Kit - System 4 (Whitened Natural & Hardwax Oil),AN71079TED,Ted Todd,Ted Todd,45.1,45.1,57.5,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Care Kit - System 4 (Whitened Natural & Hardwax Oil),Data synced from Rakata
Ted Todd Care Kit - System 1 (Lacq. & Hardened Oil),AN40245TED,Ted Todd,Ted Todd,36.08,36.08,50.0,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Care Kit - System 1 (Lacq. & Hardened Oil),Data synced from Rakata
Ted Todd Easy Clean 1 lt (Lacq. & Hardened Oil),AN13619TED,Ted Todd,Ted Todd,9.69,9.69,11.63,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Easy Clean 1 lt (Lacq. & Hardened Oil),Data synced from Rakata
Ted Todd Care Kit - System 2 (Natural & Hardwax Oil),AN55461TED,Ted Todd,Ted Todd,38.85,38.85,54.17,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Care Kit - System 2 (Natural & Hardwax Oil),Data synced from Rakata
Ted Todd Oak Radiator Pipe Covers (Pair),AN73393TED,Ted Todd,Ted Todd,13.82,13.82,20.73,Ancillaries,Other,Ted Todd Ted Todd Ted Todd Oak Radiator Pipe Covers (Pair),Data synced from Rakata
Ted Todd Fidbox - Climatic Monitoring System,AN18381TED,Ted Todd,Ted Todd,182.57,182.57,219.08,Ancillaries,Other,Ted Todd Ted Todd Ted Todd Fidbox - Climatic Monitoring System,Data synced from Rakata
Ted Todd Oak L/End (2.35 M),AN18120TED,Ted Todd,Ted Todd,29.9,29.9,59.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak L/End (2.35 M),Data synced from Rakata
Ted Todd Oak Cover Strip 6mm X 34mm (2.35 M),AN23373TED,Ted Todd,Ted Todd,23.9,23.9,47.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Cover Strip 6mm X 34mm (2.35 M),Data synced from Rakata
Ted Todd Oak (T&G) Stair Nosing (2.35 M),AN23629TED,Ted Todd,Ted Todd,50.9,50.9,101.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak (T&G) Stair Nosing (2.35 M),Data synced from Rakata
Ted Todd Oak Scotia (Beading) (2.35 M),AN26054TED,Ted Todd,Ted Todd,13.82,13.82,27.64,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Scotia (Beading) (2.35 M),Data synced from Rakata
Ted Todd Oak Semi-Ramp (2.35 M),AN26751TED,Ted Todd,Ted Todd,29.9,29.9,59.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Semi-Ramp (2.35 M),Data synced from Rakata
Ted Todd Oak T-Section (2.35 M),AN34855TED,Ted Todd,Ted Todd,28.4,28.4,56.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak T-Section (2.35 M),Data synced from Rakata
Ted Todd Oak Ramp (0.96 M),AN44786TED,Ted Todd,Ted Todd,21.9,21.9,43.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Ramp (0.96 M),Data synced from Rakata
Ted Todd Oak T-Section (0.96 M),AN57954TED,Ted Todd,Ted Todd,16.6,16.6,33.2,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak T-Section (0.96 M),Data synced from Rakata
Ted Todd Oak Cover Strip 6mm X 44mm (2.35 M),AN78912TED,Ted Todd,Ted Todd,24.9,24.9,49.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Cover Strip 6mm X 44mm (2.35 M),Data synced from Rakata
Ted Todd Oak Ramp (2.35 M),AN82270TED,Ted Todd,Ted Todd,40.9,40.9,81.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Ramp (2.35 M),Data synced from Rakata
Ted Todd Oak L/End (0.96 M),AN85384TED,Ted Todd,Ted Todd,18.9,18.9,37.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak L/End (0.96 M),Data synced from Rakata
Ted Todd Oak (T&G) Stair Nosing (0.96 M),AN86571TED,Ted Todd,Ted Todd,30.9,30.9,61.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak (T&G) Stair Nosing (0.96 M),Data synced from Rakata
Ted Todd Oak Semi-Ramp (0.96 M),AN89879TED,Ted Todd,Ted Todd,18.9,18.9,37.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Semi-Ramp (0.96 M),Data synced from Rakata
Ted Todd Olympia 3.6mm Underlay (15 SQM),AN79773TED,Ted Todd,Ted Todd,82.6,82.6,137.67,Ancillaries,Underlay,Ted Todd Ted Todd Ted Todd Olympia 3.6mm Underlay (15 SQM),Data synced from Rakata
Ted Todd Amphion 5.0mm Underlay (15 SQM),AN65517TED,Ted Todd,Ted Todd,118.72,118.72,197.87,Ancillaries,Underlay,Ted Todd Ted Todd Ted Todd Amphion 5.0mm Underlay (15 SQM),Data synced from Rakata
