Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
AF Natural Flooring Care Kit,AN13674ALT,Alternative Flooring,Alternative Flooring,38.24,38.24,60.83,Ancillaries,Maintenance,Alternative Flooring Alternative Flooring AF Natural Flooring Care Kit,Data synced from Rakata
Amtico International PS Adhesive (6 KG),AN83916AMT,Amtico,Amtico,22.45,22.45,45.0,Ancillaries,Adhesive,Amtico Amtico Amtico International PS Adhesive (6 KG),Data synced from Rakata
Amtico International HT Adhesive (15 L),AN56805AMT,Amtico,Amtico,65.15,65.15,130.83,Ancillaries,Adhesive,Amtico Amtico Amtico International HT Adhesive (15 L),Data synced from Rakata
Amtico International HT Adhesive (5 L),AN95398AMT,Amtico,Amtico,25.3,25.3,50.83,Ancillaries,Adhesive,Amtico Amtico Amtico International HT Adhesive (5 L),Data synced from Rakata
Amtico International PS Adbesive (14 KG),AN48359AMT,Amtico,Amtico,52.6,52.6,105.83,Ancillaries,Adhesive,Amtico Amtico Amtico International PS Adbesive (14 KG),Data synced from Rakata
Amtico International Adhesive Remover (250 ML),AN55071AMT,Amtico,Amtico,5.45,5.45,11.67,Ancillaries,Adhesive,Amtico Amtico Amtico International Adhesive Remover (250 ML),Data synced from Rakata
Amtico International SPAX (14 KG),AN63710AMT,Amtico,Amtico,62.0,62.0,124.17,Ancillaries,Adhesive,Amtico Amtico Amtico International SPAX (14 KG),Data synced from Rakata
Amtico International Universal 2-Part (U2P) Adhesive (5 KG x2),AN88043AMT,Amtico,Amtico,75.0,75.0,150.0,Ancillaries,Adhesive,Amtico Amtico Amtico International Universal 2-Part (U2P) Adhesive (5 KG x2),Data synced from Rakata
Amtico International HT Extra Adhesive (14 KG),AN22020AMT,Amtico,Amtico,61.95,61.95,124.17,Ancillaries,Adhesive,Amtico Amtico Amtico International HT Extra Adhesive (14 KG),Data synced from Rakata
Amtico International HT Extra Adhesive (6 KG),AN19447AMT,Amtico,Amtico,27.9,27.9,55.83,Ancillaries,Adhesive,Amtico Amtico Amtico International HT Extra Adhesive (6 KG),Data synced from Rakata
