Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
AF Coir Boucle Natural (4 M),CA28594ALT-1B645,Alternative Flooring,67.12,67.12,133.33333333333334,Carpet,Coir,Alternative Flooring AF Coir Boucle Natural 4,Price per SQM: £40.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Coir Boucle Natural (5 M),CA28594ALT-AC347,Alternative Flooring,83.9,83.9,166.66666666666669,Carpet,Coir,Alternative Flooring AF Coir Boucle Natural  5,Price per SQM: £40.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Coir Herringbone Natural (4 M),CA36410ALT-1B645,Alternative Flooring,54.08,54.08,106.66666666666666,Carpet,Coir,Alternative Flooring AF Coir Herringbone Natural 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Coir Herringbone Natural (5 M),CA36410ALT-AC347,Alternative Flooring,67.6,67.6,133.33333333333331,Carpet,Coir,Alternative Flooring AF Coir Herringbone Natural  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Coir Panama Natural (4 M),CA17564ALT-1B645,Alternative Flooring,54.08,54.08,106.66666666666666,Carpet,Coir,Alternative Flooring AF Coir Panama Natural 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Coir Panama Natural (5 M),CA17564ALT-AC347,Alternative Flooring,67.6,67.6,133.33333333333331,Carpet,Coir,Alternative Flooring AF Coir Panama Natural  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Jute Big Boucle Crumpet (4 M),CA35530ALT-1B645,Alternative Flooring,103.56,103.56,176.66666666666669,Carpet,Jute,Alternative Flooring AF Jute Big Boucle Crumpet 4,Price per SQM: £53.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Jute Big Boucle Toast (4 M),CA57808ALT-1B645,Alternative Flooring,103.56,103.56,176.66666666666669,Carpet,Jute,Alternative Flooring AF Jute Big Boucle Toast 4,Price per SQM: £53.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Jute Big Panama Pancake (4 M),CA56051ALT-1B645,Alternative Flooring,103.56,103.56,176.66666666666669,Carpet,Jute,Alternative Flooring AF Jute Big Panama Pancake 4,Price per SQM: £53.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Jute Big Panama Waffle (4 M),CA32300ALT-1B645,Alternative Flooring,103.56,103.56,176.66666666666669,Carpet,Jute,Alternative Flooring AF Jute Big Panama Waffle 4,Price per SQM: £53.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AF Jute Boucle Natural (4 M),CA96494ALT-1B645,Alternative Flooring,79.76,79.76,160.0,Carpet,Jute,Alternative Flooring AF Jute Boucle Natural 4,Price per SQM: £48.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
