Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Alora Amaro (4 M),CA91217ART-B24F9,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora Amaro 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Cadini (4 M),CA91217ART-BCD18,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Cadini 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Capanne (4 M),CA91217ART-39EB9,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Capanne 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Cervati (4 M),CA91217ART-A7269,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Cervati 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Cresto (4 M),CA91217ART-D9E72,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Cresto 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Grivola (4 M),CA91217ART-1B981,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Grivola 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Sirente (4 M),CA91217ART-3F68B,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Sirente 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Solaro (4 M),CA91217ART-CF1F8,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Solaro 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Stromboli (4 M),CA91217ART-F97E8,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Stromboli 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Velino (4 M),CA91217ART-8C35B,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Velino 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alora Vulcano (4 M),CA91217ART-EB256,Artisan Luxury Flooring,279.8,279.8,420.0,Carpet,Carpet,Artisan Luxury Flooring Alora  Vulcano 4,Price per SQM: £126.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Eleganza Avena (4 M),CA45860ART-E0A7D,Artisan Luxury Flooring,83.8,83.8,150.0,Carpet,Carpet,Artisan Luxury Flooring Eleganza Avena 4,"Price per SQM: £45.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Eleganza Avena (5 M),CA45860ART-358A2,Artisan Luxury Flooring,104.75,104.75,187.5,Carpet,Carpet,Artisan Luxury Flooring Eleganza Avena  5,"Price per SQM: £45.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Eleganza Balena (4 M),CA45860ART-BB32D,Artisan Luxury Flooring,83.8,83.8,150.0,Carpet,Carpet,Artisan Luxury Flooring Eleganza  Balena 4,"Price per SQM: £45.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Eleganza Balena (5 M),CA45860ART-D3C26,Artisan Luxury Flooring,104.75,104.75,187.5,Carpet,Carpet,Artisan Luxury Flooring Eleganza  Balena  5,"Price per SQM: £45.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Eleganza Bianco (4 M),CA45860ART-09754,Artisan Luxury Flooring,83.8,83.8,150.0,Carpet,Carpet,Artisan Luxury Flooring Eleganza  Bianco 4,"Price per SQM: £45.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
