Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
AWs California Dreams New 03 (4 M),CA76431ASS-ECCC2,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams New 03 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 03 (5 M),CA76431ASS-9E879,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams New 03  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 10 (4 M),CA76431ASS-F263E,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 10 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 10 (5 M),CA76431ASS-2B325,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 10  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 26 (4 M),CA76431ASS-3B6EB,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 26 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 26 (5 M),CA76431ASS-A0D18,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 26  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 29 (4 M),CA76431ASS-6037F,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 29 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 29 (5 M),CA76431ASS-7C200,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 29  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 36 (4 M),CA76431ASS-AD7DF,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 36 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 36 (5 M),CA76431ASS-3A05E,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 36  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 39 (4 M),CA76431ASS-56B01,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 39 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 39 (5 M),CA76431ASS-6288D,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 39  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 40 (4 M),CA76431ASS-D74EC,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 40 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 40 (5 M),CA76431ASS-146FF,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 40  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 49 (4 M),CA76431ASS-3148F,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 49 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 49 (5 M),CA76431ASS-AFF27,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 49  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 67 (4 M),CA76431ASS-FA402,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 67 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 67 (5 M),CA76431ASS-A593D,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 67  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 88 (4 M),CA76431ASS-2662F,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 88 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 88 (5 M),CA76431ASS-23A28,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 88  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 90 (4 M),CA76431ASS-412DB,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 90 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 90 (5 M),CA76431ASS-86DD1,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 90  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 94 (4 M),CA76431ASS-6E3E7,Associated Weavers,74.989,74.989,150.0,Carpet,Carpet,Associated Weavers AWs California Dreams  New 94 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs California Dreams New 94 (5 M),CA76431ASS-AB24E,Associated Weavers,93.73625000000001,93.73625000000001,187.5,Carpet,Carpet,Associated Weavers AWs California Dreams  New 94  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 28 (4 M),CA73578ASS-7F354,Associated Weavers,32.829,32.829,66.66666666666667,Carpet,Carpet,Associated Weavers AWs Gladiator 28 4,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
AWs Gladiator 28 (5 M),CA73578ASS-367AC,Associated Weavers,41.03625,41.03625,83.33333333333334,Carpet,Carpet,Associated Weavers AWs Gladiator 28  5,Price per SQM: £20.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
