Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Cobble Weave Anaman Whirl (4 M),CA69706AXM-FC3AE,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave Anaman Whirl 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Anaman Whirl (5 M),CA69706AXM-9BFB9,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave Anaman Whirl  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Araniko Loop (4 M),CA69706AXM-D3BF2,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Araniko Loop 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Araniko Loop (5 M),CA69706AXM-95750,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Araniko Loop  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Dolakha Spire (4 M),CA69706AXM-86AD2,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Dolakha Spire 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Dolakha Spire (5 M),CA69706AXM-44179,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Dolakha Spire  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Karakoram Knot (4 M),CA69706AXM-16076,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Karakoram Knot 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Karakoram Knot (5 M),CA69706AXM-B513D,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Karakoram Knot  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Karnali Braid (4 M),CA69706AXM-6BEAF,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Karnali Braid 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Karnali Braid (5 M),CA69706AXM-31524,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Karnali Braid  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Kashmir Jewel (4 M),CA69706AXM-C1C7F,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Kashmir Jewel 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Kashmir Jewel (5 M),CA69706AXM-4E68E,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Kashmir Jewel  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Langtang Creek (4 M),CA69706AXM-53565,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Langtang Creek 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Langtang Creek (5 M),CA69706AXM-0B09A,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Langtang Creek  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Myanmar Hoop (4 M),CA69706AXM-1DC52,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Myanmar Hoop 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Myanmar Hoop (5 M),CA69706AXM-98952,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Myanmar Hoop  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Taklamakan Sphere (4 M),CA69706AXM-5C853,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Taklamakan Sphere 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Taklamakan Sphere (5 M),CA69706AXM-EA1B1,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Taklamakan Sphere  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Tilicho Bow (4 M),CA69706AXM-A7EFB,Axminster Carpets,159.96,159.96,240.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Tilicho Bow 4,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Cobble Weave Tilicho Bow (5 M),CA69706AXM-F66FE,Axminster Carpets,199.95000000000002,199.95000000000002,300.0,Carpet,Carpet,Axminster Carpets Cobble Weave  Tilicho Bow  5,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Devonia Confetti (4 M),CA44625AXM-63D25,Axminster Carpets,114.8,114.8,180.0,Carpet,Carpet,Axminster Carpets Devonia Confetti 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Devonia Confetti (5 M),CA44625AXM-3B4D8,Axminster Carpets,143.5,143.5,225.0,Carpet,Carpet,Axminster Carpets Devonia Confetti  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Devonia Dimpsey (4 M),CA44625AXM-ED1B8,Axminster Carpets,114.8,114.8,180.0,Carpet,Carpet,Axminster Carpets Devonia  Dimpsey 4,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Devonia Dimpsey (5 M),CA44625AXM-542C1,Axminster Carpets,143.5,143.5,225.0,Carpet,Carpet,Axminster Carpets Devonia  Dimpsey  5,Price per SQM: £54.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
