Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Globe 196 (4 M),CA26813BES-44C9B,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe 196 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 196 (5 M),CA26813BES-5B17A,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe 196  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 195 (4 M),CA26813BES-268D2,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  195 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 195 (5 M),CA26813BES-85292,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  195  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 191 (4 M),CA26813BES-B8666,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  191 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 191 (5 M),CA26813BES-83EE3,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  191  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 190 (4 M),CA26813BES-A80A6,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  190 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 190 (5 M),CA26813BES-6D321,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  190  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 193 (4 M),CA26813BES-BA801,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  193 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 193 (5 M),CA26813BES-3C267,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  193  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 116 (4 M),CA26813BES-31E32,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  116 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 116 (5 M),CA26813BES-4A4AB,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  116  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 117 (4 M),CA26813BES-BE98F,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  117 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 117 (5 M),CA26813BES-566EE,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  117  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 118 (4 M),CA26813BES-4F221,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  118 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 118 (5 M),CA26813BES-02EF6,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  118  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 182 (4 M),CA26813BES-4317A,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  182 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 182 (5 M),CA26813BES-74C8A,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  182  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 197 (4 M),CA26813BES-8FFFB,Best Wool Carpets,92.0,92.0,166.66666666666669,Carpet,Carpet,Best Wool Carpets Globe  197 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Globe 197 (5 M),CA26813BES-97265,Best Wool Carpets,115.0,115.0,208.33333333333337,Carpet,Carpet,Best Wool Carpets Globe  197  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Imperial Humility B10020 (5 M),CA84953BES-AD597,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial Humility B10020 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Imperial Humility B10021 (5 M),CA84953BES-05402,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial  Humility B10021 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Imperial Humility B10022 (5 M),CA84953BES-E8C8E,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial  Humility B10022 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Imperial Humility B40030 (5 M),CA84953BES-06048,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial  Humility B40030 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Imperial Humility B40031 (5 M),CA84953BES-D7D6F,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial  Humility B40031 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Imperial Humility B40037 (5 M),CA84953BES-433A5,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial  Humility B40037 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Imperial Humility B70018 (5 M),CA84953BES-DDB3E,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial  Humility B70018 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Imperial Humility D10020 (5 M),CA84953BES-538E9,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial  Humility D10020 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Imperial Humility E40012 (5 M),CA84953BES-A52C0,Best Wool Carpets,159.5,159.5,270.83333333333337,Carpet,Carpet,Best Wool Carpets Imperial  Humility E40012 5,"Price per SQM: £65.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
