Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Beachcomber Barnacle (4 M),CA67564BRO-1246A,Brockway,109.88,109.88,186.66666666666669,Carpet,Carpet,Brockway Beachcomber Barnacle 4,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Barnacle (5 M),CA67564BRO-197BC,Brockway,137.35,137.35,233.33333333333337,Carpet,Carpet,Brockway Beachcomber Barnacle  5,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Driftwood (4 M),CA67564BRO-B6C1D,Brockway,109.88,109.88,186.66666666666669,Carpet,Carpet,Brockway Beachcomber  Driftwood 4,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Driftwood (5 M),CA67564BRO-88053,Brockway,137.35,137.35,233.33333333333337,Carpet,Carpet,Brockway Beachcomber  Driftwood  5,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Dune Barnacle (4 M),CA67564BRO-EE73A,Brockway,109.88,109.88,186.66666666666669,Carpet,Carpet,Brockway Beachcomber  Dune Barnacle 4,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Dune Barnacle (5 M),CA67564BRO-5A2C6,Brockway,137.35,137.35,233.33333333333337,Carpet,Carpet,Brockway Beachcomber  Dune Barnacle  5,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Dune Driftwood (4 M),CA67564BRO-B8D9A,Brockway,109.88,109.88,186.66666666666669,Carpet,Carpet,Brockway Beachcomber  Dune Driftwood 4,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Dune Driftwood (5 M),CA67564BRO-D45DA,Brockway,137.35,137.35,233.33333333333337,Carpet,Carpet,Brockway Beachcomber  Dune Driftwood  5,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Dune Pebble (4 M),CA67564BRO-EF197,Brockway,109.88,109.88,186.66666666666669,Carpet,Carpet,Brockway Beachcomber  Dune Pebble 4,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Dune Pebble (5 M),CA67564BRO-DC8E7,Brockway,137.35,137.35,233.33333333333337,Carpet,Carpet,Brockway Beachcomber  Dune Pebble  5,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Beachcomber Dune Reef (4 M),CA67564BRO-E7DB2,Brockway,109.88,109.88,186.66666666666669,Carpet,Carpet,Brockway Beachcomber  Dune Reef 4,Price per SQM: £56.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
