Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Coastal Loop Crest (4 M),CA47304CAV-CD3B1,Cavalier Carpets,108.16,108.16,183.33333333333331,Carpet,Carpet,Cavalier Carpets Coastal Loop Crest 4,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Crest (5 M),CA47304CAV-47C81,Cavalier Carpets,135.2,135.2,229.16666666666663,Carpet,Carpet,Cavalier Carpets Coastal Loop Crest  5,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Ebb (4 M),CA47304CAV-EB614,Cavalier Carpets,108.16,108.16,183.33333333333331,Carpet,Carpet,Cavalier Carpets Coastal Loop  Ebb 4,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Ebb (5 M),CA47304CAV-700AA,Cavalier Carpets,135.2,135.2,229.16666666666663,Carpet,Carpet,Cavalier Carpets Coastal Loop  Ebb  5,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Tide (4 M),CA47304CAV-FAB43,Cavalier Carpets,108.16,108.16,183.33333333333331,Carpet,Carpet,Cavalier Carpets Coastal Loop  Tide 4,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Tide (5 M),CA47304CAV-F32ED,Cavalier Carpets,135.2,135.2,229.16666666666663,Carpet,Carpet,Cavalier Carpets Coastal Loop  Tide  5,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Wave (4 M),CA47304CAV-728B0,Cavalier Carpets,108.16,108.16,183.33333333333331,Carpet,Carpet,Cavalier Carpets Coastal Loop  Wave 4,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Wave (5 M),CA47304CAV-92EAC,Cavalier Carpets,135.2,135.2,229.16666666666663,Carpet,Carpet,Cavalier Carpets Coastal Loop  Wave  5,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Flow (4 M),CA47304CAV-91505,Cavalier Carpets,108.16,108.16,183.33333333333331,Carpet,Carpet,Cavalier Carpets Coastal Loop  Flow 4,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Coastal Loop Flow (5 M),CA47304CAV-C6BD5,Cavalier Carpets,135.2,135.2,229.16666666666663,Carpet,Carpet,Cavalier Carpets Coastal Loop  Flow  5,"Price per SQM: £55.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Cosmopolitan Regal (50oz) Amonite (4 M),CA19352CAV-ACAF2,Cavalier Carpets,76.16,76.16,153.33333333333334,Carpet,Carpet,Cavalier Carpets Cosmopolitan Regal (50oz) Amonite 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
