Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Burnham Driftwood (4 M),CA22173CLA-B6C1D,Clarendon Carpets,37.56,37.56,76.66666666666667,Carpet,Carpet,Clarendon Carpets Burnham Driftwood 4,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Driftwood (5 M),CA22173CLA-88053,Clarendon Carpets,46.95,46.95,95.83333333333334,Carpet,Carpet,Clarendon Carpets Burnham Driftwood  5,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Flaxen (4 M),CA22173CLA-6A1BB,Clarendon Carpets,37.56,37.56,76.66666666666667,Carpet,Carpet,Clarendon Carpets Burnham  Flaxen 4,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Flaxen (5 M),CA22173CLA-1CC4A,Clarendon Carpets,46.95,46.95,95.83333333333334,Carpet,Carpet,Clarendon Carpets Burnham  Flaxen  5,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Malt (4 M),CA22173CLA-1D380,Clarendon Carpets,37.56,37.56,76.66666666666667,Carpet,Carpet,Clarendon Carpets Burnham  Malt 4,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Malt (5 M),CA22173CLA-C64E6,Clarendon Carpets,46.95,46.95,95.83333333333334,Carpet,Carpet,Clarendon Carpets Burnham  Malt  5,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Pearl (4 M),CA22173CLA-0D80E,Clarendon Carpets,37.56,37.56,76.66666666666667,Carpet,Carpet,Clarendon Carpets Burnham  Pearl 4,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Pearl (5 M),CA22173CLA-161E8,Clarendon Carpets,46.95,46.95,95.83333333333334,Carpet,Carpet,Clarendon Carpets Burnham  Pearl  5,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Shadow (4 M),CA22173CLA-05E00,Clarendon Carpets,37.56,37.56,76.66666666666667,Carpet,Carpet,Clarendon Carpets Burnham  Shadow 4,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Shadow (5 M),CA22173CLA-D007C,Clarendon Carpets,46.95,46.95,95.83333333333334,Carpet,Carpet,Clarendon Carpets Burnham  Shadow  5,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Stripe Driftwood (4 M),CA22173CLA-E93B4,Clarendon Carpets,37.56,37.56,76.66666666666667,Carpet,Carpet,Clarendon Carpets Burnham  Stripe Driftwood 4,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burnham Stripe Driftwood (5 M),CA22173CLA-C2FED,Clarendon Carpets,46.95,46.95,95.83333333333334,Carpet,Carpet,Clarendon Carpets Burnham  Stripe Driftwood  5,Price per SQM: £23.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
