Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Apollo Comfort Coyote (4 M),CA24662COR-6D6E1,Cormar Carpets,48.28,48.28,93.33333333333334,Carpet,Carpet,Cormar Carpets Apollo Comfort Coyote 4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Coyote (5 M),CA24662COR-33A87,Cormar Carpets,60.35,60.35,116.66666666666669,Carpet,Carpet,Cormar Carpets Apollo Comfort Coyote  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Drumlin (4 M),CA24662COR-79E4E,Cormar Carpets,48.28,48.28,93.33333333333334,Carpet,Carpet,Cormar Carpets Apollo Comfort  Drumlin 4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Drumlin (5 M),CA24662COR-9D6E9,Cormar Carpets,60.35,60.35,116.66666666666669,Carpet,Carpet,Cormar Carpets Apollo Comfort  Drumlin  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Earl Grey (4 M),CA24662COR-88A7D,Cormar Carpets,48.28,48.28,93.33333333333334,Carpet,Carpet,Cormar Carpets Apollo Comfort  Earl Grey 4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Earl Grey (5 M),CA24662COR-72084,Cormar Carpets,60.35,60.35,116.66666666666669,Carpet,Carpet,Cormar Carpets Apollo Comfort  Earl Grey  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Fjord Blue (4 M),CA24662COR-79844,Cormar Carpets,48.28,48.28,93.33333333333334,Carpet,Carpet,Cormar Carpets Apollo Comfort  Fjord Blue 4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Fjord Blue (5 M),CA24662COR-BF017,Cormar Carpets,60.35,60.35,116.66666666666669,Carpet,Carpet,Cormar Carpets Apollo Comfort  Fjord Blue  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Magnolia (4 M),CA24662COR-7D88F,Cormar Carpets,48.28,48.28,93.33333333333334,Carpet,Carpet,Cormar Carpets Apollo Comfort  Magnolia 4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Magnolia (5 M),CA24662COR-73F59,Cormar Carpets,60.35,60.35,116.66666666666669,Carpet,Carpet,Cormar Carpets Apollo Comfort  Magnolia  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Mortar (4 M),CA24662COR-E987A,Cormar Carpets,48.28,48.28,93.33333333333334,Carpet,Carpet,Cormar Carpets Apollo Comfort  Mortar 4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Mortar (5 M),CA24662COR-D9454,Cormar Carpets,60.35,60.35,116.66666666666669,Carpet,Carpet,Cormar Carpets Apollo Comfort  Mortar  5,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Apollo Comfort Nightingale (4 M),CA24662COR-E2B24,Cormar Carpets,48.28,48.28,93.33333333333334,Carpet,Carpet,Cormar Carpets Apollo Comfort  Nightingale 4,Price per SQM: £28.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
