Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Alaska Arctic Fox AL202 (4 M),CA19786CRU-711CC,Crucial Trading,318.32,318.32,476.66666666666663,Carpet,Carpet,Crucial Trading Alaska Arctic Fox AL202 4,Price per SQM: £143.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alaska Grey Wolf AL203 (4 M),CA19786CRU-3E699,Crucial Trading,318.32,318.32,476.66666666666663,Carpet,Carpet,Crucial Trading Alaska  Grey Wolf AL203 4,Price per SQM: £143.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alaska Harbour Seal AL204 (4 M),CA19786CRU-80FA0,Crucial Trading,318.32,318.32,476.66666666666663,Carpet,Carpet,Crucial Trading Alaska  Harbour Seal AL204 4,Price per SQM: £143.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alaska Polar White AL205 (4 M),CA19786CRU-B58EC,Crucial Trading,318.32,318.32,476.66666666666663,Carpet,Carpet,Crucial Trading Alaska  Polar White AL205 4,Price per SQM: £143.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alaska Silver Squirrel AL206 (4 M),CA19786CRU-6E177,Crucial Trading,318.32,318.32,476.66666666666663,Carpet,Carpet,Crucial Trading Alaska  Silver Squirrel AL206 4,Price per SQM: £143.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alpine Archipelago WA518 (4 M),CA84929CRU-1A9B1,Crucial Trading,191.48,191.48,286.6666666666667,Carpet,Carpet,Crucial Trading Alpine Archipelago WA518 4,Price per SQM: £86.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alpine Archive Tale WA511 (4 M),CA84929CRU-6ED55,Crucial Trading,191.48,191.48,286.6666666666667,Carpet,Carpet,Crucial Trading Alpine  Archive Tale WA511 4,Price per SQM: £86.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alpine Birch White WA517 (4 M),CA84929CRU-C7600,Crucial Trading,191.48,191.48,286.6666666666667,Carpet,Carpet,Crucial Trading Alpine  Birch White WA517 4,Price per SQM: £86.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alpine Clear Summit WA501 (4 M),CA84929CRU-C9F94,Crucial Trading,191.48,191.48,286.6666666666667,Carpet,Carpet,Crucial Trading Alpine  Clear Summit WA501 4,Price per SQM: £86.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Alpine Framed Light WA513 (4 M),CA84929CRU-A0943,Crucial Trading,191.48,191.48,286.6666666666667,Carpet,Carpet,Crucial Trading Alpine  Framed Light WA513 4,Price per SQM: £86.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
