Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Alghero Ivory (4 M),CA12698DAV-31A64,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Alghero Ivory 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Alghero Midnight (4 M),CA12698DAV-12B38,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Alghero  Midnight 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Alghero Sage (4 M),CA12698DAV-32048,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Alghero  Sage 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Alghero Taupe (4 M),CA12698DAV-6E871,David Harper & Co,241.96,241.96,363.33333333333337,Carpet,Carpet,David Harper & Co Alghero  Taupe 4,"Price per SQM: £109.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Athens Cameo (4 M),CA87048DAV-EC14F,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Athens Cameo 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Athens Liquorice (4 M),CA87048DAV-5E845,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Athens  Liquorice 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Athens Pewter (4 M),CA87048DAV-91CA0,David Harper & Co,274.48,274.48,413.33333333333337,Carpet,Carpet,David Harper & Co Athens  Pewter 4,Price per SQM: £124.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bari Bison (4 M),CA91848DAV-6363A,David Harper & Co,257.12,257.12,386.66666666666663,Carpet,Carpet,David Harper & Co Bari Bison 4,Price per SQM: £116.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bari Grey (4 M),CA91848DAV-327BE,David Harper & Co,257.12,257.12,386.66666666666663,Carpet,Carpet,David Harper & Co Bari  Grey 4,Price per SQM: £116.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bari Ocean (4 M),CA91848DAV-8E474,David Harper & Co,257.12,257.12,386.66666666666663,Carpet,Carpet,David Harper & Co Bari  Ocean 4,Price per SQM: £116.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
