Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Africa Antelope (4 M),CA34827ELE-323A8,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Africa Antelope 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Gecko (4 M),CA34827ELE-C5644,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Africa  Gecko 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Lemur (4 M),CA34827ELE-8D73C,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Africa  Lemur 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Macaw (4 M),CA34827ELE-AE3EC,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Africa  Macaw 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Marlin (4 M),CA34827ELE-FC8A9,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Africa  Marlin 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Oryx (4 M),CA34827ELE-8D84D,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Africa  Oryx 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Plains Bara (5 M),CA14943ELE-020F9,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Africa Plains Bara 5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Plains Kalahari (5 M),CA14943ELE-62945,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Africa Plains  Kalahari 5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Plains Karoo (5 M),CA14943ELE-0C8AD,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Africa Plains  Karoo 5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Plains Sahara (5 M),CA14943ELE-3C20E,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Africa Plains  Sahara 5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Plains Savanna (5 M),CA14943ELE-552BB,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Africa Plains  Savanna 5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Africa Plains Serengeti (5 M),CA14943ELE-BDC3E,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Africa Plains  Serengeti 5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Appletini (4 M),CA31281ELE-38C4C,Elements London,172.605,172.605,260.0,Carpet,Carpet,Elements London Broadway Appletini 4,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Broadway Appletini (5 M),CA31281ELE-2DF54,Elements London,215.75625,215.75625,325.0,Carpet,Carpet,Elements London Broadway Appletini  5,Price per SQM: £78.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
