Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Easycare Boucle Cotswold (4 M),CA72673FIB-7689F,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Boucle Cotswold 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Boucle Granite (4 M),CA72673FIB-B7BD2,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Boucle  Granite 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Boucle Portland (4 M),CA72673FIB-F02AD,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Boucle  Portland 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Boucle Purbeck (4 M),CA72673FIB-5BB12,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Boucle  Purbeck 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Boucle Quarry (4 M),CA72673FIB-DED7E,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Boucle  Quarry 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Chevron Cotswold (4 M),CA96543FIB-7689F,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Chevron Cotswold 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Chevron Granite (4 M),CA96543FIB-B7BD2,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Chevron  Granite 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Chevron Portland (4 M),CA96543FIB-F02AD,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Chevron  Portland 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Chevron Purbeck (4 M),CA96543FIB-5BB12,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Chevron  Purbeck 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Easycare Chevron Quarry (4 M),CA96543FIB-DED7E,Fibre,85.0,85.0,153.33333333333334,Carpet,Carpet,Fibre Easycare Chevron  Quarry 4,Price per SQM: £46.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
