Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Battersea Basset (4 M),CA55390GAS-32530,Gaskell Wool Rich,107.8,107.8,183.33333333333331,Carpet,Carpet,Gaskell Wool Rich Battersea Basset 4,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Basset (5 M),CA55390GAS-DEA73,Gaskell Wool Rich,134.75,134.75,229.16666666666663,Carpet,Carpet,Gaskell Wool Rich Battersea Basset  5,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Greyhound (4 M),CA55390GAS-12F41,Gaskell Wool Rich,107.8,107.8,183.33333333333331,Carpet,Carpet,Gaskell Wool Rich Battersea  Greyhound 4,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Greyhound (5 M),CA55390GAS-63456,Gaskell Wool Rich,134.75,134.75,229.16666666666663,Carpet,Carpet,Gaskell Wool Rich Battersea  Greyhound  5,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Husky (4 M),CA55390GAS-86A86,Gaskell Wool Rich,107.8,107.8,183.33333333333331,Carpet,Carpet,Gaskell Wool Rich Battersea  Husky 4,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Husky (5 M),CA55390GAS-A463A,Gaskell Wool Rich,134.75,134.75,229.16666666666663,Carpet,Carpet,Gaskell Wool Rich Battersea  Husky  5,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Jack Russell (4 M),CA55390GAS-C225B,Gaskell Wool Rich,107.8,107.8,183.33333333333331,Carpet,Carpet,Gaskell Wool Rich Battersea  Jack Russell 4,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Jack Russell (5 M),CA55390GAS-02A9D,Gaskell Wool Rich,134.75,134.75,229.16666666666663,Carpet,Carpet,Gaskell Wool Rich Battersea  Jack Russell  5,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Pug (4 M),CA55390GAS-C382E,Gaskell Wool Rich,107.8,107.8,183.33333333333331,Carpet,Carpet,Gaskell Wool Rich Battersea  Pug 4,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Pug (5 M),CA55390GAS-5578E,Gaskell Wool Rich,134.75,134.75,229.16666666666663,Carpet,Carpet,Gaskell Wool Rich Battersea  Pug  5,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Schnauzer (4 M),CA55390GAS-A0F0F,Gaskell Wool Rich,107.8,107.8,183.33333333333331,Carpet,Carpet,Gaskell Wool Rich Battersea  Schnauzer 4,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Schnauzer (5 M),CA55390GAS-D6206,Gaskell Wool Rich,134.75,134.75,229.16666666666663,Carpet,Carpet,Gaskell Wool Rich Battersea  Schnauzer  5,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Vizsla (4 M),CA55390GAS-83352,Gaskell Wool Rich,107.8,107.8,183.33333333333331,Carpet,Carpet,Gaskell Wool Rich Battersea  Vizsla 4,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Vizsla (5 M),CA55390GAS-9E4C4,Gaskell Wool Rich,134.75,134.75,229.16666666666663,Carpet,Carpet,Gaskell Wool Rich Battersea  Vizsla  5,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Wolfhound (4 M),CA55390GAS-F628E,Gaskell Wool Rich,107.8,107.8,183.33333333333331,Carpet,Carpet,Gaskell Wool Rich Battersea  Wolfhound 4,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Battersea Wolfhound (5 M),CA55390GAS-1BA16,Gaskell Wool Rich,134.75,134.75,229.16666666666663,Carpet,Carpet,Gaskell Wool Rich Battersea  Wolfhound  5,Price per SQM: £55.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Chilli (4 M),CA83259GAS-97A74,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars Circle Chilli 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Chilli (5 M),CA83259GAS-5FF77,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars Circle Chilli  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Cumin (4 M),CA83259GAS-12C7F,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Cumin 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Cumin (5 M),CA83259GAS-D4043,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Cumin  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Garlic (4 M),CA83259GAS-0DD41,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Garlic 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Garlic (5 M),CA83259GAS-9D845,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Garlic  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Nutmeg (4 M),CA83259GAS-24502,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Nutmeg 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Nutmeg (5 M),CA83259GAS-045E9,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Nutmeg  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Pepper (4 M),CA83259GAS-177C5,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Pepper 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Pepper (5 M),CA83259GAS-D8D78,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Pepper  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Salt (4 M),CA83259GAS-DDBBB,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Salt 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Salt (5 M),CA83259GAS-753CD,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Salt  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Thyme (4 M),CA83259GAS-611D3,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Thyme 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Circle Thyme (5 M),CA83259GAS-F0504,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Circle Thyme  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Chilli (4 M),CA83259GAS-D100B,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Chilli 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Chilli (5 M),CA83259GAS-D687E,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Chilli  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Cumin (4 M),CA83259GAS-75D5C,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Cumin 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Cumin (5 M),CA83259GAS-FC632,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Cumin  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Garlic (4 M),CA83259GAS-944B2,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Garlic 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Garlic (5 M),CA83259GAS-CF2FD,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Garlic  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Nutmeg (4 M),CA83259GAS-D91C9,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Nutmeg 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Nutmeg (5 M),CA83259GAS-0DE05,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Nutmeg  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Pepper (4 M),CA83259GAS-2D3AC,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Pepper 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Pepper (5 M),CA83259GAS-892A2,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Pepper  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Salt (4 M),CA83259GAS-AED6D,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Salt 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Salt (5 M),CA83259GAS-CD7D7,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Salt  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Thyme (4 M),CA83259GAS-FD872,Gaskell Wool Rich,83.0,83.0,150.0,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Thyme 4,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Blackfriars Jubilee Thyme (5 M),CA83259GAS-3C422,Gaskell Wool Rich,103.75,103.75,187.5,Carpet,Carpet,Gaskell Wool Rich Blackfriars  Jubilee Thyme  5,Price per SQM: £45.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Camden Acapella (4 M),CA93620GAS-29981,Gaskell Wool Rich,99.4,99.4,180.0,Carpet,Carpet,Gaskell Wool Rich Camden Acapella 4,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Camden Acapella (5 M),CA93620GAS-2FDB1,Gaskell Wool Rich,124.25,124.25,225.0,Carpet,Carpet,Gaskell Wool Rich Camden Acapella  5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Camden Bossa Nova (4 M),CA93620GAS-0601F,Gaskell Wool Rich,99.4,99.4,180.0,Carpet,Carpet,Gaskell Wool Rich Camden  Bossa Nova 4,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Camden Bossa Nova (5 M),CA93620GAS-06C70,Gaskell Wool Rich,124.25,124.25,225.0,Carpet,Carpet,Gaskell Wool Rich Camden  Bossa Nova  5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Camden Funk (4 M),CA93620GAS-86D58,Gaskell Wool Rich,99.4,99.4,180.0,Carpet,Carpet,Gaskell Wool Rich Camden  Funk 4,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Camden Funk (5 M),CA93620GAS-0C780,Gaskell Wool Rich,124.25,124.25,225.0,Carpet,Carpet,Gaskell Wool Rich Camden  Funk  5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Camden Glam Rock (4 M),CA93620GAS-D75AB,Gaskell Wool Rich,99.4,99.4,180.0,Carpet,Carpet,Gaskell Wool Rich Camden  Glam Rock 4,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Camden Glam Rock (5 M),CA93620GAS-38B7D,Gaskell Wool Rich,124.25,124.25,225.0,Carpet,Carpet,Gaskell Wool Rich Camden  Glam Rock  5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Camden Latin (4 M),CA93620GAS-9ED6D,Gaskell Wool Rich,99.4,99.4,180.0,Carpet,Carpet,Gaskell Wool Rich Camden  Latin 4,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
