Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Javan Loop JV/02 (4 M),CA14000HAL-8F3F3,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Loop JV/02 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/02 (5 M),CA14000HAL-0525F,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Loop JV/02  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/03 (4 M),CA14000HAL-9A856,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/03 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/03 (5 M),CA14000HAL-9D05C,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/03  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/04 (4 M),CA14000HAL-B4227,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/04 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/04 (5 M),CA14000HAL-872E2,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/04  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/06 (4 M),CA14000HAL-C9B9F,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/06 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/06 (5 M),CA14000HAL-FAE69,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/06  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/07 (4 M),CA14000HAL-38FD9,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/07 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/07 (5 M),CA14000HAL-3ECD8,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/07  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/08 (4 M),CA14000HAL-E26B6,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/08 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/08 (5 M),CA14000HAL-8AF2C,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/08  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/09 (4 M),CA14000HAL-046A2,Hall’s Floorings,75.96,75.96,150.0,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/09 4,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Javan Loop JV/09 (5 M),CA14000HAL-E0C9C,Hall’s Floorings,94.94999999999999,94.94999999999999,187.5,Carpet,Carpet,Hall’s Floorings Javan Loop  JV/09  5,Price per SQM: £45.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
