Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
City Belmont 3661-009 (5 M),CA34317HAM-88D86,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont 3661-009 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Belmont 3661-000 (5 M),CA34317HAM-75081,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont  3661-000 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Belmont 3661-001 (5 M),CA34317HAM-EA2F8,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont  3661-001 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Belmont 3661-003 (5 M),CA34317HAM-2F72D,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont  3661-003 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Belmont 3661-005 (5 M),CA34317HAM-036FD,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont  3661-005 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Belmont 3661-011 (5 M),CA34317HAM-BF9F6,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont  3661-011 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Belmont 3661-015 (5 M),CA34317HAM-923C1,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont  3661-015 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Belmont 3661-017 (5 M),CA34317HAM-B2333,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont  3661-017 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Belmont 3661-019 (5 M),CA34317HAM-BE9EF,Hammer Carpets,174.0,174.0,295.83333333333337,Carpet,Carpet,Hammer Carpets City Belmont  3661-019 5,"Price per SQM: £71.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-000 (5 M),CA20302HAM-7B6E8,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron 3662-000 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-001 (5 M),CA20302HAM-BDF28,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron  3662-001 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-003 (5 M),CA20302HAM-AA01F,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron  3662-003 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-005 (5 M),CA20302HAM-5D248,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron  3662-005 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-009 (5 M),CA20302HAM-1932F,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron  3662-009 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-011 (5 M),CA20302HAM-9FF93,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron  3662-011 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-015 (5 M),CA20302HAM-966DD,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron  3662-015 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-017 (5 M),CA20302HAM-5BDA7,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron  3662-017 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
City Chevron 3662-019 (5 M),CA20302HAM-2D26A,Hammer Carpets,181.25,181.25,291.66666666666663,Carpet,Carpet,Hammer Carpets City Chevron  3662-019 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Copenhagen 118-01 (5 M),CA94781HAM-34AF9,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Copenhagen 118-01 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Copenhagen 118-02 (5 M),CA94781HAM-B47A4,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Copenhagen  118-02 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Copenhagen 118-03 (5 M),CA94781HAM-A7C7B,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Copenhagen  118-03 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Copenhagen 118-04 (5 M),CA94781HAM-7C927,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Copenhagen  118-04 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Copenhagen 118-05 (5 M),CA94781HAM-003C8,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Copenhagen  118-05 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Copenhagen 118-06 (5 M),CA94781HAM-C91A1,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Copenhagen  118-06 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Copenhagen 118-07 (5 M),CA94781HAM-C488B,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Copenhagen  118-07 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Copenhagen 118-08 (5 M),CA94781HAM-02401,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Copenhagen  118-08 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-02 (5 M),CA37431HAM-28F02,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs 129-02 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-12 (5 M),CA37431HAM-8BD79,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-12 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-22 (5 M),CA37431HAM-3D6B3,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-22 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-24 (5 M),CA37431HAM-861D9,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-24 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-25 (5 M),CA37431HAM-72F58,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-25 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-26 (5 M),CA37431HAM-7D787,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-26 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-27 (5 M),CA37431HAM-F2B9D,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-27 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-28 (5 M),CA37431HAM-D882F,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-28 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-29 (5 M),CA37431HAM-657AE,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-29 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Jacs 129-30 (5 M),CA37431HAM-57DF4,Hammer Carpets,201.25,201.25,300.0,Carpet,Carpet,Hammer Carpets Jacs  129-30 5,"Price per SQM: £72.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-01 (5 M),CA33580HAM-564E1,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis 115-01 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-02 (5 M),CA33580HAM-9AD0E,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis  115-02 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-03 (5 M),CA33580HAM-4B5BD,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis  115-03 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-04 (5 M),CA33580HAM-6BC4F,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis  115-04 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-05 (5 M),CA33580HAM-A44DC,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis  115-05 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-06 (5 M),CA33580HAM-B389E,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis  115-06 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-07 (5 M),CA33580HAM-BBD72,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis  115-07 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-08 (5 M),CA33580HAM-B5133,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis  115-08 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Memphis 115-09 (5 M),CA33580HAM-EEF87,Hammer Carpets,203.25,203.25,304.16666666666663,Carpet,Carpet,Hammer Carpets Memphis  115-09 5,"Price per SQM: £73.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Natural Lines 126-02 (5 M),CA88132HAM-B1780,Hammer Carpets,171.75,171.75,291.66666666666663,Carpet,Carpet,Hammer Carpets Natural Lines 126-02 5,"Price per SQM: £70.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
