Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Deco Plains Ash (4 M),CA93575HUG-6B076,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Plains Ash 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Ash (5 M),CA93575HUG-42184,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Plains Ash  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Biscuit (4 M),CA93575HUG-9DA90,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Plains  Biscuit 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Biscuit (5 M),CA93575HUG-4043F,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Plains  Biscuit  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Black (4 M),CA93575HUG-29F58,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Plains  Black 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Black (5 M),CA93575HUG-F924E,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Plains  Black  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Camel (4 M),CA93575HUG-9B911,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Plains  Camel 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Camel (5 M),CA93575HUG-461DD,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Plains  Camel  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Dove Grey (4 M),CA93575HUG-46075,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Plains  Dove Grey 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Dove Grey (5 M),CA93575HUG-47E58,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Plains  Dove Grey  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Elm (4 M),CA93575HUG-02043,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Plains  Elm 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Elm (5 M),CA93575HUG-4ADF6,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Plains  Elm  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Grape (4 M),CA93575HUG-17792,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Plains  Grape 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Grape (5 M),CA93575HUG-E3B11,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Plains  Grape  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Harvest Beige (4 M),CA93575HUG-A74D1,Hugh Mackay,80.56,80.56,140.0,Carpet,Carpet,Hugh Mackay Deco Plains  Harvest Beige 4,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Deco Plains Harvest Beige (5 M),CA93575HUG-32BFA,Hugh Mackay,100.7,100.7,175.0,Carpet,Carpet,Hugh Mackay Deco Plains  Harvest Beige  5,"Price per SQM: £42.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
