Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Cabernet 120101 (4 M),CA65203ITC-A2D7E,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet 120101 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cabernet 120103 (4 M),CA65203ITC-7A06F,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet  120103 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cabernet 120104 (4 M),CA65203ITC-03319,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet  120104 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cabernet 120106 (4 M),CA65203ITC-A2C8F,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet  120106 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cabernet 120111 (4 M),CA65203ITC-999AB,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet  120111 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cabernet 120112 (4 M),CA65203ITC-DF80A,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet  120112 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cabernet 120306 (4 M),CA65203ITC-ECD9E,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet  120306 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cabernet 120308 (4 M),CA65203ITC-9656E,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet  120308 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cabernet 120310 (4 M),CA65203ITC-84851,ITC,99.84,99.84,160.0,Carpet,Carpet,ITC Cabernet  120310 4,Price per SQM: £48.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cannes 150300 (4 M),CA80855ITC-00572,ITC,203.84,203.84,306.6666666666667,Carpet,Carpet,ITC Cannes 150300 4,Price per SQM: £92.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cannes 150101 (4 M),CA80855ITC-1053E,ITC,203.84,203.84,306.6666666666667,Carpet,Carpet,ITC Cannes  150101 4,Price per SQM: £92.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cannes 150102 (4 M),CA80855ITC-A336F,ITC,203.84,203.84,306.6666666666667,Carpet,Carpet,ITC Cannes  150102 4,Price per SQM: £92.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cannes 150105 (4 M),CA80855ITC-2DEC2,ITC,203.84,203.84,306.6666666666667,Carpet,Carpet,ITC Cannes  150105 4,Price per SQM: £92.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cannes 150108 (4 M),CA80855ITC-B4C36,ITC,203.84,203.84,306.6666666666667,Carpet,Carpet,ITC Cannes  150108 4,Price per SQM: £92.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cannes 150112 (4 M),CA80855ITC-3F4D6,ITC,203.84,203.84,306.6666666666667,Carpet,Carpet,ITC Cannes  150112 4,Price per SQM: £92.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cannes 150113 (4 M),CA80855ITC-DF293,ITC,203.84,203.84,306.6666666666667,Carpet,Carpet,ITC Cannes  150113 4,Price per SQM: £92.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Cannes 150115 (4 M),CA80855ITC-91F7D,ITC,203.84,203.84,306.6666666666667,Carpet,Carpet,ITC Cannes  150115 4,Price per SQM: £92.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
