Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Agra Cloudy Grey (4 M),CA20973JAC-F1F01,Jacaranda,459.0,459.0,690.0,Carpet,Carpet,Jacaranda Agra Cloudy Grey 4,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Cloudy Grey (5 M),CA20973JAC-ABBED,Jacaranda,573.75,573.75,862.5,Carpet,Carpet,Jacaranda Agra Cloudy Grey  5,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Ice (4 M),CA20973JAC-39AA9,Jacaranda,459.0,459.0,690.0,Carpet,Carpet,Jacaranda Agra  Ice 4,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Ice (5 M),CA20973JAC-791A3,Jacaranda,573.75,573.75,862.5,Carpet,Carpet,Jacaranda Agra  Ice  5,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Oatmeal (4 M),CA20973JAC-AE54C,Jacaranda,459.0,459.0,690.0,Carpet,Carpet,Jacaranda Agra  Oatmeal 4,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Oatmeal (5 M),CA20973JAC-994A2,Jacaranda,573.75,573.75,862.5,Carpet,Carpet,Jacaranda Agra  Oatmeal  5,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Oyster (4 M),CA20973JAC-B41DF,Jacaranda,459.0,459.0,690.0,Carpet,Carpet,Jacaranda Agra  Oyster 4,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Oyster (5 M),CA20973JAC-A6923,Jacaranda,573.75,573.75,862.5,Carpet,Carpet,Jacaranda Agra  Oyster  5,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Platinum (4 M),CA20973JAC-C13EB,Jacaranda,459.0,459.0,690.0,Carpet,Carpet,Jacaranda Agra  Platinum 4,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Platinum (5 M),CA20973JAC-7D519,Jacaranda,573.75,573.75,862.5,Carpet,Carpet,Jacaranda Agra  Platinum  5,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Taj (4 M),CA20973JAC-56D96,Jacaranda,459.0,459.0,690.0,Carpet,Carpet,Jacaranda Agra  Taj 4,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Agra Taj (5 M),CA20973JAC-E8D78,Jacaranda,573.75,573.75,862.5,Carpet,Carpet,Jacaranda Agra  Taj  5,Price per SQM: £207.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Amber (4 M),CA18515JAC-DB941,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora Amber 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Azurite (4 M),CA18515JAC-9E9CC,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Azurite 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Baltic (4 M),CA18515JAC-6FC1D,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Baltic 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Canary (4 M),CA18515JAC-B60EB,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Canary 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Jade (4 M),CA18515JAC-B4284,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Jade 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Jet (4 M),CA18515JAC-F8B69,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Jet 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Larch (4 M),CA18515JAC-28402,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Larch 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Lichen (4 M),CA18515JAC-2AE1E,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Lichen 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Magpie (4 M),CA18515JAC-206F0,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Magpie 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Malachite (4 M),CA18515JAC-F06E6,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Malachite 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Oriole (4 M),CA18515JAC-5B350,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Oriole 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Pimpernel (4 M),CA18515JAC-6B97F,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Pimpernel 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Russet (4 M),CA18515JAC-23065,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Russet 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Almora Thunder (4 M),CA18515JAC-652BA,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Almora  Thunder 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Canvas (4 M),CA65893JAC-ECD13,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Arani Canvas 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Canvas (5 M),CA65893JAC-73364,Jacaranda,522.75,522.75,783.3333333333333,Carpet,Carpet,Jacaranda Arani Canvas  5,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Cloudy Grey (4 M),CA65893JAC-F1F01,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Arani  Cloudy Grey 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Cloudy Grey (5 M),CA65893JAC-ABBED,Jacaranda,522.75,522.75,783.3333333333333,Carpet,Carpet,Jacaranda Arani  Cloudy Grey  5,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Iron (4 M),CA65893JAC-8E935,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Arani  Iron 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Iron (5 M),CA65893JAC-56311,Jacaranda,522.75,522.75,783.3333333333333,Carpet,Carpet,Jacaranda Arani  Iron  5,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Kapok (4 M),CA65893JAC-08F42,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Arani  Kapok 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Kapok (5 M),CA65893JAC-C577D,Jacaranda,522.75,522.75,783.3333333333333,Carpet,Carpet,Jacaranda Arani  Kapok  5,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Lavender (4 M),CA65893JAC-ADD8A,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Arani  Lavender 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Lavender (5 M),CA65893JAC-1670C,Jacaranda,522.75,522.75,783.3333333333333,Carpet,Carpet,Jacaranda Arani  Lavender  5,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Marlin (4 M),CA65893JAC-FC8A9,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Arani  Marlin 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Marlin (5 M),CA65893JAC-6960C,Jacaranda,522.75,522.75,783.3333333333333,Carpet,Carpet,Jacaranda Arani  Marlin  5,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Platinum (4 M),CA65893JAC-C13EB,Jacaranda,418.2,418.2,626.6666666666666,Carpet,Carpet,Jacaranda Arani  Platinum 4,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Arani Platinum (5 M),CA65893JAC-7D519,Jacaranda,522.75,522.75,783.3333333333333,Carpet,Carpet,Jacaranda Arani  Platinum  5,Price per SQM: £188.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
