Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Aurora Arabesque (4 M),CA58748KER-D1202,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora Arabesque 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Arabesque (5 M),CA58748KER-E311C,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora Arabesque  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Fez (4 M),CA58748KER-D92C4,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Fez 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Fez (5 M),CA58748KER-390F2,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Fez  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Maroc Light (4 M),CA58748KER-A35C3,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Maroc Light 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Maroc Light (5 M),CA58748KER-CACAD,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Maroc Light  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Marrakech (4 M),CA58748KER-677A6,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Marrakech 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Marrakech (5 M),CA58748KER-DAB53,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Marrakech  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Medina (4 M),CA58748KER-B206A,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Medina 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Medina (5 M),CA58748KER-00083,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Medina  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Meknes (4 M),CA58748KER-7944D,Kersaint Cobb,92.4,92.4,166.66666666666669,Carpet,Carpet,Kersaint Cobb Aurora  Meknes 4,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aurora Meknes (5 M),CA58748KER-AA08C,Kersaint Cobb,115.5,115.5,208.33333333333337,Carpet,Carpet,Kersaint Cobb Aurora  Meknes  5,Price per SQM: £50.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
