Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Boheme 170 Salmon (4 M),CA68893LAN-54763,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme 170 Salmon 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 170 Salmon (5 M),CA68893LAN-DA992,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme 170 Salmon  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 240 Cream (4 M),CA68893LAN-090BE,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  240 Cream 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 240 Cream (5 M),CA68893LAN-97A85,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  240 Cream  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 250 Magnolia (4 M),CA68893LAN-3A471,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  250 Magnolia 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 250 Magnolia (5 M),CA68893LAN-039DF,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  250 Magnolia  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 260 Camel (4 M),CA68893LAN-D1F73,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  260 Camel 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 260 Camel (5 M),CA68893LAN-45F21,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  260 Camel  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 270 Almond (4 M),CA68893LAN-3FD2F,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  270 Almond 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 270 Almond (5 M),CA68893LAN-0EB9E,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  270 Almond  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 410 Leather (4 M),CA68893LAN-818EC,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  410 Leather 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 410 Leather (5 M),CA68893LAN-1A972,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  410 Leather  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 420 Cornstalk (4 M),CA68893LAN-B445D,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  420 Cornstalk 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 420 Cornstalk (5 M),CA68893LAN-FBBD3,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  420 Cornstalk  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 430 Bamboo Mat (4 M),CA68893LAN-ABF4C,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  430 Bamboo Mat 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 430 Bamboo Mat (5 M),CA68893LAN-D2453,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  430 Bamboo Mat  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 440 Ivory (4 M),CA68893LAN-E5F77,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  440 Ivory 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 440 Ivory (5 M),CA68893LAN-DE98F,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  440 Ivory  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 450 Sand (4 M),CA68893LAN-53E62,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  450 Sand 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 450 Sand (5 M),CA68893LAN-F7DD7,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  450 Sand  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 740 Ocean (4 M),CA68893LAN-03D66,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  740 Ocean 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 740 Ocean (5 M),CA68893LAN-2DDB5,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  740 Ocean  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 800 Ebony (4 M),CA68893LAN-CDC37,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  800 Ebony 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 800 Ebony (5 M),CA68893LAN-B5B21,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  800 Ebony  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 810 Charcoal (4 M),CA68893LAN-42298,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  810 Charcoal 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 810 Charcoal (5 M),CA68893LAN-53755,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  810 Charcoal  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 820 Slate (4 M),CA68893LAN-B97A3,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  820 Slate 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 820 Slate (5 M),CA68893LAN-84918,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  820 Slate  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 840 Moonshine (4 M),CA68893LAN-1F1AC,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  840 Moonshine 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 840 Moonshine (5 M),CA68893LAN-933EF,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  840 Moonshine  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 850 Moonbeam (4 M),CA68893LAN-3E602,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  850 Moonbeam 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 850 Moonbeam (5 M),CA68893LAN-13DF5,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  850 Moonbeam  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 860 Granite (4 M),CA68893LAN-22625,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  860 Granite 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 860 Granite (5 M),CA68893LAN-640A2,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  860 Granite  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 870 Silver (4 M),CA68893LAN-B3CBA,Lano,150.0,150.0,203.33333333333331,Carpet,Carpet,Lano Boheme  870 Silver 4,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Boheme 870 Silver (5 M),CA68893LAN-6E92C,Lano,187.5,187.5,254.16666666666663,Carpet,Carpet,Lano Boheme  870 Silver  5,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 020 Lavender (4 M),CA81519LAN-36996,Lano,158.0,158.0,213.33333333333331,Carpet,Carpet,Lano Celeste 020 Lavender 4,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 020 Lavender (5 M),CA81519LAN-D3A4A,Lano,197.5,197.5,266.66666666666663,Carpet,Carpet,Lano Celeste 020 Lavender  5,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 170 Salmon (4 M),CA81519LAN-54763,Lano,158.0,158.0,213.33333333333331,Carpet,Carpet,Lano Celeste  170 Salmon 4,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 170 Salmon (5 M),CA81519LAN-DA992,Lano,197.5,197.5,266.66666666666663,Carpet,Carpet,Lano Celeste  170 Salmon  5,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 180 Rum (4 M),CA81519LAN-7E137,Lano,158.0,158.0,213.33333333333331,Carpet,Carpet,Lano Celeste  180 Rum 4,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 180 Rum (5 M),CA81519LAN-418ED,Lano,197.5,197.5,266.66666666666663,Carpet,Carpet,Lano Celeste  180 Rum  5,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 240 Cream (4 M),CA81519LAN-090BE,Lano,158.0,158.0,213.33333333333331,Carpet,Carpet,Lano Celeste  240 Cream 4,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 240 Cream (5 M),CA81519LAN-97A85,Lano,197.5,197.5,266.66666666666663,Carpet,Carpet,Lano Celeste  240 Cream  5,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 250 Magnolia (4 M),CA81519LAN-3A471,Lano,158.0,158.0,213.33333333333331,Carpet,Carpet,Lano Celeste  250 Magnolia 4,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Celeste 250 Magnolia (5 M),CA81519LAN-039DF,Lano,197.5,197.5,266.66666666666663,Carpet,Carpet,Lano Celeste  250 Magnolia  5,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
