Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Chantilly Haze (4 M),CA91168LEW-35258,Lewis Abbott,123.96,123.96,210.0,Carpet,Carpet,Lewis Abbott Chantilly Haze 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Haze (5 M),CA91168LEW-96002,Lewis Abbott,154.95,154.95,262.5,Carpet,Carpet,Lewis Abbott Chantilly Haze  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Midnight (4 M),CA91168LEW-12B38,Lewis Abbott,123.96,123.96,210.0,Carpet,Carpet,Lewis Abbott Chantilly  Midnight 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Midnight (5 M),CA91168LEW-944DC,Lewis Abbott,154.95,154.95,262.5,Carpet,Carpet,Lewis Abbott Chantilly  Midnight  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Moonlight (4 M),CA91168LEW-A83B8,Lewis Abbott,123.96,123.96,210.0,Carpet,Carpet,Lewis Abbott Chantilly  Moonlight 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Moonlight (5 M),CA91168LEW-C736F,Lewis Abbott,154.95,154.95,262.5,Carpet,Carpet,Lewis Abbott Chantilly  Moonlight  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Raindrop (4 M),CA91168LEW-533AB,Lewis Abbott,123.96,123.96,210.0,Carpet,Carpet,Lewis Abbott Chantilly  Raindrop 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Raindrop (5 M),CA91168LEW-7C64D,Lewis Abbott,154.95,154.95,262.5,Carpet,Carpet,Lewis Abbott Chantilly  Raindrop  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Shadow (4 M),CA91168LEW-05E00,Lewis Abbott,123.96,123.96,210.0,Carpet,Carpet,Lewis Abbott Chantilly  Shadow 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Shadow (5 M),CA91168LEW-D007C,Lewis Abbott,154.95,154.95,262.5,Carpet,Carpet,Lewis Abbott Chantilly  Shadow  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Sky (4 M),CA91168LEW-D77E3,Lewis Abbott,123.96,123.96,210.0,Carpet,Carpet,Lewis Abbott Chantilly  Sky 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Sky (5 M),CA91168LEW-F36DF,Lewis Abbott,154.95,154.95,262.5,Carpet,Carpet,Lewis Abbott Chantilly  Sky  5,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chantilly Snowfall (4 M),CA91168LEW-768A8,Lewis Abbott,123.96,123.96,210.0,Carpet,Carpet,Lewis Abbott Chantilly  Snowfall 4,Price per SQM: £63.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
