Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Ben Nevis 60 - Grey Cragg (4 M),CA50487RIV-A8AD3,Riviera,212.4,212.4,320.0,Carpet,Carpet,Riviera Ben Nevis 60 - Grey Cragg 4,"Price per SQM: £96.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Ben Nevis 61 - Heather Ridge (4 M),CA50487RIV-BF833,Riviera,212.4,212.4,320.0,Carpet,Carpet,Riviera Ben Nevis  61 - Heather Ridge 4,"Price per SQM: £96.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Ben Nevis 62 - Lime Rock (4 M),CA50487RIV-9C645,Riviera,212.4,212.4,320.0,Carpet,Carpet,Riviera Ben Nevis  62 - Lime Rock 4,"Price per SQM: £96.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Ben Nevis 63 - Silver Brook (4 M),CA50487RIV-30F06,Riviera,212.4,212.4,320.0,Carpet,Carpet,Riviera Ben Nevis  63 - Silver Brook 4,"Price per SQM: £96.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Ben Nevis 64 - Highland Stone (4 M),CA50487RIV-DC1C4,Riviera,212.4,212.4,320.0,Carpet,Carpet,Riviera Ben Nevis  64 - Highland Stone 4,"Price per SQM: £96.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Ben Nevis 65 - Gentle Fawn (4 M),CA50487RIV-CD06C,Riviera,212.4,212.4,320.0,Carpet,Carpet,Riviera Ben Nevis  65 - Gentle Fawn 4,"Price per SQM: £96.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Burford 803 - Latte (5 M),CA66590RIV-23603,Riviera,226.5,226.5,341.66666666666663,Carpet,Carpet,Riviera Burford 803 - Latte 5,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Burford 807 - Argent (5 M),CA66590RIV-B0217,Riviera,226.5,226.5,341.66666666666663,Carpet,Carpet,Riviera Burford  807 - Argent 5,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Burford 808 - Antique White (5 M),CA66590RIV-C8A3E,Riviera,226.5,226.5,341.66666666666663,Carpet,Carpet,Riviera Burford  808 - Antique White 5,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Burford 809 - Natural (5 M),CA66590RIV-97463,Riviera,226.5,226.5,341.66666666666663,Carpet,Carpet,Riviera Burford  809 - Natural 5,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Burford 810 - Desert Sand (5 M),CA66590RIV-54F81,Riviera,226.5,226.5,341.66666666666663,Carpet,Carpet,Riviera Burford  810 - Desert Sand 5,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Burford 811 - Pampas (5 M),CA66590RIV-D3C3B,Riviera,226.5,226.5,341.66666666666663,Carpet,Carpet,Riviera Burford  811 - Pampas 5,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Burford 812 - Cappuccino (5 M),CA66590RIV-B07F2,Riviera,226.5,226.5,341.66666666666663,Carpet,Carpet,Riviera Burford  812 - Cappuccino 5,Price per SQM: £82.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Capri 450 - Blue Grotto (5 M),CA47677RIV-0DC2C,Riviera,216.0,216.0,325.0,Carpet,Carpet,Riviera Capri 450 - Blue Grotto 5,"Price per SQM: £78.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Capri 451 - Agate (5 M),CA47677RIV-EC06B,Riviera,216.0,216.0,325.0,Carpet,Carpet,Riviera Capri  451 - Agate 5,"Price per SQM: £78.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Capri 452 - Natural Cotton (5 M),CA47677RIV-CAC09,Riviera,216.0,216.0,325.0,Carpet,Carpet,Riviera Capri  452 - Natural Cotton 5,"Price per SQM: £78.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Capri 453 - Silvermine (5 M),CA47677RIV-DEBA3,Riviera,216.0,216.0,325.0,Carpet,Carpet,Riviera Capri  453 - Silvermine 5,"Price per SQM: £78.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Capri 454 - Italian Taupe (5 M),CA47677RIV-AB97D,Riviera,216.0,216.0,325.0,Carpet,Carpet,Riviera Capri  454 - Italian Taupe 5,"Price per SQM: £78.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Capri 455 - Dove (5 M),CA47677RIV-328A3,Riviera,216.0,216.0,325.0,Carpet,Carpet,Riviera Capri  455 - Dove 5,"Price per SQM: £78.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Capri 456 - Volcanic Ash (5 M),CA47677RIV-B8829,Riviera,216.0,216.0,325.0,Carpet,Carpet,Riviera Capri  456 - Volcanic Ash 5,"Price per SQM: £78.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Chartwell 370 - Moleskin (5 M),CA57200RIV-79FB0,Riviera,379.0,379.0,566.6666666666667,Carpet,Carpet,Riviera Chartwell 370 - Moleskin 5,Price per SQM: £136.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chartwell 371 - Sandy Cove (5 M),CA57200RIV-EC78A,Riviera,379.0,379.0,566.6666666666667,Carpet,Carpet,Riviera Chartwell  371 - Sandy Cove 5,Price per SQM: £136.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Chartwell 372 - Silver Sheen (5 M),CA57200RIV-7DCB3,Riviera,379.0,379.0,566.6666666666667,Carpet,Carpet,Riviera Chartwell  372 - Silver Sheen 5,Price per SQM: £136.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
