Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Annabelle III 803 (2 M),CA91106ROL-FA235,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III 803 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 803 (4 M),CA91106ROL-26D78,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III 803  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 808 (2 M),CA91106ROL-5880E,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  808 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 808 (4 M),CA91106ROL-1A45B,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  808  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 814 (2 M),CA91106ROL-82D43,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  814 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 814 (4 M),CA91106ROL-FE382,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  814  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 815 (2 M),CA91106ROL-55CD3,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  815 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 815 (4 M),CA91106ROL-37963,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  815  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 824 (2 M),CA91106ROL-A1198,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  824 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 824 (4 M),CA91106ROL-87BE7,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  824  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 827 (2 M),CA91106ROL-BD533,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  827 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 827 (4 M),CA91106ROL-5D7AF,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  827  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 828 (2 M),CA91106ROL-D5D50,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  828 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 828 (4 M),CA91106ROL-A443F,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  828  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 830 (2 M),CA91106ROL-6D432,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  830 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 830 (4 M),CA91106ROL-00D13,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  830  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 831 (2 M),CA91106ROL-27495,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  831 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 831 (4 M),CA91106ROL-4E1F8,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  831  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 833 (2 M),CA91106ROL-4A48F,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  833 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 833 (4 M),CA91106ROL-0E83E,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  833  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 834 (2 M),CA91106ROL-D2CC7,Rols,141.8,141.8,213.33333333333331,Carpet,Carpet,Rols Annabelle III  834 2,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Annabelle III 834 (4 M),CA91106ROL-9C1DA,Rols,283.6,283.6,426.66666666666663,Carpet,Carpet,Rols Annabelle III  834  4,Price per SQM: £128.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
