Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Bakerloo 239 Charing Cross (4 M),CA26486TEL-EB7D3,Telenzo,85.68,85.68,130.0,Carpet,Carpet,Telenzo Bakerloo 239 Charing Cross 4,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 239 Charing Cross (5 M),CA26486TEL-F23CA,Telenzo,107.10000000000001,107.10000000000001,162.5,Carpet,Carpet,Telenzo Bakerloo 239 Charing Cross  5,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 259 Queens Park (4 M),CA26486TEL-DE0A6,Telenzo,85.68,85.68,130.0,Carpet,Carpet,Telenzo Bakerloo  259 Queens Park 4,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 259 Queens Park (5 M),CA26486TEL-789FD,Telenzo,107.10000000000001,107.10000000000001,162.5,Carpet,Carpet,Telenzo Bakerloo  259 Queens Park  5,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 332 New Cross Gate (4 M),CA26486TEL-DA4FA,Telenzo,85.68,85.68,130.0,Carpet,Carpet,Telenzo Bakerloo  332 New Cross Gate 4,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 332 New Cross Gate (5 M),CA26486TEL-D76A0,Telenzo,107.10000000000001,107.10000000000001,162.5,Carpet,Carpet,Telenzo Bakerloo  332 New Cross Gate  5,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 339 Clock House (4 M),CA26486TEL-8CFB3,Telenzo,85.68,85.68,130.0,Carpet,Carpet,Telenzo Bakerloo  339 Clock House 4,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 339 Clock House (5 M),CA26486TEL-B343E,Telenzo,107.10000000000001,107.10000000000001,162.5,Carpet,Carpet,Telenzo Bakerloo  339 Clock House  5,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 341 Eden Park (4 M),CA26486TEL-943C5,Telenzo,85.68,85.68,130.0,Carpet,Carpet,Telenzo Bakerloo  341 Eden Park 4,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 341 Eden Park (5 M),CA26486TEL-BBB3A,Telenzo,107.10000000000001,107.10000000000001,162.5,Carpet,Carpet,Telenzo Bakerloo  341 Eden Park  5,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 344 Harrow (4 M),CA26486TEL-07FB0,Telenzo,85.68,85.68,130.0,Carpet,Carpet,Telenzo Bakerloo  344 Harrow 4,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 344 Harrow (5 M),CA26486TEL-C43F0,Telenzo,107.10000000000001,107.10000000000001,162.5,Carpet,Carpet,Telenzo Bakerloo  344 Harrow  5,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 358 Hayes (4 M),CA26486TEL-96EE0,Telenzo,85.68,85.68,130.0,Carpet,Carpet,Telenzo Bakerloo  358 Hayes 4,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 358 Hayes (5 M),CA26486TEL-F6F91,Telenzo,107.10000000000001,107.10000000000001,162.5,Carpet,Carpet,Telenzo Bakerloo  358 Hayes  5,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 379 Warwick Avenue (4 M),CA26486TEL-7C402,Telenzo,85.68,85.68,130.0,Carpet,Carpet,Telenzo Bakerloo  379 Warwick Avenue 4,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Bakerloo 379 Warwick Avenue (5 M),CA26486TEL-AC58A,Telenzo,107.10000000000001,107.10000000000001,162.5,Carpet,Carpet,Telenzo Bakerloo  379 Warwick Avenue  5,Price per SQM: £39.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Barbican 112 Parchment (4 M),CA84296TEL-0CC3C,Telenzo,72.9,72.9,123.33333333333334,Carpet,Carpet,Telenzo Barbican 112 Parchment 4,Price per SQM: £37.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Barbican 112 Parchment (5 M),CA84296TEL-F244B,Telenzo,91.125,91.125,154.16666666666669,Carpet,Carpet,Telenzo Barbican 112 Parchment  5,Price per SQM: £37.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Barbican 122 Wheat (4 M),CA84296TEL-EE0A7,Telenzo,72.9,72.9,123.33333333333334,Carpet,Carpet,Telenzo Barbican  122 Wheat 4,Price per SQM: £37.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Barbican 122 Wheat (5 M),CA84296TEL-92A4D,Telenzo,91.125,91.125,154.16666666666669,Carpet,Carpet,Telenzo Barbican  122 Wheat  5,Price per SQM: £37.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Barbican 124 Aspen (4 M),CA84296TEL-E629B,Telenzo,72.9,72.9,123.33333333333334,Carpet,Carpet,Telenzo Barbican  124 Aspen 4,Price per SQM: £37.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Barbican 124 Aspen (5 M),CA84296TEL-FE5CB,Telenzo,91.125,91.125,154.16666666666669,Carpet,Carpet,Telenzo Barbican  124 Aspen  5,Price per SQM: £37.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Barbican 129 Smoke (4 M),CA84296TEL-E70B3,Telenzo,72.9,72.9,123.33333333333334,Carpet,Carpet,Telenzo Barbican  129 Smoke 4,Price per SQM: £37.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Barbican 129 Smoke (5 M),CA84296TEL-02AB4,Telenzo,91.125,91.125,154.16666666666669,Carpet,Carpet,Telenzo Barbican  129 Smoke  5,Price per SQM: £37.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
