Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Batik Beige (4 M),CA88996THE-6DB80,The Woven Edge,248.0,248.0,420.0,Carpet,Carpet,The Woven Edge Batik Beige 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Batik Grey (4 M),CA88996THE-327BE,The Woven Edge,248.0,248.0,420.0,Carpet,Carpet,The Woven Edge Batik  Grey 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Batik Silver (4 M),CA88996THE-72277,The Woven Edge,248.0,248.0,420.0,Carpet,Carpet,The Woven Edge Batik  Silver 4,"Price per SQM: £126.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Braid Charcoal (5 M),CA50141THE-F88B5,The Woven Edge,263.09999999999997,263.09999999999997,445.83333333333326,Carpet,Carpet,The Woven Edge Braid Charcoal 5,"Price per SQM: £107.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Braid Linen (5 M),CA50141THE-67BEF,The Woven Edge,263.09999999999997,263.09999999999997,445.83333333333326,Carpet,Carpet,The Woven Edge Braid  Linen 5,"Price per SQM: £107.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Braid Silver (5 M),CA50141THE-4E639,The Woven Edge,263.09999999999997,263.09999999999997,445.83333333333326,Carpet,Carpet,The Woven Edge Braid  Silver 5,"Price per SQM: £107.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Chevron Ash (5 M),CA31454THE-42184,The Woven Edge,214.75,214.75,366.66666666666663,Carpet,Carpet,The Woven Edge Chevron Ash 5,"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Chevron Graphite (5 M),CA31454THE-BB0A9,The Woven Edge,214.75,214.75,366.66666666666663,Carpet,Carpet,The Woven Edge Chevron  Graphite 5,"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Chevron Mocha (5 M),CA31454THE-AEB67,The Woven Edge,214.75,214.75,366.66666666666663,Carpet,Carpet,The Woven Edge Chevron  Mocha 5,"Price per SQM: £88.00 inc VAT; Locations: Twickenham, Richmond; Updated: 07-Jun-2024; Data synced from Rakata"
Diamond Charcoal (5 M),CA74792THE-F88B5,The Woven Edge,275.75,275.75,470.83333333333326,Carpet,Carpet,The Woven Edge Diamond Charcoal 5,Price per SQM: £113.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Diamond Green (5 M),CA74792THE-284E2,The Woven Edge,275.75,275.75,470.83333333333326,Carpet,Carpet,The Woven Edge Diamond  Green 5,Price per SQM: £113.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Diamond Ivory (5 M),CA74792THE-1B59B,The Woven Edge,275.75,275.75,470.83333333333326,Carpet,Carpet,The Woven Edge Diamond  Ivory 5,Price per SQM: £113.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
