Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Habitus Croft Surf (1 M),CA70872ULS-26EC2,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft Surf 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Surf (2 M),CA70872ULS-226B8,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft Surf  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Surf (3 M),CA70872ULS-4B42B,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft Surf  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Surf (4 M),CA70872ULS-B7A05,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft Surf  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Surf (5 M),CA70872ULS-3A04B,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft Surf  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (1 M),CA70872ULS-3C66D,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (2 M),CA70872ULS-AD81E,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (3 M),CA70872ULS-B8C70,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (4 M),CA70872ULS-A7171,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Soya (5 M),CA70872ULS-04A96,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Soya  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (1 M),CA70872ULS-9D7B3,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (2 M),CA70872ULS-83C5A,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (3 M),CA70872ULS-B7151,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (4 M),CA70872ULS-7CE18,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Wren (5 M),CA70872ULS-35716,Ulster Carpets,142.5,142.5,229.16666666666663,Carpet,Carpet,Ulster Carpets Habitus Croft  Wren  5,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (1 M),CA70872ULS-2AB25,Ulster Carpets,28.5,28.5,45.83333333333333,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye 1,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (2 M),CA70872ULS-A474B,Ulster Carpets,57.0,57.0,91.66666666666666,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye  2,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (3 M),CA70872ULS-305F3,Ulster Carpets,85.5,85.5,137.5,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye  3,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Habitus Croft Rye (4 M),CA70872ULS-75191,Ulster Carpets,114.0,114.0,183.33333333333331,Carpet,Carpet,Ulster Carpets Habitus Croft  Rye  4,Price per SQM: £55.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
