Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Alberta Calgary AB001 (5 M),CA86737UNN-3F883,Unnatural Flooring,132.5,132.5,225.0,Carpet,Faux Sisal,Unnatural Flooring Alberta Calgary AB001 5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Alberta Edson AB002 (5 M),CA86737UNN-3F5CF,Unnatural Flooring,132.5,132.5,225.0,Carpet,Faux Sisal,Unnatural Flooring Alberta  Edson AB002 5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Alberta Magrath AB003 (5 M),CA86737UNN-9516E,Unnatural Flooring,132.5,132.5,225.0,Carpet,Faux Sisal,Unnatural Flooring Alberta  Magrath AB003 5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Alberta Marlboro AB004 (5 M),CA86737UNN-AD327,Unnatural Flooring,132.5,132.5,225.0,Carpet,Faux Sisal,Unnatural Flooring Alberta  Marlboro AB004 5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Alberta Nampa AB005 (5 M),CA86737UNN-D5A4A,Unnatural Flooring,132.5,132.5,225.0,Carpet,Faux Sisal,Unnatural Flooring Alberta  Nampa AB005 5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Alberta Hanna AB006 (5 M),CA86737UNN-70AB1,Unnatural Flooring,132.5,132.5,225.0,Carpet,Faux Sisal,Unnatural Flooring Alberta  Hanna AB006 5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Alberta Lamont AB007 (5 M),CA86737UNN-A6E07,Unnatural Flooring,132.5,132.5,225.0,Carpet,Faux Sisal,Unnatural Flooring Alberta  Lamont AB007 5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Alberta Bassano AB008 (5 M),CA86737UNN-BEEDD,Unnatural Flooring,132.5,132.5,225.0,Carpet,Faux Sisal,Unnatural Flooring Alberta  Bassano AB008 5,Price per SQM: £54.00 inc VAT; Locations: Richmond; Updated: 07-Jun-2024; Data synced from Rakata
Copenhagen Chevron Boras CH002 (4 M),CA61166UNN-43F35,Unnatural Flooring,134.0,134.0,213.33333333333331,Carpet,Faux Sisal,Unnatural Flooring Copenhagen Chevron Boras CH002 4,Price per SQM: £64.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Copenhagen Chevron Drammen CH008 (4 M),CA61166UNN-3ADB4,Unnatural Flooring,134.0,134.0,213.33333333333331,Carpet,Faux Sisal,Unnatural Flooring Copenhagen Chevron  Drammen CH008 4,Price per SQM: £64.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
