Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Aura Bath Time (4 M),CA98574VIC-3B307,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura Bath Time 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Bath Time (5 M),CA98574VIC-6B352,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura Bath Time  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Blackcurrant Squash (4 M),CA98574VIC-236BA,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Blackcurrant Squash 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Blackcurrant Squash (5 M),CA98574VIC-CEB4C,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Blackcurrant Squash  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Bubbles (4 M),CA98574VIC-CFA14,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Bubbles 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Bubbles (5 M),CA98574VIC-6F6C4,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Bubbles  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Goldilocks (4 M),CA98574VIC-2D423,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Goldilocks 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Goldilocks (5 M),CA98574VIC-55E18,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Goldilocks  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Ice Pop (4 M),CA98574VIC-C75A7,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Ice Pop 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Ice Pop (5 M),CA98574VIC-AAF6B,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Ice Pop  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Ice Skating (4 M),CA98574VIC-75D25,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Ice Skating 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Ice Skating (5 M),CA98574VIC-8693E,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Ice Skating  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Marshmallow (4 M),CA98574VIC-D4C5A,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Marshmallow 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Marshmallow (5 M),CA98574VIC-9613F,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Marshmallow  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Mother Goose (4 M),CA98574VIC-8609B,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Mother Goose 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Mother Goose (5 M),CA98574VIC-A486C,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Mother Goose  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Picnic (4 M),CA98574VIC-75ECF,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Picnic 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Picnic (5 M),CA98574VIC-2C505,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Picnic  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Puddle Duck (4 M),CA98574VIC-03DCD,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Puddle Duck 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Puddle Duck (5 M),CA98574VIC-6FD58,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Puddle Duck  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Sand Dune (4 M),CA98574VIC-DB981,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Sand Dune 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Sand Dune (5 M),CA98574VIC-E6E61,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Sand Dune  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Sports Day (4 M),CA98574VIC-0310D,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Sports Day 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Sports Day (5 M),CA98574VIC-BD61E,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Sports Day  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Summer Splash (4 M),CA98574VIC-A8D9E,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Summer Splash 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Summer Splash (5 M),CA98574VIC-45EF0,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Summer Splash  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Teddy (4 M),CA98574VIC-45D7F,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Teddy 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Teddy (5 M),CA98574VIC-35E51,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Teddy  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Temper Tantrum (4 M),CA98574VIC-EE9AC,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Temper Tantrum 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Temper Tantrum (5 M),CA98574VIC-FD487,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Temper Tantrum  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Twinkle (4 M),CA98574VIC-97E49,Victoria Carpets,54.0,54.0,106.66666666666666,Carpet,Carpet,Victoria Carpets Aura  Twinkle 4,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Aura Twinkle (5 M),CA98574VIC-78755,Victoria Carpets,67.5,67.5,133.33333333333331,Carpet,Carpet,Victoria Carpets Aura  Twinkle  5,Price per SQM: £32.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burford Twist Elite Barns (4 M),CA94285VIC-F58E7,Victoria Carpets,61.16,61.16,123.33333333333334,Carpet,Carpet,Victoria Carpets Burford Twist Elite Barns 4,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burford Twist Elite Barns (5 M),CA94285VIC-C9EA0,Victoria Carpets,76.44999999999999,76.44999999999999,154.16666666666669,Carpet,Carpet,Victoria Carpets Burford Twist Elite Barns  5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burford Twist Elite Chapman (4 M),CA94285VIC-EE096,Victoria Carpets,61.16,61.16,123.33333333333334,Carpet,Carpet,Victoria Carpets Burford Twist Elite  Chapman 4,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Burford Twist Elite Chapman (5 M),CA94285VIC-428D2,Victoria Carpets,76.44999999999999,76.44999999999999,154.16666666666669,Carpet,Carpet,Victoria Carpets Burford Twist Elite  Chapman  5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
