Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Barrington Loop Cobble (1 M),CA35335WES-93ACE,Westex,104.616,104.616,137.5,Carpet,Carpet,Westex Barrington Loop Cobble 1,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Cobble (3.66 M),CA35335WES-0C415,Westex,382.89456,382.89456,503.25,Carpet,Carpet,Westex Barrington Loop Cobble  3.66,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Cobble (4 M),CA35335WES-C3FFC,Westex,418.464,418.464,550.0,Carpet,Carpet,Westex Barrington Loop Cobble  4,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Cobble (4.57 M),CA35335WES-29CEA,Westex,478.09512,478.09512,628.375,Carpet,Carpet,Westex Barrington Loop Cobble  4.57,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Cobble (5 M),CA35335WES-D0A88,Westex,523.08,523.08,687.5,Carpet,Carpet,Westex Barrington Loop Cobble  5,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Corn (1 M),CA35335WES-B555A,Westex,104.616,104.616,137.5,Carpet,Carpet,Westex Barrington Loop  Corn 1,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Corn (3.66 M),CA35335WES-74B1E,Westex,382.89456,382.89456,503.25,Carpet,Carpet,Westex Barrington Loop  Corn  3.66,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Corn (4 M),CA35335WES-CBEBB,Westex,418.464,418.464,550.0,Carpet,Carpet,Westex Barrington Loop  Corn  4,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Corn (4.57 M),CA35335WES-E3404,Westex,478.09512,478.09512,628.375,Carpet,Carpet,Westex Barrington Loop  Corn  4.57,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Corn (5 M),CA35335WES-63825,Westex,523.08,523.08,687.5,Carpet,Carpet,Westex Barrington Loop  Corn  5,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Diamond Dove (1 M),CA35335WES-C2504,Westex,104.616,104.616,137.5,Carpet,Carpet,Westex Barrington Loop  Diamond Dove 1,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Diamond Dove (3.66 M),CA35335WES-2BE84,Westex,382.89456,382.89456,503.25,Carpet,Carpet,Westex Barrington Loop  Diamond Dove  3.66,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Diamond Dove (4 M),CA35335WES-9A7A2,Westex,418.464,418.464,550.0,Carpet,Carpet,Westex Barrington Loop  Diamond Dove  4,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Barrington Loop Diamond Dove (4.57 M),CA35335WES-BB0EB,Westex,478.09512,478.09512,628.375,Carpet,Carpet,Westex Barrington Loop  Diamond Dove  4.57,Price per SQM: £165.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
