Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Aristocat Mercury (2.5 M),CA80356ABI-6FB80,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat Mercury 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Mercury (4 M),CA80356ABI-4D6B8,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat Mercury  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Mercury (5 M),CA80356ABI-65250,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat Mercury  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Ice Breaker (2.5 M),CA80356ABI-8B096,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Ice Breaker 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Ice Breaker (4 M),CA80356ABI-B7097,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Ice Breaker  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Ice Breaker (5 M),CA80356ABI-DEA50,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Ice Breaker  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Fern Green (2.5 M),CA80356ABI-9113D,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Fern Green 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Fern Green (4 M),CA80356ABI-3D5EE,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Fern Green  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Fern Green (5 M),CA80356ABI-B2C87,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Fern Green  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Antique Gold (2.5 M),CA80356ABI-DECA8,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Antique Gold 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Antique Gold (4 M),CA80356ABI-99CCA,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Antique Gold  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Antique Gold (5 M),CA80356ABI-2ABD1,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Antique Gold  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Desert Sands (2.5 M),CA80356ABI-31F4A,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Desert Sands 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Desert Sands (4 M),CA80356ABI-A774E,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Desert Sands  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Desert Sands (5 M),CA80356ABI-0C8DD,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Desert Sands  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Rich Harvest (2.5 M),CA80356ABI-99D2C,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Rich Harvest 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Rich Harvest (4 M),CA80356ABI-292CA,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Rich Harvest  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Rich Harvest (5 M),CA80356ABI-C0052,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Rich Harvest  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Jet (2.5 M),CA80356ABI-0997A,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Jet 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Jet (4 M),CA80356ABI-F8B69,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Jet  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Jet (5 M),CA80356ABI-696DF,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Jet  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
