Pre-Build Name,SKU,Labour Cost,Labour Sell Price,Group,Subgroup 1,Pre-Build Notes,Pre-Build Description,Estimated Time,Pre-Build Sell Price
Flatwoven Runner Installation (Straight Flight),INS73446FLA,350.0,412.5,Flatwoven Runner,Installation,,,60,412.5
Flatwoven Runner Installation (Winder Flight),INS29734FLA,400.0,466.66666666666663,Flatwoven Runner,Installation,,,60,466.66666666666663
Flatwoven Runner Installation - Sewn Mitre,INS31618FLA,50.0,58.33333333333333,Flatwoven Runner,Installation,,,60,58.33333333333333
Flatwoven Runner Installation - Miscellaneous,INS78203FLA,1.0,1.15,Flatwoven Runner,Installation,,,60,1.15
Sophie Cooney Runner Installation (Step),INS88330FLA,30.0,37.5,Flatwoven Runner,Installation,,,60,37.5
Sophie Cooney Runner Installation - Sewn Mitre (Winder),INS25787FLA,50.0,58.33333333333333,Flatwoven Runner,Installation,,,60,58.33333333333333
Sophie Cooney Runner Installation - Sewn Mitre (Quarter),INS91212FLA,70.0,83.33333333333334,Flatwoven Runner,Installation,,,60,83.33333333333334
Installation - Cut Door (Each),INS74162GEN,30.0,35.0,General,Installation,,,60,35.0
Installation - Travel / Parking / ULEZ / CC,INS65151GEN,1.0,1.15,General,Installation,,,60,1.15
Installation - Miscellaneous,INS82215FLA,1.0,1.15,Flatwoven Runner,Installation,,,60,1.15
Stair Rod Installation,INS20885GEN,8.0,10.0,General,Installation,,,60,10.0
Delivery (Minimum),INS56294GEN,45.0,54.16666666666667,General,Delivery,,,60,54.16666666666667
Delivery,INS98401GEN,1.0,1.15,General,Delivery,,,60,1.15
Ply Installation - Standard,INS59738GEN,30.0,35.0,General,Sub floor works,,,60,35.0
Preparation - Miscellaneous,INS53380GEN,1.0,1.1583333333333332,General,Sub floor works,,,60,1.1583333333333332
Removal (Uplift & Disposal) of Carpet etc.,INS89993GEN,3.5,4.166666666666667,General,Uplift,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS45992GEN,5.0,5.833333333333334,General,Uplift,,,60,5.833333333333334
