Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Signature Standard Aged Oak,RE51865AMT-04F0A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard Aged Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Alpine Oak,RE51865AMT-4C05A,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Alpine Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard American Oak,RE51865AMT-990D6,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  American Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Antique Wood,RE51865AMT-94009,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Antique Wood,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Ashdown Oak,RE51865AMT-ECFE4,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Ashdown Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Aspen Oak,RE51865AMT-579A7,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Aspen Oak,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Basilica Salt,RE51865AMT-7009E,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Basilica Salt,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Basilica Shell,RE51865AMT-DD4C4,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Basilica Shell,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Berkswell Stone,RE51865AMT-0D39C,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Berkswell Stone,Price per SQM: £75.990 inc VAT; Locations: None
Signature Standard Berwick Oak,RE51865AMT-EA15D,Amtico,43.1,43.1,63.324999999999996,Vinyl,LVT,Amtico Signature Standard  Berwick Oak,Price per SQM: £75.990 inc VAT; Locations: None
