Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Check Blue,RE60347HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Check Blue  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Check Flint,RE57526HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Check Flint  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Check Graphite,RE75431HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Check Graphite  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Check Ochre,RE35492HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Check Ochre  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Check Shadow,RE38948HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Check Shadow  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Check Slate,RE46142HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Check Slate  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Dovetail Burnt Copper,RE80170HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Dovetail Burnt Copper  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Dovetail Flax,RE36759HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Dovetail Flax  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Dovetail French Clay,RE25245HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Dovetail French Clay  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Dovetail Ink Black,RE62092HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Dovetail Ink Black  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Dovetail Lavastone,RE93925HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Dovetail Lavastone  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Dovetail Ochre,RE76835HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Dovetail Ochre  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Dovetail Oxford Blue,RE68042HAR,Harvey Maria,28.42,28.42,45.83333333333333,Vinyl,LVT,Harvey Maria Dovetail Oxford Blue  Zinc,Price per SQM: £55.00 inc VAT; Locations: None
Heritage Colours Little Bricks Apple Green,RE45133HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Apple Green  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Little Bricks Bay Blue,RE68250HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Bay Blue  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Little Bricks Fawn,RE99543HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Fawn  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Little Bricks Forget-Me-Not,RE17326HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Forget-Me-Not  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Little Bricks Harvest Gold,RE49720HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Harvest Gold  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Little Bricks Pumice,RE16213HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Pumice  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Little Bricks Soft Lilac,RE47958HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Soft Lilac  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Little Bricks Steel,RE12872HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Steel  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Little Bricks Venetian Red,RE79844HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Little Bricks Venetian Red  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
Heritage Colours Squares Bay Blue,RE45186HAR,Harvey Maria,22.73,22.73,36.666666666666664,Vinyl,LVT,Harvey Maria Heritage Colours Squares Bay Blue  Zinc,Price per SQM: £44.00 inc VAT; Locations: None
