Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Yukon Beach,RE92598LAM-911FB,Lamett,20.02,20.02,40.83333333333333,Vinyl,SPC,Lamett Yukon Beach,Price per SQM: £49.00 inc VAT; Locations: Twickenham
Yukon Desert Dune,RE92598LAM-44BE1,Lamett,20.02,20.02,40.83333333333333,Vinyl,SPC,Lamett Yukon  Desert Dune,Price per SQM: £49.00 inc VAT; Locations: Twickenham
Yukon Mistral,RE92598LAM-6466D,Lamett,20.02,20.02,40.83333333333333,Vinyl,SPC,Lamett Yukon  Mistral,Price per SQM: £49.00 inc VAT; Locations: Twickenham
Yukon Sea Stone,RE92598LAM-48E61,Lamett,20.02,20.02,40.83333333333333,Vinyl,SPC,Lamett Yukon  Sea Stone,Price per SQM: £49.00 inc VAT; Locations: Twickenham
Yukon Smoked Grey,RE92598LAM-E8B6A,Lamett,20.02,20.02,40.83333333333333,Vinyl,SPC,Lamett Yukon  Smoked Grey,Price per SQM: £49.00 inc VAT; Locations: Twickenham
Yukon Tan,RE92598LAM-13355,Lamett,20.02,20.02,40.83333333333333,Vinyl,SPC,Lamett Yukon  Tan,Price per SQM: £49.00 inc VAT; Locations: Twickenham
Yukon Herringbone Desert Dune,RE73681LAM-44BE1,Lamett,23.77,23.77,45.83333333333333,Vinyl,SPC,Lamett Yukon Herringbone Desert Dune,Price per SQM: £55.00 inc VAT; Locations: Twickenham
Yukon Herringbone Mistral,RE73681LAM-6466D,Lamett,23.77,23.77,45.83333333333333,Vinyl,SPC,Lamett Yukon Herringbone  Mistral,Price per SQM: £55.00 inc VAT; Locations: Twickenham
Yukon Herringbone Smoked Grey,RE73681LAM-E8B6A,Lamett,23.77,23.77,45.83333333333333,Vinyl,SPC,Lamett Yukon Herringbone  Smoked Grey,Price per SQM: £55.00 inc VAT; Locations: Twickenham
Yukon Herringbone Tan,RE73681LAM-13355,Lamett,23.77,23.77,45.83333333333333,Vinyl,SPC,Lamett Yukon Herringbone  Tan,Price per SQM: £55.00 inc VAT; Locations: Twickenham
Sava Herringbone Sand,RE22525LAM-B36FB,Lamett,23.6,23.6,45.0,Vinyl,SPC,Lamett Sava Herringbone Sand,Price per SQM: £54.00 inc VAT; Locations: Twickenham
