Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Basic 5.3 - Skyline White 1744609,RE97536PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Skyline White 1744609  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Grey Whitewash 1743001,RE38471PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Grey Whitewash 1743001  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Infinity Grey 1744608,RE54579PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Infinity Grey 1744608  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Oak Natural 1743004,RE23364PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Oak Natural 1743004  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Infinity Natural 1744607,RE68064PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Infinity Natural 1744607  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Trendtime 8 - Imperial Light Grey 1744828,RE82765PAR,Parador,20.64,20.64,45.83333333333333,Vinyl,LVT,Parador Trendtime 8 - Imperial Light Grey 1744828  Rye,Price per SQM: £55.00 inc VAT; Locations: None
Classic 2070 - Explorer Rock Grey 1744630,RE70704PAR,Parador,19.75,19.75,44.16666666666667,Vinyl,LVT,Parador Classic 2070 - Explorer Rock Grey 1744630  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Trendtime 8 - Symphony Grey 1744830,RE58979PAR,Parador,20.64,20.64,45.83333333333333,Vinyl,LVT,Parador Trendtime 8 - Symphony Grey 1744830  Rye,Price per SQM: £55.00 inc VAT; Locations: None
Trendtime 8 - Studioline Sanded 1744833,RE99050PAR,Parador,20.64,20.64,45.83333333333333,Vinyl,LVT,Parador Trendtime 8 - Studioline Sanded 1744833  Rye,Price per SQM: £55.00 inc VAT; Locations: None
Trendtime 8 - Pacific Natural 1744831,RE32994PAR,Parador,20.64,20.64,45.83333333333333,Vinyl,LVT,Parador Trendtime 8 - Pacific Natural 1744831  Rye,Price per SQM: £55.00 inc VAT; Locations: None
Basic 5.3 - Pastel Grey 1743005,RE45265PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Pastel Grey 1743005  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Classic 2070 - Oak Sanded 1744621,RE82916PAR,Parador,19.75,19.75,44.16666666666667,Vinyl,LVT,Parador Classic 2070 - Oak Sanded 1744621  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Oak Memory Natural 1743003,RE16922PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Oak Memory Natural 1743003  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Royal Light Limed 1743006,RE64183PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Royal Light Limed 1743006  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Classic 2070 - Natural Mix Grey 1744628,RE93498PAR,Parador,19.75,19.75,44.16666666666667,Vinyl,LVT,Parador Classic 2070 - Natural Mix Grey 1744628  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Classic 2070 - Vintage Grey Antique 1744626,RE44509PAR,Parador,19.75,19.75,44.16666666666667,Vinyl,LVT,Parador Classic 2070 - Vintage Grey Antique 1744626  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Oak Memory Sanded 1743002,RE57795PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Oak Memory Sanded 1743002  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Studioline Sanded 1743008,RE97432PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Studioline Sanded 1743008  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Basic 5.3 - Sierra Natural 1743007,RE78181PAR,Parador,19.8,19.8,44.16666666666667,Vinyl,LVT,Parador Basic 5.3 - Sierra Natural 1743007  Rye,Price per SQM: £53.00 inc VAT; Locations: None
Modular 1 - Spirit Smoked 1730773,RE48958PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Spirit Smoked 1730773  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 - Nordic Grey 1744548,RE62811PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Nordic Grey 1744548  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 - Atmosphere Sanded 1744544,RE50768PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Atmosphere Sanded 1744544  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 - Rustic Grey 1730774,RE41434PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Rustic Grey 1730774  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 - Urban Grey Limed 1730771,RE99802PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Urban Grey Limed 1730771  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 - Oak Pure Pearl Grey 1730768,RE14660PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Oak Pure Pearl Grey 1730768  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 - Urban Light Limed 1730769,RE84914PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Urban Light Limed 1730769  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 'Chateau' - Nordic Grey 1744559,RE61167PAR,Parador,21.38,21.38,47.5,Vinyl,SPC,Parador Modular 1 'Chateau' - Nordic Grey  1744559  Rye,Price per SQM: £57.00 inc VAT; Locations: None
Modular 1 'Chateau' - Pure Light 1730803,RE32901PAR,Parador,21.38,21.38,47.5,Vinyl,SPC,Parador Modular 1 'Chateau' - Pure Light 1730803  Rye,Price per SQM: £57.00 inc VAT; Locations: None
Modular 1 'Chateau' - Urban Grey Limed 1730807,RE33435PAR,Parador,21.38,21.38,47.5,Vinyl,SPC,Parador Modular 1 'Chateau' - Urban Grey Limed 1730807  Rye,Price per SQM: £57.00 inc VAT; Locations: None
Modular 1 - Oak Pure Natural 1730766,RE14150PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Oak Pure Natural 1730766  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 - Atmosphere Natural 1744545,RE40138PAR,Parador,15.56,15.56,35.833333333333336,Vinyl,SPC,Parador Modular 1 - Atmosphere Natural 1744545  Rye,Price per SQM: £43.00 inc VAT; Locations: None
Modular 1 'Chateau' - Oak Pure Pearl Grey 1730804,RE39877PAR,Parador,21.38,21.38,47.5,Vinyl,SPC,Parador Modular 1 'Chateau' - Oak Pure Pearl Grey 1730804  Rye,Price per SQM: £57.00 inc VAT; Locations: None
Modular 1 'Chateau' - Nordic White 1744558,RE44430PAR,Parador,21.38,21.38,47.5,Vinyl,SPC,Parador Modular 1 'Chateau' - Nordic White 1744558  Rye,Price per SQM: £57.00 inc VAT; Locations: None
