Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Brecon Glacial Oak,RE55792WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Glacial Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Ivory Oak,RE52862WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Ivory Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Barley Oak,RE42022WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Barley Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Dove Oak,RE70729WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Dove Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Blanche Oak,RE89437WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Blanche Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Seashell Oak,RE15526WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Seashell Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Warehouse Oak,RE79238WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Warehouse Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon River Oak,RE66059WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon River Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Whisper Oak,RE81095WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Whisper Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Weathered Oak,RE64663WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Weathered Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Valley Oak,RE23157WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Valley Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Farm Oak,RE17499WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Farm Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
Brecon Vintage Oak,RE68810WOO,Woodpecker,25.0,25.0,44.16666666666667,Vinyl,SPC,Woodpecker Brecon Vintage Oak  Rye,Price per SQM: £53.00 inc VAT; Locations: Richmond
