Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Bridlington Buff (Solid Parquet),WO76304BES,Bespoke by Woven & Woods,52.0,52.0,72.5,Wood,Herringbone,Bespoke by Woven & Woods Bridlington Buff (Solid Parquet),Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Gateholm Grey (Solid Parquet),WO27971BES,Bespoke by Woven & Woods,52.0,52.0,72.5,Wood,Herringbone,Bespoke by Woven & Woods Gateholm Grey (Solid Parquet),Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Fistral Fawn (Solid Parquet),WO22834BES,Bespoke by Woven & Woods,48.0,48.0,71.66666666666667,Wood,Herringbone,Bespoke by Woven & Woods Fistral Fawn (Solid Parquet),Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Barleycove Beige (Solid Parquet),WO77525BES,Bespoke by Woven & Woods,52.0,52.0,72.5,Wood,Herringbone,Bespoke by Woven & Woods Barleycove Beige (Solid Parquet),Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Tawnyard Tan (Solid Parquet),WO87053BES,Bespoke by Woven & Woods,52.0,52.0,72.5,Wood,Herringbone,Bespoke by Woven & Woods Tawnyard Tan (Solid Parquet),Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Woolacombe White (Solid Parquet),WO46884BES,Bespoke by Woven & Woods,48.0,48.0,71.66666666666667,Wood,Herringbone,Bespoke by Woven & Woods Woolacombe White (Solid Parquet),Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Clevedon Cream (Solid Parquet),WO95786BES,Bespoke by Woven & Woods,52.0,52.0,72.5,Wood,Herringbone,Bespoke by Woven & Woods Clevedon Cream (Solid Parquet),Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bempton Brown (Solid Parquet),WO62246BES,Bespoke by Woven & Woods,52.0,52.0,72.5,Wood,Herringbone,Bespoke by Woven & Woods Bempton Brown (Solid Parquet),Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Cogley Carob (Solid Parquet),WO70899BES,Bespoke by Woven & Woods,48.0,48.0,71.66666666666667,Wood,Herringbone,Bespoke by Woven & Woods Cogley Carob (Solid Parquet),Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Mealt Loch Mocha (Solid Parquet),WO83520BES,Bespoke by Woven & Woods,52.0,52.0,72.5,Wood,Herringbone,Bespoke by Woven & Woods Mealt Loch Mocha (Solid Parquet),Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bridlington Buff (Engineered),WO55607BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Bridlington Buff (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Gateholm Grey (Engineered),WO77963BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Gateholm Grey (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Fistral Fawn (Engineered),WO54192BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Fistral Fawn (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Barleycove Beige (Engineered),WO83994BES,Bespoke by Woven & Woods,75.0,75.0,105.0,Wood,Herringbone,Bespoke by Woven & Woods Barleycove Beige (Engineered),Price per SQM: £126.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
