Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
American Black Walnut (Matt) (Diva 139) 1021340,WO56755PAN,Panaget,71.55,71.55,100.0,Wood,Plank,Panaget American Black Walnut (Matt) (Diva 139) 1021340,Price per SQM: £120.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
American Black Walnut (Satin) (Herringbone 139) 1019564,WO19856PAN,Panaget,79.9,79.9,111.66666666666666,Wood,Herringbone,Panaget American Black Walnut (Satin) (Herringbone 139) 1019564,Price per SQM: £134.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Argile - Authentic (Diva 223) 1017303,WO74121PAN,Panaget,72.85,72.85,101.66666666666666,Wood,Plank,Panaget Argile - Authentic (Diva 223) 1017303,Price per SQM: £122.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Argile - Zenitude (Diva 184) 1016189,WO84017PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Argile - Zenitude (Diva 184) 1016189,"Price per SQM: £89.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bois Flotte - Authentic (Chevron 139) 1019821,WO78112PAN,Panaget,70.35,70.35,98.33333333333334,Wood,Chevron,Panaget Bois Flotte - Authentic (Chevron 139) 1019821,Price per SQM: £118.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Authentic (Diva 139) 1017897,WO17345PAN,Panaget,40.15,40.15,60.0,Wood,Plank,Panaget Bois Flotte - Authentic (Diva 139) 1017897,Price per SQM: £72.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Authentic (Diva 184) 1016634,WO44295PAN,Panaget,56.1,56.1,78.33333333333333,Wood,Plank,Panaget Bois Flotte - Authentic (Diva 184) 1016634,Price per SQM: £94.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Authentic (Diva 223) 1016985,WO13281PAN,Panaget,72.85,72.85,101.66666666666666,Wood,Plank,Panaget Bois Flotte - Authentic (Diva 223) 1016985,"Price per SQM: £122.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bois Flotte - Authentic (Diva Click 184) 1000059,WO26750PAN,Panaget,51.3,51.3,71.66666666666667,Wood,Plank,Panaget Bois Flotte - Authentic (Diva Click 184) 1000059,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Authentic (Herringbone 139) 1016617,WO73529PAN,Panaget,58.9,58.9,82.5,Wood,Herringbone,Panaget Bois Flotte - Authentic (Herringbone 139) 1016617,Price per SQM: £99.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Classic (Diva 139) 1019701,WO14239PAN,Panaget,45.95,45.95,69.16666666666667,Wood,Plank,Panaget Bois Flotte - Classic (Diva 139) 1019701,Price per SQM: £83.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Classic (Diva 184) 1006159,WO96500PAN,Panaget,59.0,59.0,82.5,Wood,Plank,Panaget Bois Flotte - Classic (Diva 184) 1006159,Price per SQM: £99.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Classic (Diva Click 139) 1005774,WO55719PAN,Panaget,43.0,43.0,64.16666666666667,Wood,Plank,Panaget Bois Flotte - Classic (Diva Click 139) 1005774,Price per SQM: £77.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Intenso (Diva 139) 1017017,WO35030PAN,Panaget,32.87,32.87,54.16666666666667,Wood,Plank,Panaget Bois Flotte - Intenso (Diva 139) 1017017,Price per SQM: £65.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Zenitude (Diva 139) 1007643,WO97297PAN,Panaget,37.65,37.65,58.33333333333333,Wood,Plank,Panaget Bois Flotte - Zenitude (Diva 139) 1007643,Price per SQM: £70.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Zenitude (Diva 184) 1007330,WO52768PAN,Panaget,52.75,52.75,74.16666666666667,Wood,Plank,Panaget Bois Flotte - Zenitude (Diva 184) 1007330,"Price per SQM: £89.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bois Flotte - Zenitude (Diva 184) 1016424,WO52271PAN,Panaget,47.55,47.55,71.66666666666667,Wood,Plank,Panaget Bois Flotte - Zenitude (Diva 184) 1016424,Price per SQM: £86.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Zenitude (Sonate 140) 1007261,WO92846PAN,Panaget,57.43,57.43,80.0,Wood,Plank,Panaget Bois Flotte - Zenitude (Sonate 140) 1007261,Price per SQM: £96.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte - Zenitude (Sonate 90) 1007293,WO26626PAN,Panaget,55.38,55.38,77.5,Wood,Plank,Panaget Bois Flotte - Zenitude (Sonate 90) 1007293,Price per SQM: £93.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bois Flotte – Tradition (Alto 139) 1017696,WO56818PAN,Panaget,46.52,46.52,70.0,Wood,Plank,Panaget Bois Flotte – Tradition (Alto 139) 1017696,Price per SQM: £84.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Café Crème - Authentic (Chevron 139) 1019822,WO17545PAN,Panaget,70.35,70.35,98.33333333333334,Wood,Chevron,Panaget Café Crème - Authentic (Chevron 139) 1019822,Price per SQM: £118.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Café Crème - Zenitude (Diva 139) 1019168,WO78263PAN,Panaget,37.65,37.65,58.33333333333333,Wood,Plank,Panaget Café Crème - Zenitude (Diva 139) 1019168,Price per SQM: £70.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
