Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Classic 3025 - Brushed & Matt Lacquer 1744854,WO82868PAR,Parador,36.39075,36.39075,61.66666666666667,Wood,Plank,Parador Classic 3025 - Brushed & Matt Lacquer 1744854,Price per SQM: £74.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3025 - Oak Matt Lacquer 1744847,WO55496PAR,Parador,34.7985,34.7985,59.16666666666667,Wood,Plank,Parador Classic 3025 - Oak Matt Lacquer 1744847,Price per SQM: £71.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3025 - Oak Soft Texture 1744846,WO35589PAR,Parador,38.70075,38.70075,62.5,Wood,Plank,Parador Classic 3025 - Oak Soft Texture 1744846,Price per SQM: £75.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3025 - Oak White Natural Oil 1744853,WO54207PAR,Parador,36.72075,36.72075,61.66666666666667,Wood,Plank,Parador Classic 3025 - Oak White Natural Oil 1744853,Price per SQM: £74.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Graphite 3-Strip 1739901,WO85242PAR,Parador,25.35225,25.35225,50.0,Wood,Plank,Parador Classic 3060 - Graphite 3-Strip 1739901,Price per SQM: £60.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Indian Breeze 1744434,WO93824PAR,Parador,86.46825,86.46825,120.83333333333334,Wood,Plank,Parador Classic 3060 - Indian Breeze 1744434,Price per SQM: £145.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Oak 3-Strip 1247126,WO58768PAR,Parador,24.98925,24.98925,49.16666666666667,Wood,Plank,Parador Classic 3060 - Oak 3-Strip 1247126,Price per SQM: £59.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Oak Brushed & Natural Oil 1739910,WO97693PAR,Parador,36.861,36.861,60.0,Wood,Plank,Parador Classic 3060 - Oak Brushed & Natural Oil 1739910,Price per SQM: £72.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Oak Pure 1739912,WO48778PAR,Parador,36.861,36.861,60.0,Wood,Plank,Parador Classic 3060 - Oak Pure 1739912,Price per SQM: £72.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Oak Smoked 1518242,WO35313PAR,Parador,50.754,50.754,75.83333333333333,Wood,Plank,Parador Classic 3060 - Oak Smoked 1518242,Price per SQM: £91.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Oak Soft Texture 1739902,WO61251PAR,Parador,36.68775,36.68775,61.66666666666667,Wood,Plank,Parador Classic 3060 - Oak Soft Texture 1739902,Price per SQM: £74.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Oak White 1518128,WO65243PAR,Parador,38.082,38.082,61.66666666666667,Wood,Plank,Parador Classic 3060 - Oak White 1518128,Price per SQM: £74.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Sanded Extra Matt 1744433,WO95455PAR,Parador,44.47575,44.47575,71.66666666666667,Wood,Plank,Parador Classic 3060 - Sanded Extra Matt 1744433,Price per SQM: £86.00 inc VAT; Locations: None; Data synced from Rakata
Classic 3060 - Thermo Oak 1739924,WO85513PAR,Parador,50.96025,50.96025,75.83333333333333,Wood,Plank,Parador Classic 3060 - Thermo Oak 1739924,Price per SQM: £91.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Black 1601584,WO37770PAR,Parador,44.187,44.187,70.83333333333333,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Black 1601584,Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Castle Extra Matt 1744422,WO13996PAR,Parador,44.187,44.187,70.83333333333333,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Castle Extra Matt 1744422,Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Chalet Extra Matt 1744423,WO87654PAR,Parador,44.187,44.187,70.83333333333333,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Chalet Extra Matt 1744423,Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Nougat 1739933,WO59748PAR,Parador,44.187,44.187,70.83333333333333,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Nougat 1739933,Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Oak Cream 1739932,WO97263PAR,Parador,44.187,44.187,70.83333333333333,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Oak Cream 1739932,Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Oak Matt 1601582,WO38690PAR,Parador,43.5435,43.5435,70.0,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Oak Matt 1601582,Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Oak Natural Oil 1739935,WO80284PAR,Parador,44.187,44.187,70.83333333333333,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Oak Natural Oil 1739935,Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Oak Pure 1601580,WO58036PAR,Parador,43.5435,43.5435,70.0,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Oak Pure 1601580,Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Oak Smoked 1744419,WO67729PAR,Parador,48.83175,48.83175,72.5,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Oak Smoked 1744419,Price per SQM: £87.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 3 (Herringbone) - Walnut 1743195,WO17279PAR,Parador,57.75,57.75,85.0,Wood,Herringbone,Parador Trendtime 3 (Herringbone) - Walnut 1743195,Price per SQM: £102.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 4 - Askada Extra Matt 1744426,WO45983PAR,Parador,40.128,40.128,65.0,Wood,Plank,Parador Trendtime 4 - Askada Extra Matt 1744426,Price per SQM: £78.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 4 - Castle Extra Matt 1744425,WO19732PAR,Parador,40.128,40.128,65.0,Wood,Plank,Parador Trendtime 4 - Castle Extra Matt 1744425,Price per SQM: £78.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 4 - Chalet Extra Matt 1744427,WO12123PAR,Parador,40.128,40.128,65.0,Wood,Plank,Parador Trendtime 4 - Chalet Extra Matt 1744427,Price per SQM: £78.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 4 - Nougat 1739938,WO86088PAR,Parador,40.128,40.128,65.0,Wood,Plank,Parador Trendtime 4 - Nougat 1739938,Price per SQM: £78.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 4 - Oak Cream 1739937,WO44870PAR,Parador,40.128,40.128,65.0,Wood,Plank,Parador Trendtime 4 - Oak Cream 1739937,Price per SQM: £78.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 4 - Walnut Antique 1518200,WO78742PAR,Parador,71.775,71.775,105.0,Wood,Plank,Parador Trendtime 4 - Walnut Antique 1518200,Price per SQM: £126.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 4 - Walnut Matt 1257369,WO83554PAR,Parador,81.60075,81.60075,114.16666666666666,Wood,Plank,Parador Trendtime 4 - Walnut Matt 1257369,Price per SQM: £137.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 6 - Beech White Sawn 1739940,WO84219PAR,Parador,28.875,28.875,53.33333333333333,Wood,Plank,Parador Trendtime 6 - Beech White Sawn 1739940,Price per SQM: £64.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 6 - Maple 3-Strip Vintage Sawn 1744428,WO28696PAR,Parador,24.98925,24.98925,49.16666666666667,Wood,Plank,Parador Trendtime 6 - Maple 3-Strip Vintage Sawn 1744428,Price per SQM: £59.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 6 - Noir Sawn 1739943,WO84087PAR,Parador,44.55,44.55,71.66666666666667,Wood,Plank,Parador Trendtime 6 - Noir Sawn 1739943,Price per SQM: £86.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Elephant Skin 1739952,WO42824PAR,Parador,43.4775,43.4775,70.0,Wood,Plank,Parador Trendtime 8 - Elephant Skin 1739952,Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
Trendtime 8 - Handscraped & Brushed 1739953,WO65782PAR,Parador,42.438,42.438,68.33333333333333,Wood,Plank,Parador Trendtime 8 - Handscraped & Brushed 1739953,Price per SQM: £82.00 inc VAT; Locations: None; Data synced from Rakata
