Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Asphalt Grey Oil (180),WO93390STA,Staki,58.15,58.15,79.16666666666667,Wood,Plank,Staki Asphalt Grey Oil (180),Price per SQM: £95.00 inc VAT; Locations: None; Data synced from Rakata
Asphalt Grey Oil (220),WO60261STA,Staki,68.16,68.16,90.83333333333334,Wood,Plank,Staki Asphalt Grey Oil (220),Price per SQM: £109.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Brushed & Basalt Oil (180),WO93210STA,Staki,51.05,51.05,71.66666666666667,Wood,Plank,Staki Brushed & Basalt Oil (180),Price per SQM: £86.00 inc VAT; Locations: None; Data synced from Rakata
Brushed & Basalt Oil (220),WO70399STA,Staki,61.07,61.07,81.66666666666666,Wood,Plank,Staki Brushed & Basalt Oil (220),Price per SQM: £98.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Blanc Oil (180),WO80279STA,Staki,49.42,49.42,70.83333333333333,Wood,Plank,Staki Blanc Oil (180),Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
Blanc Oil (220),WO82490STA,Staki,59.42,59.42,80.83333333333334,Wood,Plank,Staki Blanc Oil (220),Price per SQM: £97.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
BP Lacquered (180),WO60875STA,Staki,49.96,49.96,70.83333333333333,Wood,Plank,Staki BP Lacquered (180),Price per SQM: £85.00 inc VAT; Locations: None; Data synced from Rakata
BP Lacquered (220),WO18557STA,Staki,59.97,59.97,80.83333333333334,Wood,Plank,Staki BP Lacquered (220),Price per SQM: £97.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Cuba Lacquered (180),WO22752STA,Staki,52.15,52.15,72.5,Wood,Plank,Staki Cuba Lacquered (180),Price per SQM: £87.00 inc VAT; Locations: None; Data synced from Rakata
Cuba Lacquered (220),WO98207STA,Staki,62.16,62.16,85.0,Wood,Plank,Staki Cuba Lacquered (220),Price per SQM: £102.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Grey Stone Oil (180),WO62884STA,Staki,53.79,53.79,74.16666666666667,Wood,Plank,Staki Grey Stone Oil (180),Price per SQM: £89.00 inc VAT; Locations: None; Data synced from Rakata
Grey Stone Oil (220),WO36299STA,Staki,63.79,63.79,85.83333333333334,Wood,Plank,Staki Grey Stone Oil (220),Price per SQM: £103.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Oak Natural Oil (180),WO85322STA,Staki,48.87,48.87,69.16666666666667,Wood,Plank,Staki Oak Natural Oil (180),Price per SQM: £83.00 inc VAT; Locations: None; Data synced from Rakata
Oak Natural Oil (220),WO44228STA,Staki,58.88,58.88,80.0,Wood,Plank,Staki Oak Natural Oil (220),Price per SQM: £96.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Smoked & Oiled (180),WO86114STA,Staki,51.05,51.05,71.66666666666667,Wood,Plank,Staki Smoked & Oiled (180),Price per SQM: £86.00 inc VAT; Locations: None; Data synced from Rakata
Smoked & Oiled (220),WO80362STA,Staki,61.07,61.07,82.5,Wood,Plank,Staki Smoked & Oiled (220),Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Tobacco Oil (180),WO94611STA,Staki,55.42,55.42,76.66666666666667,Wood,Plank,Staki Tobacco Oil (180),Price per SQM: £92.00 inc VAT; Locations: None; Data synced from Rakata
Tobacco Oil (220),WO91371STA,Staki,65.43,65.43,87.5,Wood,Plank,Staki Tobacco Oil (220),Price per SQM: £105.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Walnut Oil (180),WO95414STA,Staki,49.42,49.42,70.0,Wood,Plank,Staki Walnut Oil (180),Price per SQM: £84.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Walnut Oil (220),WO84048STA,Staki,59.42,59.42,80.0,Wood,Plank,Staki Walnut Oil (220),Price per SQM: £96.00 inc VAT; Locations: None; Data synced from Rakata
Brushed & White Oil (180),WO66710STA,Staki,51.05,51.05,71.66666666666667,Wood,Plank,Staki Brushed & White Oil (180),Price per SQM: £86.00 inc VAT; Locations: None; Data synced from Rakata
Brushed & White Oil (220),WO85810STA,Staki,61.07,61.07,82.5,Wood,Plank,Staki Brushed & White Oil (220),Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Ebony Oil (180),WO22814STA,Staki,49.42,49.42,70.0,Wood,Plank,Staki Ebony Oil (180),Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
Ebony Oil (220),WO24894STA,Staki,59.42,59.42,80.83333333333334,Wood,Plank,Staki Ebony Oil (220),Price per SQM: £97.00 inc VAT; Locations: None; Data synced from Rakata
Rosewood Oil (180),WO11760STA,Staki,49.42,49.42,70.0,Wood,Plank,Staki Rosewood Oil (180),Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
Rosewood Oil (220),WO31622STA,Staki,59.42,59.42,80.0,Wood,Plank,Staki Rosewood Oil (220),Price per SQM: £96.00 inc VAT; Locations: None; Data synced from Rakata
Unfinished (180),WO42740STA,Staki,44.51,44.51,65.0,Wood,Plank,Staki Unfinished (180),Price per SQM: £78.00 inc VAT; Locations: None; Data synced from Rakata
Unfinished (220),WO57840STA,Staki,49.42,49.42,70.0,Wood,Plank,Staki Unfinished (220),Price per SQM: £84.00 inc VAT; Locations: None; Data synced from Rakata
