Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Glenariff Herringbone (70 mm),WO75456TED,Ted Todd,34.64,34.64,57.5,Wood,Herringbone,Ted Todd Glenariff Herringbone (70 mm),Price per SQM: £69.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Selborne Extra Wide Plank (220 mm),WO51060TED,Ted Todd,85.304,85.304,115.0,Wood,Plank,Ted Todd Selborne Extra Wide Plank (220 mm),Price per SQM: £138.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Kielder Herringbone (100 mm),WO46865TED,Ted Todd,71.976,71.976,100.83333333333334,Wood,Herringbone,Ted Todd Kielder Herringbone (100 mm),Price per SQM: £121.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Kielder Plank (220 mm),WO72096TED,Ted Todd,69.304,69.304,96.66666666666666,Wood,Plank,Ted Todd Kielder Plank (220 mm),Price per SQM: £116.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Arundel Herringbone (90 mm),WO38387TED,Ted Todd,63.976,63.976,89.16666666666666,Wood,Herringbone,Ted Todd Arundel Herringbone (90 mm),Price per SQM: £107.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Arundel Plank (190 mm),WO90991TED,Ted Todd,58.64,58.64,82.5,Wood,Plank,Ted Todd Arundel Plank (190 mm),Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Attingham Herringbone (90 mm),WO68987TED,Ted Todd,60.24,60.24,84.16666666666666,Wood,Herringbone,Ted Todd Attingham Herringbone (90 mm),Price per SQM: £101.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Attingham Plank (220 mm),WO56210TED,Ted Todd,58.64,58.64,82.5,Wood,Plank,Ted Todd Attingham Plank (220 mm),Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Bembridge Herringbone (90 mm),WO47933TED,Ted Todd,60.24,60.24,84.16666666666666,Wood,Herringbone,Ted Todd Bembridge Herringbone (90 mm),Price per SQM: £101.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Bembridge Plank (220 mm),WO75586TED,Ted Todd,58.64,58.64,82.5,Wood,Plank,Ted Todd Bembridge Plank (220 mm),Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Dunham Plank (190 mm),WO67533TED,Ted Todd,66.64,66.64,93.33333333333334,Wood,Plank,Ted Todd Dunham Plank (190 mm),Price per SQM: £112.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Holton Plank (220 mm),WO92008TED,Ted Todd,74.64,74.64,104.16666666666666,Wood,Plank,Ted Todd Holton Plank (220 mm),Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Netley Herringbone (90 mm),WO97117TED,Ted Todd,60.24,60.24,84.16666666666666,Wood,Herringbone,Ted Todd Netley Herringbone (90 mm),Price per SQM: £101.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Netley Plank (220 mm),WO11680TED,Ted Todd,58.64,58.64,82.5,Wood,Plank,Ted Todd Netley Plank (220 mm),Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Standen Herringbone (90 mm),WO34593TED,Ted Todd,63.976,63.976,89.16666666666666,Wood,Herringbone,Ted Todd Standen Herringbone (90 mm),Price per SQM: £107.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Standen Plank (190 mm),WO40733TED,Ted Todd,58.64,58.64,82.5,Wood,Plank,Ted Todd Standen Plank (190 mm),Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Swinley Herringbone (90 mm),WO81506TED,Ted Todd,60.24,60.24,84.16666666666666,Wood,Herringbone,Ted Todd Swinley Herringbone (90 mm),Price per SQM: £101.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Swinley Plank (220 mm),WO88273TED,Ted Todd,58.64,58.64,82.5,Wood,Plank,Ted Todd Swinley Plank (220 mm),Price per SQM: £99.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Sheringham Plank (220 mm),WO68477TED,Ted Todd,66.64,66.64,93.33333333333334,Wood,Plank,Ted Todd Sheringham Plank (220 mm),Price per SQM: £112.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Cashmere Chevron (90 mm),WO81254TED,Ted Todd,61.304,61.304,85.83333333333334,Wood,Chevron,Ted Todd Cashmere Chevron (90 mm),"Price per SQM: £103.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Cashmere Herringbone (127 mm),WO42422TED,Ted Todd,55.976,55.976,78.33333333333333,Wood,Herringbone,Ted Todd Cashmere Herringbone (127 mm),"Price per SQM: £94.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Cashmere Plank (180 mm),WO76155TED,Ted Todd,50.64,50.64,70.83333333333333,Wood,Plank,Ted Todd Cashmere Plank (180 mm),"Price per SQM: £85.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Cortado Herringbone (127 mm),WO40446TED,Ted Todd,55.976,55.976,78.33333333333333,Wood,Herringbone,Ted Todd Cortado Herringbone (127 mm),Price per SQM: £94.00 inc VAT; Locations: Twickenham; Updated: 29-May-2024; Data synced from Rakata
Cortado Plank (180 mm),WO49518TED,Ted Todd,53.304,53.304,75.0,Wood,Plank,Ted Todd Cortado Plank (180 mm),"Price per SQM: £90.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
