Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Alpine Broad Oak,WO94948VFX,V4,44.2,44.2,66.66666666666667,Wood,Plank,V4 Alpine Broad Oak,Price per SQM: £80.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Brushed Oak,WO35967VFX,V4,28.99,28.99,50.83333333333333,Wood,Plank,V4 Alpine Brushed Oak,Price per SQM: £61.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Canyon Oak,WO72218VFX,V4,41.25,41.25,61.66666666666667,Wood,Plank,V4 Alpine Canyon Oak,Price per SQM: £74.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Forest Oak,WO19040VFX,V4,35.35,35.35,55.0,Wood,Plank,V4 Alpine Forest Oak,Price per SQM: £66.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Glade Oak,WO41238VFX,V4,36.99,36.99,57.5,Wood,Plank,V4 Alpine Glade Oak,Price per SQM: £69.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Golden Oak,WO47891VFX,V4,34.5,34.5,56.66666666666667,Wood,Plank,V4 Alpine Golden Oak,Price per SQM: £68.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Hillside Oak,WO35895VFX,V4,39.7,39.7,61.66666666666667,Wood,Plank,V4 Alpine Hillside Oak,Price per SQM: £74.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Sunlit Oak,WO24681VFX,V4,32.4,32.4,53.33333333333333,Wood,Plank,V4 Alpine Sunlit Oak,Price per SQM: £64.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Upland Oak,WO63914VFX,V4,35.5,35.5,55.0,Wood,Plank,V4 Alpine Upland Oak,Price per SQM: £66.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Alpine Vale Oak,WO26491VFX,V4,35.5,35.5,55.0,Wood,Plank,V4 Alpine Vale Oak,Price per SQM: £66.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Baba Buden,WO44992VFX,V4,74.55,74.55,104.16666666666666,Wood,Herringbone,V4 Baristi Herringbone Baba Buden,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Blue Mountain,WO25551VFX,V4,74.55,74.55,104.16666666666666,Wood,Herringbone,V4 Baristi Herringbone Blue Mountain,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Catuai,WO58918VFX,V4,74.55,74.55,104.16666666666666,Wood,Herringbone,V4 Baristi Herringbone Catuai,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Caturra,WO78532VFX,V4,74.55,74.55,104.16666666666666,Wood,Herringbone,V4 Baristi Herringbone Caturra,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Baristi Herringbone Geisha,WO59466VFX,V4,74.55,74.55,104.16666666666666,Wood,Herringbone,V4 Baristi Herringbone Geisha,Price per SQM: £125.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
