Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Albi Biscuit,WO24424LAM,Lamett,51.56,51.56,72.5,Wood,Plank,Lamett Albi Biscuit,Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Albi Look Unfinished,WO41619LAM,Lamett,51.56,51.56,72.5,Wood,Plank,Lamett Albi Look Unfinished,Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Albi Smoked Invisible,WO46590LAM,Lamett,51.56,51.56,72.5,Wood,Plank,Lamett Albi Smoked Invisible,Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Albi Vintage,WO45431LAM,Lamett,51.56,51.56,72.5,Wood,Plank,Lamett Albi Vintage,Price per SQM: £87.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bergamo Black,WO24658LAM,Lamett,60.79,60.79,85.0,Wood,Plank,Lamett Bergamo Black,"Price per SQM: £102.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bergamo Cotton White,WO80353LAM,Lamett,60.79,60.79,85.0,Wood,Plank,Lamett Bergamo Cotton White,"Price per SQM: £102.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bergamo Look Unfinished,WO59115LAM,Lamett,60.79,60.79,85.0,Wood,Plank,Lamett Bergamo Look Unfinished,"Price per SQM: £102.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bergamo Natural,WO35771LAM,Lamett,60.79,60.79,85.0,Wood,Plank,Lamett Bergamo Natural,"Price per SQM: £102.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bergamo Smoke,WO46021LAM,Lamett,60.79,60.79,85.0,Wood,Plank,Lamett Bergamo Smoke,"Price per SQM: £102.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bergamo Titanium,WO53491LAM,Lamett,60.79,60.79,85.0,Wood,Plank,Lamett Bergamo Titanium,"Price per SQM: £102.00 inc VAT; Locations: Twickenham, Richmond; Updated: 29-May-2024; Data synced from Rakata"
Bergen 190 Invisible,WO95758LAM,Lamett,48.74,48.74,73.33333333333333,Wood,Plank,Lamett Bergen 190 Invisible,Price per SQM: £88.00 inc VAT; Locations: None; Data synced from Rakata
Bergen 190 Mont Blanc,WO75241LAM,Lamett,48.74,48.74,73.33333333333333,Wood,Plank,Lamett Bergen 190 Mont Blanc,Price per SQM: £88.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
Bergen 190 Natural,WO39244LAM,Lamett,48.74,48.74,73.33333333333333,Wood,Plank,Lamett Bergen 190 Natural,Price per SQM: £88.00 inc VAT; Locations: Richmond; Updated: 29-May-2024; Data synced from Rakata
