Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA57943ALT,Alternative Flooring,AF Coir Boucle Natural (4 M),AF Coir Boucle Natural,,4.0,16.78,40.0,Carpet,Coir,
CA28594ALT,Alternative Flooring,AF Coir Boucle Natural (5 M),AF Coir Boucle Natural,,5.0,16.78,40.0,Carpet,Coir,
CA36410ALT,Alternative Flooring,AF Coir Herringbone Natural (4 M),AF Coir Herringbone Natural,,4.0,13.52,32.0,Carpet,Coir,
CA89028ALT,Alternative Flooring,AF Coir Herringbone Natural (5 M),AF Coir Herringbone Natural,,5.0,13.52,32.0,Carpet,Coir,
CA27137ALT,Alternative Flooring,AF Coir Panama Natural (4 M),AF Coir Panama Natural,,4.0,13.52,32.0,Carpet,Coir,
CA17564ALT,Alternative Flooring,AF Coir Panama Natural (5 M),AF Coir Panama Natural,,5.0,13.52,32.0,Carpet,Coir,
CA82022ALT,Alternative Flooring,AF Jute Big Boucle Crumpet (4 M),AF Jute Big Boucle Crumpet,,4.0,25.89,53.0,Carpet,Jute,
CA35530ALT,Alternative Flooring,AF Jute Big Boucle Toast (4 M),AF Jute Big Boucle Toast,,4.0,25.89,53.0,Carpet,Jute,
CA83138ALT,Alternative Flooring,AF Jute Big Panama Pancake (4 M),AF Jute Big Panama Pancake,,4.0,25.89,53.0,Carpet,Jute,
CA56051ALT,Alternative Flooring,AF Jute Big Panama Waffle (4 M),AF Jute Big Panama Waffle,,4.0,25.89,53.0,Carpet,Jute,
CA96494ALT,Alternative Flooring,AF Jute Boucle Natural Natural (4 M),AF Jute Boucle Natural,Natural,4.0,19.94,48.0,Carpet,Jute,
CA87236ALT,Alternative Flooring,AF Jute Boucle Scone (4 M),AF Jute Boucle Scone,,4.0,24.09,52.0,Carpet,Jute,
CA20925ALT,Alternative Flooring,AF Jute Chevron Natural (4 M),AF Jute Chevron Natural,,4.0,21.81,47.0,Carpet,Jute,
CA67107ALT,Alternative Flooring,AF Jute Herringbone Maltloaf (4 M),AF Jute Herringbone Maltloaf,,4.0,24.09,52.0,Carpet,Jute,
