Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA91217ART-B24F9,Artisan Luxury Flooring,Alora Amaro (4 M),Alora,Amaro,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-BCD18,Artisan Luxury Flooring,Alora Cadini (4 M),Alora,Cadini,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-39EB9,Artisan Luxury Flooring,Alora Capanne (4 M),Alora,Capanne,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-A7269,Artisan Luxury Flooring,Alora Cervati (4 M),Alora,Cervati,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-D9E72,Artisan Luxury Flooring,Alora Cresto (4 M),Alora,Cresto,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-1B981,Artisan Luxury Flooring,Alora Grivola (4 M),Alora,Grivola,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-3F68B,Artisan Luxury Flooring,Alora Sirente (4 M),Alora,Sirente,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-CF1F8,Artisan Luxury Flooring,Alora Solaro (4 M),Alora,Solaro,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-F97E8,Artisan Luxury Flooring,Alora Stromboli (4 M),Alora,Stromboli,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-8C35B,Artisan Luxury Flooring,Alora Velino (4 M),Alora,Velino,4.0,69.95,126.0,Carpet,Carpet,
CA91217ART-EB256,Artisan Luxury Flooring,Alora Vulcano (4 M),Alora,Vulcano,4.0,69.95,126.0,Carpet,Carpet,
CA45860ART-E0A7D,Artisan Luxury Flooring,Eleganza Avena (4 M),Eleganza,Avena,4.0,20.95,45.0,Carpet,Carpet,
CA45860ART-358A2,Artisan Luxury Flooring,Eleganza Avena (5 M),Eleganza,Avena,5.0,20.95,45.0,Carpet,Carpet,
CA45860ART-BB32D,Artisan Luxury Flooring,Eleganza Balena (4 M),Eleganza,Balena,4.0,20.95,45.0,Carpet,Carpet,
