Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA88834ASS,Associated Weavers,Gaia Dorado Attic (4 M),Gaia Dorado,Attic,4.0,15.86,38.0,Carpet,Synthetic,
CA97504ASS,Associated Weavers,Gaia Dorado Attic (5 M),Gaia Dorado,Attic,5.0,15.86,38.0,Carpet,Synthetic,
CA98661ASS,Associated Weavers,Gaia Dorado Baltic Sea (4 M),Gaia Dorado,Baltic Sea,4.0,15.86,38.0,Carpet,Synthetic,
CA46981ASS,Associated Weavers,Gaia Dorado Baltic Sea (5 M),Gaia Dorado,Baltic Sea,5.0,15.86,38.0,Carpet,Synthetic,
CA50081ASS,Associated Weavers,Gaia Dorado Barbados (4 M),Gaia Dorado,Barbados,4.0,15.86,38.0,Carpet,Synthetic,
CA79045ASS,Associated Weavers,Gaia Dorado Barbados (5 M),Gaia Dorado,Barbados,5.0,15.86,38.0,Carpet,Synthetic,
CA56268ASS,Associated Weavers,Gaia Dorado Blanched Almond (4 M),Gaia Dorado,Blanched Almond,4.0,15.86,38.0,Carpet,Synthetic,
CA25080ASS,Associated Weavers,Gaia Dorado Blanched Almond (5 M),Gaia Dorado,Blanched Almond,5.0,15.86,38.0,Carpet,Synthetic,
CA92575ASS,Associated Weavers,Gaia Dorado Buff (4 M),Gaia Dorado,Buff,4.0,15.86,38.0,Carpet,Synthetic,
CA25036ASS,Associated Weavers,Gaia Dorado Buff (5 M),Gaia Dorado,Buff,5.0,15.86,38.0,Carpet,Synthetic,
CA62680ASS,Associated Weavers,Gaia Dorado Doeskin (4 M),Gaia Dorado,Doeskin,4.0,15.86,38.0,Carpet,Synthetic,
CA66123ASS,Associated Weavers,Gaia Dorado Doeskin (5 M),Gaia Dorado,Doeskin,5.0,15.86,38.0,Carpet,Synthetic,
CA35932ASS,Associated Weavers,Gaia Dorado Juniper Ash (4 M),Gaia Dorado,Juniper Ash,4.0,15.86,38.0,Carpet,Synthetic,
CA88671ASS,Associated Weavers,Gaia Dorado Juniper Ash (5 M),Gaia Dorado,Juniper Ash,5.0,15.86,38.0,Carpet,Synthetic,
CA36547ASS,Associated Weavers,Gaia Dorado Morning Mist (4 M),Gaia Dorado,Morning Mist,4.0,15.86,38.0,Carpet,Synthetic,
CA60885ASS,Associated Weavers,Gaia Dorado Morning Mist (5 M),Gaia Dorado,Morning Mist,5.0,15.86,38.0,Carpet,Synthetic,
CA45410ASS,Associated Weavers,Gaia Dorado Pearl (4 M),Gaia Dorado,Pearl,4.0,15.86,38.0,Carpet,Synthetic,
CA74579ASS,Associated Weavers,Gaia Dorado Pearl (5 M),Gaia Dorado,Pearl,5.0,15.86,38.0,Carpet,Synthetic,
CA72069ASS,Associated Weavers,Gaia Dorado Raven (4 M),Gaia Dorado,Raven,4.0,15.86,38.0,Carpet,Synthetic,
CA58542ASS,Associated Weavers,Gaia Dorado Raven (5 M),Gaia Dorado,Raven,5.0,15.86,38.0,Carpet,Synthetic,
CA40851ASS,Associated Weavers,Gaia Dorado Safari (4 M),Gaia Dorado,Safari,4.0,15.86,38.0,Carpet,Synthetic,
CA22902ASS,Associated Weavers,Gaia Dorado Safari (5 M),Gaia Dorado,Safari,5.0,15.86,38.0,Carpet,Synthetic,
CA47852ASS,Associated Weavers,Gaia Dorado Sage Green (4 M),Gaia Dorado,Sage Green,4.0,15.86,38.0,Carpet,Synthetic,
CA31955ASS,Associated Weavers,Gaia Dorado Sage Green (5 M),Gaia Dorado,Sage Green,5.0,15.86,38.0,Carpet,Synthetic,
CA86833ASS,Associated Weavers,Gaia Dorado Shoreline (4 M),Gaia Dorado,Shoreline,4.0,15.86,38.0,Carpet,Synthetic,
CA68790ASS,Associated Weavers,Gaia Dorado Shoreline (5 M),Gaia Dorado,Shoreline,5.0,15.86,38.0,Carpet,Synthetic,
CA37727ASS,Associated Weavers,Gaia Dorado Silver Moon (4 M),Gaia Dorado,Silver Moon,4.0,15.86,38.0,Carpet,Synthetic,
CA97441ASS,Associated Weavers,Gaia Dorado Silver Moon (5 M),Gaia Dorado,Silver Moon,5.0,15.86,38.0,Carpet,Synthetic,
CA36236ASS,Associated Weavers,Gaia Tigris Amsterdam Grey (4 M),Gaia Tigris,Amsterdam Grey,4.0,12.86,31.0,Carpet,Synthetic,
CA83097ASS,Associated Weavers,Gaia Tigris Amsterdam Grey (5 M),Gaia Tigris,Amsterdam Grey,5.0,12.86,31.0,Carpet,Synthetic,
CA46284ASS,Associated Weavers,Gaia Tigris Bathstone (4 M),Gaia Tigris,Bathstone,4.0,12.86,31.0,Carpet,Synthetic,
CA93181ASS,Associated Weavers,Gaia Tigris Bathstone (5 M),Gaia Tigris,Bathstone,5.0,12.86,31.0,Carpet,Synthetic,
CA37518ASS,Associated Weavers,Gaia Tigris Blackjack (4 M),Gaia Tigris,Blackjack,4.0,12.86,31.0,Carpet,Synthetic,
CA63575ASS,Associated Weavers,Gaia Tigris Blackjack (5 M),Gaia Tigris,Blackjack,5.0,12.86,31.0,Carpet,Synthetic,
CA93879ASS,Associated Weavers,Gaia Tigris Canopy Green (4 M),Gaia Tigris,Canopy Green,4.0,12.86,31.0,Carpet,Synthetic,
CA90705ASS,Associated Weavers,Gaia Tigris Canopy Green (5 M),Gaia Tigris,Canopy Green,5.0,12.86,31.0,Carpet,Synthetic,
CA40801ASS,Associated Weavers,Gaia Tigris Chimney Smoke (4 M),Gaia Tigris,Chimney Smoke,4.0,12.86,31.0,Carpet,Synthetic,
