Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
AXMINSTER-00001,Axminster,Cobble Weave Anaman Whirl (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00011,Axminster,Cobble Weave Anaman Whirl (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00002,Axminster,Cobble Weave Araniko Loop (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00012,Axminster,Cobble Weave Araniko Loop (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00003,Axminster,Cobble Weave Dolakha Spire (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00013,Axminster,Cobble Weave Dolakha Spire (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00004,Axminster,Cobble Weave Karakoram Knot (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00014,Axminster,Cobble Weave Karakoram Knot (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00006,Axminster,Cobble Weave Karnali Braid (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00016,Axminster,Cobble Weave Karnali Braid (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00005,Axminster,Cobble Weave Kashmir Jewel (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00015,Axminster,Cobble Weave Kashmir Jewel (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00007,Axminster,Cobble Weave Langtang Greek (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00017,Axminster,Cobble Weave Langtang Greek (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00008,Axminster,Cobble Weave Myanmar Hoop (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00018,Axminster,Cobble Weave Myanmar Hoop (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00009,Axminster,Cobble Weave Taklamakan Sphere (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00019,Axminster,Cobble Weave Taklamakan Sphere (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00010,Axminster,Cobble Weave Tilicho Bow (4 M),,,4.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00020,Axminster,Cobble Weave Tilicho Bow (5 M),,,5.0,39.99,72.0,Carpet,Wool Blend,
AXMINSTER-00031,Axminster,Simply Natural Grosgrain Ash (4 M),,,4.0,36.49,69.0,Carpet,Wool,
AXMINSTER-00047,Axminster,Simply Natural Grosgrain Ash (5 M),,,5.0,36.49,69.0,Carpet,Wool,
AXMINSTER-00033,Axminster,Simply Natural Grosgrain Flint (4 M),,,4.0,36.49,69.0,Carpet,Wool,
AXMINSTER-00049,Axminster,Simply Natural Grosgrain Flint (5 M),,,5.0,36.49,69.0,Carpet,Wool,
AXMINSTER-00034,Axminster,Simply Natural Grosgrain Quartz (4 M),,,4.0,36.49,69.0,Carpet,Wool,
AXMINSTER-00050,Axminster,Simply Natural Grosgrain Quartz (5 M),,,5.0,36.49,69.0,Carpet,Wool,
