Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA24150BES,Best Wool,Globe 116 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA85957BES,Best Wool,Globe 116 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA56177BES,Best Wool,Globe 117 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA69242BES,Best Wool,Globe 117 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA19336BES,Best Wool,Globe 118 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA37592BES,Best Wool,Globe 118 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA73128BES,Best Wool,Globe 182 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA81242BES,Best Wool,Globe 182 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA84486BES,Best Wool,Globe 190 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA53262BES,Best Wool,Globe 190 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA12235BES,Best Wool,Globe 191 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA72226BES,Best Wool,Globe 191 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA28130BES,Best Wool,Globe 193 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA18130BES,Best Wool,Globe 193 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA58495BES,Best Wool,Globe 195 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA83157BES,Best Wool,Globe 195 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA54683BES,Best Wool,Globe 196 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA69058BES,Best Wool,Globe 196 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA57469BES,Best Wool,Globe 197 (4 M),,,4.0,23.0,50.0,Carpet,Wool Blend,
CA89823BES,Best Wool,Globe 197 (5 M),,,5.0,23.0,50.0,Carpet,Wool Blend,
CA84953BES,Best Wool,Imperial B10020 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA60539BES,Best Wool,Imperial B10021 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA49820BES,Best Wool,Imperial B10022 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA54433BES,Best Wool,Imperial B40030 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA83949BES,Best Wool,Imperial B40031 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA91937BES,Best Wool,Imperial B40037 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA73236BES,Best Wool,Imperial B70018 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA91649BES,Best Wool,Imperial D10020 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA13479BES,Best Wool,Imperial E40012 (5 M),,,5.0,31.9,65.0,Carpet,Wool,
CA90181BES,Best Wool,Kensington 129 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA13701BES,Best Wool,Kensington 129 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA69820BES,Best Wool,Kensington 130 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA63230BES,Best Wool,Kensington 130 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA95089BES,Best Wool,Kensington 136 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA46940BES,Best Wool,Kensington 136 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA71426BES,Best Wool,Kensington 137 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA68265BES,Best Wool,Kensington 137 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA93642BES,Best Wool,Kensington 139 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA95913BES,Best Wool,Kensington 139 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA98894BES,Best Wool,Kensington 181 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA40781BES,Best Wool,Kensington 181 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA78739BES,Best Wool,Kensington 182 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA41059BES,Best Wool,Kensington 182 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA68387BES,Best Wool,Kensington 184 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA59969BES,Best Wool,Kensington 184 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA23519BES,Best Wool,Kensington 185 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA86563BES,Best Wool,Kensington 185 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA54111BES,Best Wool,Kensington 186 (4 M),,,4.0,32.9,67.0,Carpet,Wool,
CA64379BES,Best Wool,Kensington 186 (5 M),,,5.0,32.9,67.0,Carpet,Wool,
CA34573BES,Best Wool,Odense II 101 (4 M),,,4.0,47.5,86.0,Carpet,Wool,
CA59773BES,Best Wool,Odense II 103 (4 M),,,4.0,47.5,86.0,Carpet,Wool,
CA67382BES,Best Wool,Odense II 104 (4 M),,,4.0,47.5,86.0,Carpet,Wool,
CA33622BES,Best Wool,Odense II 105 (4 M),,,4.0,47.5,86.0,Carpet,Wool,
CA56194BES,Best Wool,Odense II 106 (4 M),,,4.0,47.5,86.0,Carpet,Wool,
