Part Number,Manufacturer,Description,Range,Colour,Width,Cost per SQM (ex VAT),Sell per SQM (inc VAT),Category,Sub-Category,Notes
CA67564BRO,Brockway,Beachcomber Barnacle (4 M),Beachcomber,Barnacle,4.0,27.47,56.0,Carpet,Wool,
CA81682BRO,Brockway,Beachcomber Barnacle (5 M),Beachcomber,Barnacle,5.0,27.47,56.0,Carpet,Wool,
CA13971BRO,Brockway,Beachcomber Driftwood (4 M),Beachcomber,Driftwood,4.0,27.47,56.0,Carpet,Wool,
CA56077BRO,Brockway,Beachcomber Driftwood (5 M),Beachcomber,Driftwood,5.0,27.47,56.0,Carpet,Wool,
CA71380BRO,Brockway,Beachcomber Dune Barnacle (4 M),Beachcomber,Dune Barnacle,4.0,27.47,56.0,Carpet,Wool,
CA36527BRO,Brockway,Beachcomber Dune Barnacle (5 M),Beachcomber,Dune Barnacle,5.0,27.47,56.0,Carpet,Wool,
CA45228BRO,Brockway,Beachcomber Dune Driftwood (4 M),Beachcomber,Dune Driftwood,4.0,27.47,56.0,Carpet,Wool,
CA93122BRO,Brockway,Beachcomber Dune Driftwood (5 M),Beachcomber,Dune Driftwood,5.0,27.47,56.0,Carpet,Wool,
CA62691BRO,Brockway,Beachcomber Dune Pebble (4 M),Beachcomber,Dune Pebble,4.0,27.47,56.0,Carpet,Wool,
CA80925BRO,Brockway,Beachcomber Dune Pebble (5 M),Beachcomber,Dune Pebble,5.0,27.47,56.0,Carpet,Wool,
CA22972BRO,Brockway,Beachcomber Dune Reef (4 M),Beachcomber,Dune Reef,4.0,27.47,56.0,Carpet,Wool,
CA92915BRO,Brockway,Beachcomber Dune Reef (5 M),Beachcomber,Dune Reef,5.0,27.47,56.0,Carpet,Wool,
CA28163BRO,Brockway,Beachcomber Dune Shingle (4 M),Beachcomber,Dune Shingle,4.0,27.47,56.0,Carpet,Wool,
CA47478BRO,Brockway,Beachcomber Dune Shingle (5 M),Beachcomber,Dune Shingle,5.0,27.47,56.0,Carpet,Wool,
CA55037BRO,Brockway,Beachcomber Pebble (4 M),Beachcomber,Pebble,4.0,27.47,56.0,Carpet,Wool,
CA46771BRO,Brockway,Beachcomber Pebble (5 M),Beachcomber,Pebble,5.0,27.47,56.0,Carpet,Wool,
CA34514BRO,Brockway,Beachcomber Reef (4 M),Beachcomber,Reef,4.0,27.47,56.0,Carpet,Wool,
